Year	Vol	Source	OCR	Ref	ID	Pages	Tokens
1785	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501962	bsb10501962	436	406778
1785	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501963	bsb10501963	436	409434
1785	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501964	bsb10501964	474	452950
1785	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501965	bsb10501965	428	426652
1785	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541065	bsb10541065	324	326036
1786	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501966	bsb10501966	356	323589
1786	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501967	bsb10501967	342	314469
1786	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501968	bsb10501968	346	320896
1786	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501969	bsb10501969	348	323457
1786	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501970	bsb10501970	430	419430
1787	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501971	bsb10501971	446	420382
1787	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501972	bsb10501972	400	373083
1787	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501973	bsb10501973	490	458888
1787	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501974	bsb10501974	512	479346
1788	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501975	bsb10501975	490	462932
1788	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501976	bsb10501976	470	449760
1788	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501977	bsb10501977	544	522288
1788	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501978	bsb10501978	550	522173
1789	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501979	bsb10501979	624	581118
1789	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501980	bsb10501980	554	514201
1789	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501981	bsb10501981	622	589901
1789	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501982	bsb10501982	572	531707
1790	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541081	bsb10541081	374	356932
1790	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541082	bsb10541082	382	370981
1790	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541083	bsb10541083	438	415829
1790	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541084	bsb10541084	470	458736
1790	IB	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541055	bsb10541055	728	721529
1791	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501987	bsb10501987	620	640409
1791	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501988	bsb10501988	504	426509
1791	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501989	bsb10501989	522	540176
1791	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501990	bsb10501990	570	593951
1792	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501991	bsb10501991	548	560432
1792	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501992	bsb10501992	546	549568
1792	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501993	bsb10501993	522	537294
1792	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501994	bsb10501994	540	551064
1793	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501995	bsb10501995	522	670624
1793	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10501996	bsb10501996	558	717331
1793	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10628808	bsb10628808	538	545650
1793	4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10628809	bsb10628809	504	509660
1794	1	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541097	bsb10541097	442	476033
1794	2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541098	bsb10541098	426	583775
1794	3	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10541099	bsb10541099	426	458657
