Column	Volume
PHILOSOPHIE	440
SCHÖNE KÜNSTE	250
VERMISCHTE SCHRIFTEN	212
GESCHICHTE	105
LITERARISCHE ANZEIGEN	92
LITERARISCHE NACHRICHTEN	81
ARZNEYGELAHRTHEIT	66
ERBAUUNGSSCHRIFTEN	47
THEOLOGIE	45
GOTTESGELAHRTHEIT	37
ERDBESCHREIBUNG	36
KLEINE SCHRIFTEN	34
LITERATURGESCHICHTE	28
SCHOENE WISSENSCHAFTEN	22
MEDICIN	21
STAATSWISSENSCHAFTEN	20
AESTHETIK	19
PÄDAGOGIK	19
NATURGESCHICHTE	16
PHILOLOGIE	16
PAEDAGOGIK	14
MATHEMATIK	13
POESIE	13
RECHTSGELAHRTHEIT	10
KIRCHENGESCHICHTE	9
PHYSIK	9
KINDERSCHRIFTEN	8
Aesthetik	7
FREYMAUREREY	7
GRIECHISCHE LITERATUR	7
REGISTER REGISTER REGISTER	7
NEUERE SPRACHKUNDE	6
PREDIGERWISSENSCHAFTEN	5
Philosophie	5
ROMANEN - LITERATUR	5
ANTHROPOLOGIE	4
DEUTSCHE SPRACHKUNDE	4
JUGENDSCHRIFTEN	4
LITERARGESCHICHTE	4
Medicin	4
RELIGIONSGESCHICHTE	4
ROMANE	4
SCHÖNE LITERATUR	4
SPRACHGELEHRSAMKEIT	4
BIOGRAPHIE	3
CHEMIE	3
GOTTESGELAHRHEIT	3
Herder und sein Denkmal	3
KULTURGESCHICHTE	3
KURZE NACHRICHTEN	3
MYTHOLOGIE	3
SCHOENE KÜNSTE	3
THEORIE	3
ALLGEMEINE SPRACHKUNDE	2
ALTERTHUMSKUNDE	2
BEREDSAMKEIT	2
BIBLISCHE LITERATUR	2
I. Ankündigung neuer Bücher	2
INTELLIGENZ DES BUCH- UND KUNSTHANDELS	2
KRIEGSWISSENSCHAFT	2
ORIENTALISCHE LITERATUR	2
Psychiatrie	2
REISEBESCHREIBUNG	2
RELIGIÖSE ALTERTHÜMER DER GRIECHEN	2
REVISION DER ÄSTHETISCHEN JOURNALE	2
RÖMISCHE LITERATUR	2
STATISTIK	2
ÄSTHETIK	2
ARZNEYWISSENSCHAFT	1
Ankündigungen neuer Bücher	1
Biblische Medicin	1
CRIMINALRECHT	1
DEUTSCHLANDSJOURNALENLITERATUR	1
DRAMATURGIE	1
Diätetik	1
Ernst Moritz Arndt.	1
Exegese des alten Testaments	1
FEHLER!	1
FREYMAURERSCHRIFTEN	1
Französische Sprache	1
GEDICHTE	1
GEMISCHTE LITERATUR	1
GEOGRAPHIE	1
GEOLOGIE	1
Geschichte	1
Horaz	1
KRIEGSGESCHICHTE	1
Kunstgeschichte	1
LANDWIRTHSCHAFT	1
LITERAR-GESCHICHTE	1
LITERARISCHE ANALEKTEN	1
LITERATUR- und KULTUR-GESCHICHTE	1
LITERATUR-GESCHICHTE	1
LYRISCHE POESIE	1
MONATSREGISTER	1
NATURWISSENSCHAFTEN	1
Neuere Sprachen	1
OEKONOMIE	1
ORIENTALISCHE SPRACHKUNDE	1
PASTORALWISSENSCHAFT	1
PASTORALWISSENSCHAFTEN	1
POETIK	1
PSYCHOLOGIE	1
Poesie	1
Politische Poesie	1
PÄDAGOGISCHE SCHRIFTEN	1
REISEBESCHREIBUNGEN	1
RELIGIONSPHILOSOPHIE	1
REVISION DER DEUTSCHEN JOURNALE	1
REVISION DER PHILOLOGISCHEN JOURNALE	1
REVISION DER THEOLOGISCHEN JOURNALE	1
Register	1
SPRACHKUNDE	1
STAATSWISSENSCHAFT	1
Schöne Literatur	1
Sprachwissenschaft	1
THOELOGIE	1
Uebersicht der Literatur der systematischen Theologie aus den Jahren 1830 bis 1833	1
Uebersicht der seit 1830 erschienenen encyklopädischen und literarhistorischen Werke	1
Vermischte Schriften	1
Walachische Mährchen	1
Zur Religionsphilosophie	1
