Volume	Page	Line	KWIC	URL	Column
bsb10501991	00021	103	Einbildungskraft oder der Erinnerung vorbey ſchween	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501991/canvas/21/view	ERDBESCHREIBUNG
bsb10502057	00446	109	nex die Einbildungskraft, das Gedächtniſs, u. ſ. w.	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502057/canvas/446/view	PHILOSOPHIE
bsb10501992	00013	100	bracht werden, z. B. Handlungen der productiven Einbildungskraft, ohne daſs ein Begehren ſtatt finde? Sollte	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501992/canvas/13/view	PHILOSOPHIE
bsb10501992	00180	120	hafte Einbildungskraft unfers Dichters, der eine Menge oft ge-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10501992/canvas/180/view	KLEINE SCHRIFTEN
gb_Txw4AAAAMAAJ	0485	100	und seine Einbildungskraft, und schlägt die ver	https://books.google.de/books?id=Txw4AAAAMAAJ	STAATSWISSENSCHAFTEN
gb_HYoFAAAAQAAJ	0074	105	duetiven Einbildungskraft zur Darstellung der figür-	https://books.google.de/books?id=HYoFAAAAQAAJ	PHILOSOPHIE
bsb10502008	00253	108	Theorie der Einbildungskraft (der erſten Abh. in Schmie's	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502008/canvas/253/view	PHILOSOPHIE
bsb10502036	00207	128	für ihre Einbildungskraft hervorbringt, wie ſ	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502036/canvas/207/view	LITERARISCHE NACHRICHTEN
bsb10502023	00298	122	Einbildungskraft zu martern. Von Prisºnen. Von Cy-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502023/canvas/298/view	MATHEMATIK
bsb10541081	00327	96	ſo wenig unſre Einbildungskraft, als unſre Hand,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10541081/canvas/327/view	VERMISCHTE SCHRIFTEN
bsb10502018	00108	120	Ä. der weder Einbildungskraft noch Geſchunack	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502018/canvas/108/view	SCHÖNE KÜNSTE
bsb10502024	00347	103	Einfiuss der Einbildungskraft auf das Begehrungaver-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502024/canvas/347/view	PHILOSOPHIE
bsb10541097	00422	126	flammten Einbildungskraft, welche Enthuſiasmus hervor-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10541097/canvas/422/view	LITERARGESCHICHTE
bsb10502019	00252	124	auch die Einbildungskraft als möglich ſich denkt, eine	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502019/canvas/252/view	NATURGESCHICHTE
bsb10502003	00396	119	eines Arztes über den Einfluſs der Einbildungskraft ſchwan-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502003/canvas/396/view	LITERARISCHE ANZEIGEN
bsb10502017	00532	119	gen Genie; c) zu lebhafte Einbildungskraft, d) volkom-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502017/canvas/532/view	LITERARISCHE ANZEIGEN
bsb10541099	00353	109	Ausdrucks. - Hier wird dann auf Einbildungskraft und	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10541099/canvas/353/view	SCHÖNE KÜNSTE
bsb10541099	00386	122	nem Schriftſteller von warmer Einbildungskraft und leb-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10541099/canvas/386/view	VERMISCHTE SCHRIFTEN
gb_Wx04AAAAMAAJ	0072	120	sich beziehend), Einbildungskraft (Vergangenes&#	https://books.google.de/books?id=Wx04AAAAMAAJ	PHILOSOPHIE
bsb10502011	00199	109	an Philoſophie als an Einbildungskraft und Darſte-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502011/canvas/199/view	SCHÖNE KÜNSTE
gb_GCBRAAAAYAAJ	0293	115	endlich eine Synthesis der Einbildungskraft. Die	https://books.google.de/books?id=GCBRAAAAYAAJ	PHILOSOPHIE
bsb10502004	00463	92	ſie ſo vieles enthält, was auf die Einbildungskraft den	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502004/canvas/463/view	LITERARISCHE ANZEIGEN
bsb10502038	00019	109	mehr aus ſeiner Einbildungskraft als dem Verſtande	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502038/canvas/19/view	SCHÖNE KÜNSTE
bsb10502077	00300	114	für die Einbildungskraft.	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502077/canvas/300/view	SCHÖNE KÜNSTE
bsb10502063	00235	104	arcº wenn die Einbildungskraft durch die Kluft,	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502063/canvas/235/view	SCHÖNE KÜNSTE
bsb10502076	00137	123	ſich Czacki durch ſeine lebhafte Einbildungskraft hat	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502076/canvas/137/view	LITERATURGESCHICHTE
bsb10502060	00037	106	Grº, Witz und Einbildungskraft, Gefühl und Geiſt	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502060/canvas/37/view	VERMISCHTE SCHRIFTEN
bsb10502060	00221	106	in # Gegenwart liegt, was die Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10502060/canvas/221/view	VERMISCHTE SCHRIFTEN
gb_ZTQ4AAAAMAAJ	0362	118	zeigen, wo Jeſus ſagte er ſterbe, um a) genug zu der Einbildungskraft dadurch, für den Aufmerkſa	https://books.google.de/books?id=ZTQ4AAAAMAAJ	THEOLOGIE
