year	vol	page	line	content
1845	1	0001	1	EEE Va
1845	1	0001	2	N a MR
1845	1	0001	3	e BAUT N \6
1845	1	0001	4	AR
1845	1	0002	1	>
1845	1	0002	2	.
1845	1	0002	3	-.
1845	1	0002	4	a
1845	1	0002	5	sr
1845	1	0002	6	-w
1845	1	0002	7	"x
1845	1	0002	8	=
1845	1	0002	9	A
1845	1	0002	10	+
1845	1	0002	11	THE UNIVERSITY
1845	1	0002	12	OF ILLINOIS
1845	1	0002	13	LIBRARY
1845	1	0002	14	053
1845	1	0002	15	A
1845	1	0003	1	=. 7 . ’ "MM v -
1845	1	0003	2	4 My x N
1845	1	0003	3	ALLGEMEINE
1845	1	0003	4	LITERATUR - ZEITUNG
1845	1	0003	5	VOM JAHRE
1845	1	0003	6	1845.
1845	1	0003	7	ERSTER BAND
1845	1	0003	8	SE AUUNEAU: AR bl IE NE
1845	1	0003	9	.
1845	1	0003	10	HALLE,
1845	1	0003	11	inider. Expedition dieser Zeruung
1845	1	0003	12	bei C. A. Schweischke und Sohn,
1845	1	0003	13	und LEIPZIG,
1845	1	0003	14	in der König Sächs, privil_ Zertungs- Expedition.
1845	1	0003	15	1845.
1845	1	0004	1	KA
1845	1	0004	2	-
1845	1	0004	3	Wa
1845	1	0004	4	+
1845	1	0004	5	wo
1845	1	0004	6	nn
1845	1	0004	7	ı x
1845	1	0004	8	REN
1845	1	0004	9	EL
1845	1	0004	10	ac
1845	1	0004	11	7%
1845	1	0004	12	A Ge
1845	1	0004	13	A A
1845	1	0004	14	f A
1845	1	0004	15	FA,
1845	1	0004	16	3
1845	1	0004	17	n‘
1845	1	0004	18	WE
1845	1	0004	19	A
1845	1	0004	20	A
1845	1	0004	21	$
1845	1	0004	22	0
1845	1	0004	23	# >
1845	1	0004	24	p %
1845	1	0004	25	| \
1845	1	0004	26	61 X vw dv A
1845	1	0004	27	ar
1845	1	0004	28	A
1845	1	0004	29	AR Y
1845	1	0004	30	ne hi
1845	1	0004	31	Al
1845	1	0005	1	OD
1845	1	0005	2	Ak »
1845	1	0005	3	(as)
1845	1	0005	4	= DE 2
1845	1	0005	5	® ALLGEMEINE LITERATUR - ZEITUNG
1845	1	0005	6	&
1845	1	0005	7	Monat Januar,
1845	1	0005	8	1845.
1845	1	0005	9	Halle, in der Expedition
1845	1	0005	10	der Allg. Lit. Zeitung.
1845	1	0005	11	Die politische Stellung Preussens.
1845	1	0005	12	Geschichte des zweiten Pariser Friedens‘ für
1845	1	0005	13	Deutschland. Aus Aktenstücken von Dr. A. F.
1845	1	0005	14	H. Schaumann, ausserordentlichem Professor
1845	1	0005	15	der Geschichte zu Göttingen. 8, (28%, Bog.)
1845	1	0005	16	Göttingen, Vanderhöck u. R. 1844. (2 Rıhlr.)
1845	1	0005	17	„Di. beste Weisheit einer Zeit bleibt immer die
1845	1	0005	18	Erfahrung aus einer früheren”. Mit diesen Wor-
1845	1	0005	19	ten schliesst Hr. Schaumann die Vorrede seines Bu-
1845	1	0005	20	ches, das eine der grossen Erfahrungen, mit de-
1845	1	0005	21	nen Deutschland seine neue ‚Zeit erkauft hat, zu
1845	1	0005	22	erörtern bestimmt ist. Fürwahr nicht tröstlich, nicht
1845	1	0005	23	erhebend, aber an ernsten Mahnungen reich ist uns
1845	1	0005	24	Deutschen die Geschichte jener Friedensschlüsse.
1845	1	0005	25	Unerhörtes hatte Deutschland geduldet; zertreten,
1845	1	0005	26	entwürdigt, mit Despotenhohn «zerrissen und ge-
1845	1	0005	27	plündert erhob es sich endlich den Gewaltigen zu
1845	1	0005	28	bewältigen. In seinen Opfern, seiner Treue, sei-
1845	1	0005	29	nen Thaten fand das deutsche Volk den Maasstab
1845	1	0005	30	seiner Hoffnungen; was es vollbracht hatte, war
1845	1	0005	31	mehr als Abschüttelung der Fremdherrschaft; es
1845	1	0005	32	hatte sich das Recht errungen, sich selber anzuge-
1845	1	0005	33	hören. .„ Wiederherstellung der deutschen Freiheit
1845	1	0005	34	und Verfassung” , sagte Fürst Metternich dem Kö-
1845	1	0005	35	nig von Würtemberg (Antwort auf die Note vom
1845	1	0005	36	16. Nov. 1814), das sey das Ziel, um dess Willen
1845	1	0005	37	die deutschen Völker die Waffen ergriffen hätten,
1845	1	0005	38	Und nicht fünf Jahre vergingen, so war durch
1845	1	0005	39	Deutschland hin eine tiefe Stille, nicht des friedli-
1845	1	0005	40	chen Glückes, nicht des erfüllten Strebens, Aber die
1845	1	0005	41	sie geschaffen, freuten sich des gelungenen Wer-
1845	1	0005	42	kes; ‚und es verstummte die Frage, um Welchen
1845	1	0005	43	Preis diese Ruhe erkauft, auf welches Recht sie ge-
1845	1	0005	44	gründet war. Man sage nicht, es war der nalür-
1845	1	0005	45	liche Gang unsrer Entwickelungen, der uns dahin
1845	1	0005	46	führte; künstlich genug schuf man dem vielgerühm-
1845	1	0005	47	‚ten „Stillen Segen” unserer Zerrissenheit neue For-
1845	1	0005	48	men, die ihn verewigen sollten; man sage nicht,
1845	1	0005	49	nach dem Geist unsrer Geschichte ward das Neue;
1845	1	0005	50	unhistorisch genug, Theorien verkündigend, die dem
1845	1	0005	51	A. L. Z. 1845. Erster Band.
1845	1	0005	52	zur hellen Flamme des Zorns auf.
1845	1	0005	53	„ureigenen Geiste des Volkes” durchaus fremd wa-
1845	1	0005	54	ren, schuf man der nationalen Entwickelung, die
1845	1	0005	55	uns eben gerettet hatte, Hemmnisse, die sie stag-
1845	1	0005	56	niren machten , Versagungen, an denen sie verkom-
1845	1	0005	57	men zu müssen schien. Ein Menschenalter ist seit
1845	1	0005	58	jenem Frieden dahin; ein neues Geschlecht — wie
1845	1	0005	59	in dem Volke Gottes, da es durch die Wüste zog —
1845	1	0005	60	ist herangewachsen, trägt sich‘ mit neuen Hoff-
1845	1	0005	61	nungen, erneut mit Inbrunst die alten; wie jJauchzten
1845	1	0005	62	wir jüngst, als unsere Fürsten sprachen: „Ein
1845	1	0005	63	Deutschland von den Alpen bis ans Meer”, Auch
1845	1	0005	64	das Wort wieder ‚ist verklungen, übertönt durch
1845	1	0005	65	den Hader über die Kniebeugung und den Zollkrieg
1845	1	0005	66	an bundesfreundlicher Grenze, vergessen über den
1845	1	0005	67	Process Jordans und den wahnsinnigen. Aufruhr
1845	1	0005	68	brodloser Weber. Hoffen wir doch? Die alten
1845	1	0005	69	Griechen hatten eine Sage von der Empusa, de-
1845	1	0005	70	ren Schooss verflucht war, immer {iodte Kinder zu
1845	1	0005	71	gebären; und immer wieder verlockte sie der helle
1845	1	0005	72	Blick des Sonnengottes und wieder hoffend, wusste
1845	1	0005	73	sie, dass sie Todtes gebären werde.
1845	1	0005	74	Hoffen wir doch. Es giebt in unserm Vaters
1845	1	0005	75	lande eine Gewalt, die still und langsam, aber mit
1845	1	0005	76	unwiderstehlicher Mächtigkeit vorwärts drängt. Als
1845	1	0005	77	Friedrich der Einzige am Ende seiner Tage sprach,
1845	1	0005	78	er sey es müde über Sclaven zu herrschen, da war
1845	1	0005	79	schon der Anfang einer inneren Befreiung errungen.
1845	1	0005	80	In immer wachsenden Wellenkreisen ergriff sie die
1845	1	0005	81	Nation, erneute ihr das Gefühl einer Gemeinschaft,
1845	1	0005	82	das Bedürfniss einer Einheit, das seit Jahrhunder-
1845	1	0005	83	ten der Zwist der Bekenntnisse, die Partheinng im
1845	1	0005	84	Reich und mit den Fremden gegen das Reich ver-
1845	1	0005	85	nichtet hatte. Verknöchert, entgeistet, leere Larve
1845	1	0005	86	war, was als staatliche und kirchliche Form, be-
1845	1	0005	87	stand; aber in der Tiefe des Volkes, welche Kei-
1845	1	0005	88	me gesundesten Lebens, welches Quellen, lauter-
1845	1	0005	89	ster Frömmigkeit, welche Fülle sittlicher Kraft!
1845	1	0005	90	Wie fachte die Schmach des deutschen Namens —
1845	1	0005	91	nicht unsere Fürsten, nicht unsere Staaten ver-
1845	1	0005	92	mochten ihr zu wehren — die glimmenden Funken
1845	1	0005	93	Dies tiefere Le
1845	1	0005	94	ben, dieser sittliche Zorn war es, ‘dem der ‚am
1845	1	0005	95	1
1845	1	0006	1	+
1845	1	0006	2	3 ALLG. LITERATUR - ZEITUNG 4
1845	1	0006	3	schimpflichsten gestürzte Staat nur Raum und Form
1845	1	0006	4	zu geben hatte, um wiedergegründet ,'aus der‘ Kraft
1845	1	0006	5	des Volkes wiedergeboren, das Werk der Befrei-
1845	1	0006	6	ung zu führen. Dem kühnen Beispiel Preussens
1845	1	0006	7	folgten die deutschen Stämme im Norden und Sü-
1845	1	0006	8	den, sie rissen ihre Fürsten mit sich fort; ein neues
1845	1	0006	9	glorreiches Leben des Vaterlandes war begon-
1845	1	0006	10	nen. Oder ist es ein Irrthum? hat Herr von Gentz
1845	1	0006	11	recht mit seiner Phrase: „die Völker, die Jugend,
1845	1	0006	12	die Freiwilligen haben so gut als nichts gethan;
1845	1	0006	13	Alles dankt man der wundervollen Eintracht der
1845	1	0006	14	Höfe”. Mindestens in denjenigen Kreisen, die
1845	1	0006	15	nun die neue Ordnung der Dinge, zu gründen gin-
1845	1	0006	16	gen, gewann Solcherlei Ansicht nur zu leicht KEin-
1845	1	0006	17	gang, nur zu bald Raum. Als den. ersten Frie-
1845	1	0006	18	densschluss auszuführen jene Congressverhandlun-
1845	1	0006	19	gen folgten, in deren {r«fic d’ames man „Seelen
