year	vol	page	line	content
1816	1	00005	1	<366034439800 18
1816	1	00005	2	<366034439800 18
1816	1	00005	3	Bayer. Staatsbibliothek
1816	1	00005	4	F
1816	1	00006	1	- - - - - - -
1816	1	00007	1	A LL GE M E IN E
1816	1	00007	2	LITERATUR-ZEITUNG
1816	1	00007	3	V O M J A H R E
1816	1	00007	4	- I 8 I 6.
1816	1	00007	5	E R ST ER BA N D.
1816	1	00007	6	s
1816	1	00007	7	-
1816	1	00007	8	H A L L E,
1816	1	00007	9	in der Expedition dieſer Zeitung,
1816	1	00007	10	un d LE I PZ I G,
1816	1	00007	11	in der König 1. Säch f. privil. Zeit u n gs - Expedition-
1816	1	00007	12	I 8 I 6. r
1816	1	00008	1	- -
1816	1	00008	2	-
1816	1	00008	3	-
1816	1	00008	4	*-
1816	1	00008	5	* -
1816	1	00008	6	-
1816	1	00008	7	-
1816	1	00008	8	-
1816	1	00008	9	--
1816	1	00008	10	-
1816	1	00008	11	- -
1816	1	00008	12	-
1816	1	00008	13	-
1816	1	00008	14	- -
1816	1	00008	15	– – – – – ––----- ----
1816	1	00008	16	-
1816	1	00008	17	---------
1816	1	00009	1	A . . g E MEINE
1816	1	00009	2	LITERATUR ZEI
1816	1	00009	3	vom Jahre 1 8 1 6.
1816	1	00009	4	-
1816	1	00009	5	-
1816	1	00009	6	Nr. - 25.
1816	1	00009	7	Ergänz. Bl. Nr. 1.–12.
1816	1	00009	8	Preis des Jahrgangs
1816	1	00009	9	der Alg I 2 auf DruckpA: Taler sich or . 2 Krz R.Geº.
1816	1	00009	10	auß Schreibp. Zehn Thaler Sächſ, od. 18 f. R. Geld,
1816	1	00009	11	der Ergänz. B. auf Druckp. Vier Talersch, odz f. 2 Krz. R. Geld.
1816	1	00009	12	auf Schreibp. Fünf Taler Sächſ, od. 9 f. R. Geld.
1816	1	00009	13	H A LL E,
