year	vol	page	line	content
1794	2	00001	1	A L L GEM EI N E
1794	2	00001	2	LITERATUR-ZEITUNG
1794	2	00001	3	vo M JAH Re
1794	2	00001	4	I 79 4.
1794	2	00001	5	/
1794	2	00001	6	ZWEY T ER BAND.
1794	2	00001	7	–
1794	2	00001	8	A PRI L, M A Y, JU NI US,
1794	2	00001	9	J E N A,
1794	2	00001	10	in der Expedition dieſer Zeitung,
1794	2	00001	11	und L E I P Z I G,
1794	2	00001	12	in der churfürſtl. fächſ Zeitungs-Expedition.
1794	2	00001	13	I 79 4-
1794	2	00003	1	/,
1794	2	00003	2	ZQQELWLlUL N
1794	2	00003	3	(178K57W-281W
1794	2	00003	4	?0W)ZURÜ Z
1794	2	00003	5	"1794.
1794	2	00003	6	ZNLYL'LK LIGA).
1794	2	00003	7	ayglß,xxa>7,3ux1v8.
1794	2	00003	8	m6_
1794	2	00003	9	FLU>4
1794	2	00003	10	in (Ick preäjcion (chl'cr Zeitung,
1794	2	00003	11	onä h 1*: 1 y 2 16, '
1794	2	00003	12	in äer eva-ku'rtkc käch ZSZl-.qogä-TxySäjtjgn.
1794	2	00003	13	l79+-
1794	2	00003	14	k*:
1794	2	00003	15	- W - *4 _x
1794	2	00003	16	““*:7:___ .._M'WL* "' *.-***
1794	2	00004	1	1
1794	2	00004	2	1 "1|-
1794	2	00004	3	.Ff'
1794	2	00004	4	'11"' 1' "f
1794	2	00004	5	.|- 'j-I... ,"»qu
1794	2	00004	6	r.
1794	2	00004	7	' ' ...lp-Ü
1794	2	00005	1	r .'- 4 Linn-ler() 110.
1794	2	00005	2	nennen/(nine ni-rnnn-rnn-Znirnne
1794	2	00005	3	Dienxtagx, ae.. x. uni-il 1794.
1794	2	00005	4	*:_.*._
1794	2	00005	5	FLZMLL'ELQNZZLKL'ULLL'.
1794	2	00005	6	[Nil-ern, b. ]nnin8: scfiytoyer nenrologici ..Zinni-er
1794	2	00005	7	_Meet-i,- Noe (Wera ..tik-074 .>7anat0MiaM, NFA/Lola-
1794	2	00005	8	Zinm, et yatlmlogia... Mei-1207“." Fyectantia, ecl. --
1794	2	00005	9	Ci". 177W. (Min-ig. len). lil. 1793. 340 8. in. ziiyi't.
1794	2	00005	10	gr. 4.
1794	2	00005	11	ven linkenx äiel'ee Zanclez einer l'elir fcbäcebncen 88min*
1794	2	00005	12	lnn inech billig (lie nnnergleiclllicbe Uiﬂercncicn
1794	2	00005	13	(lee lin. . 8,1?) Denken-ix, qua (Lemon/BWV" (01* dick-
1794	2	00005	14	cir :ai-eu. dlicln leiclic bei eine nlcnnernifclle chirit't meli-
1794	2	00005	15	reres .Anklelien gemacht, uncl allgemein-ern ße7f'nll erhal-
1794	2	00005	16	ten. l)nrcl1 fie Merci n-enigliene ein Zac: bekenncer, (let
1794	2	00005	17	belonclere in cler jeceigen perlen-e , W0 überall (lie (jul-
1794	2	00005	18	Wnilclaen ?erincne nncllgeinnclic .nerclen , non änleerl'ter
1794	2	00005	19	XÜicluiglceic iii, nncl [..ian über eine Lrl'cneinnng fer-
1794	2	00005	20	drejcec, (lie (ich Call-am', Wim, Wifi, ken-ick, uncl 3n-
1794	2	00005	21	- .lere nicbt erklären iconncen, (*0 Wien-ir nncli nunmehr
1794	2	00005	22	keine chMieriglceic in Zufnmrnenreirnnng nerl'cliieclener
1794	2	00005	23	'l'nnclocnen ﬁnclen, ene clenen (icli n-ecier Unlim- noch
