year	vol	page	line	content
1841	1_2	0002	1	C
1841	1_2	0002	2	：
1841	1_2	0002	3	©|
1841	1_2	0002	4	-
1841	1_2	0002	5	©：ſ
1841	1_2	0002	6	a
1841	1_2	0002	7	e
1841	1_2	0002	8	.
1841	1_2	0002	9	|
1841	1_2	0002	10	-
1841	1_2	0002	11	：
1841	1_2	0002	12	-
1841	1_2	0002	13	）
1841	1_2	0004	1	) ) -E
1841	1_2	0004	2	. A - 2
1841	1_2	0005	1	s
1841	1_2	0006	1	- A L LG E M E I N E
1841	1_2	0006	2	L I T E RA TUR - ZEITUNG
1841	1_2	0006	3	h -
1841	1_2	0006	4	I 8 4 I
1841	1_2	0006	5	o der
1841	1_2	0006	6	Sieben und funfzigster Jahrgang.
1841	1_2	0006	7	Herausgegeben
1841	1_2	0006	8	V O 11
1841	1_2	0006	9	d e n P r of es so r en
1841	1_2	0006	10	L. H. Friedländer, M. H. E. Meier,
1841	1_2	0006	11	W. Gesenius, Ch. F. Mühlenbruch,
1841	1_2	0006	12	J. G. Gruber, T. G. Voigtel,
1841	1_2	0006	13	L. F. Kaemtz, J. A. L. Wegscheider.
1841	1_2	0007	1	_
1841	1_2	0007	2	_
1841	1_2	0007	3	_
1841	1_2	0007	4	_
1841	1_2	0007	5	-
1841	1_2	0007	6	-
1841	1_2	0007	7	）
1841	1_2	0007	8	-
1841	1_2	0007	9	-
1841	1_2	0007	10	-
1841	1_2	0007	11	-
1841	1_2	0007	12	–
1841	1_2	0007	13	-
1841	1_2	0007	14	-
1841	1_2	0007	15	-
1841	1_2	0007	16	-
1841	1_2	0007	17	-
1841	1_2	0007	18	-
1841	1_2	0007	19	-
1841	1_2	0007	20	-
1841	1_2	0007	21	-
1841	1_2	0007	22	-
1841	1_2	0007	23	-
1841	1_2	0007	24	-
1841	1_2	0007	25	-
1841	1_2	0007	26	-
1841	1_2	0007	27	*
1841	1_2	0007	28	-
1841	1_2	0007	29	-
1841	1_2	0007	30	-
1841	1_2	0007	31	-
1841	1_2	0007	32	-
1841	1_2	0007	33	-
1841	1_2	0007	34	~
1841	1_2	0007	35	~
1841	1_2	0007	36	~
1841	1_2	0007	37	~
1841	1_2	0007	38	-
1841	1_2	0007	39	-
1841	1_2	0007	40	*
1841	1_2	0007	41	*
1841	1_2	0007	42	*
1841	1_2	0007	43	-
1841	1_2	0007	44	-
1841	1_2	0007	45	-
1841	1_2	0007	46	-
1841	1_2	0007	47	-
1841	1_2	0007	48	-
1841	1_2	0007	49	-
1841	1_2	0007	50	-
1841	1_2	0007	51	-
1841	1_2	0007	52	-
1841	1_2	0007	53	-
1841	1_2	0008	1	ALLGEMEINE
1841	1_2	0008	2	LITERATUR - ZEITUNG
1841	1_2	0008	3	184 .
1841	1_2	0008	4	E R ST E R B A NID.
1841	1_2	0008	5	J A N U A R bis A P R I L.
1841	1_2	0008	6	A -- * -
