year	vol	page	line	content
1829	1	0002	1	B 1589.930
1829	1	0003	1	TUTTUI
1829	1	0003	2	Ä
1829	1	0004	1	AA - r.
1829	1	0004	2	.Ä.
1829	1	0004	3	-
1829	1	0004	4	Z
1829	1	0005	1	•
1829	1	0005	2	№
1829	1	0005	3	~
1829	1	0005	4	~
1829	1	0005	5	~
1829	1	0005	6	~
1829	1	0005	7	~
1829	1	0005	8	~
1829	1	0006	1	---
1829	1	0006	2	- ---
1829	1	0006	3	-
1829	1	0006	4	A LL GE ME 1 N E
1829	1	0006	5	LITERATUR-ZEITU
1829	1	0006	6	V O M J A H P E
1829	1	0006	7	1 8 29.
1829	1	0006	8	E R ST E R B AN D.
1829	1	0006	9	J A N U A PR bis A P PR I L.
1829	1	0006	10	A . . > r r
1829	1	0006	11	iF WEF4 -
1829	1	0006	12	BiBLIOTHEK
