year	vol	page	line	content
1833	3	0003	1	.-
1833	3	0003	2	IIIIIIIIIIIIIIIIIII IIIIII
1833	3	0004	1	- - - -
1833	3	0004	2	. A 12
1833	3	0005	1	-
1833	3	0005	2	-
1833	3	0005	3	-
1833	3	0005	4	-
1833	3	0005	5	，
1833	3	0005	6	•
1833	3	0005	7	•
1833	3	0005	8	•
1833	3	0005	9	•
1833	3	0005	10	•
1833	3	0005	11	•
1833	3	0005	12	•
1833	3	0005	13	•
1833	3	0005	14	•
1833	3	0005	15	！
1833	3	0005	16	！
1833	3	0005	17	！
1833	3	0005	18	|
1833	3	0005	19	-
1833	3	0005	20	·
1833	3	0005	21	-
1833	3	0005	22	-
1833	3	0005	23	-
1833	3	0005	24	-
1833	3	0005	25	-
1833	3	0005	26	-
1833	3	0005	27	•
1833	3	0005	28	•
1833	3	0005	29	•
1833	3	0005	30	•
1833	3	0005	31	•
1833	3	0005	32	•
1833	3	0005	33	•
1833	3	0005	34	•
1833	3	0005	35	►
1833	3	0005	36	-
1833	3	0005	37	*
1833	3	0005	38	*
1833	3	0005	39	*
1833	3	0005	40	*
1833	3	0005	41	-
1833	3	0005	42	-
1833	3	0005	43	-
1833	3	0005	44	-
1833	3	0005	45	-
1833	3	0005	46	-
1833	3	0005	47	-
1833	3	0005	48	-
1833	3	0005	49	-
1833	3	0005	50	！
1833	3	0005	51	*
1833	3	0005	52	•
1833	3	0005	53	•
1833	3	0005	54	•
1833	3	0005	55	•
1833	3	0005	56	•
1833	3	0005	57	•
1833	3	0005	58	•
1833	3	0005	59	•
1833	3	0005	60	•
1833	3	0005	61	•
1833	3	0005	62	•
1833	3	0005	63	•
1833	3	0005	64	•
1833	3	0005	65	•
1833	3	0005	66	•
1833	3	0005	67	~
1833	3	0005	68	~
1833	3	0005	69	~
1833	3	0005	70	~
1833	3	0005	71	-
1833	3	0005	72	-
1833	3	0005	73	-
1833	3	0005	74	-
1833	3	0005	75	-
1833	3	0005	76	-
1833	3	0005	77	-
1833	3	0005	78	-
1833	3	0005	79	-
1833	3	0005	80	-
1833	3	0005	81	-
1833	3	0005	82	-
1833	3	0005	83	-
1833	3	0005	84	-
1833	3	0005	85	·
1833	3	0005	86	•
1833	3	0005	87	•
1833	3	0005	88	•
1833	3	0005	89	•
1833	3	0005	90	•
1833	3	0005	91	~
1833	3	0005	92	~
1833	3	0005	93	~
1833	3	0005	94	~
1833	3	0005	95	~
1833	3	0005	96	~
1833	3	0005	97	·
1833	3	0005	98	*
1833	3	0005	99	•
1833	3	0005	100	•
1833	3	0005	101	•
1833	3	0005	102	•
1833	3	0005	103	•
1833	3	0005	104	•
1833	3	0005	105	•
1833	3	0005	106	•
1833	3	0005	107	•
1833	3	0005	108	|
1833	3	0005	109	-
1833	3	0006	1	AL LG E MEINE
1833	3	0006	2	LITERATUR - ZEITUNG
1833	3	0006	3	W O M J A H R E
1833	3	0006	4	18 33.
1833	3	0006	5	DR I T T ER BA N D.
1833	3	0006	6	SE PT E M BE R bis D EC E M B ER.
1833	3	0006	7	HA L L E,
1833	3	0006	8	in der Expedition dieser Zeitung
1833	3	0006	9	bey C. A. Schwetschke und Sohn,
1833	3	0006	10	und L E I PZ I G.,
1833	3	0006	11	* der König l. Säch s. privil. Zeitung s – Expedition.
1833	3	0006	12	1 8 33.
1833	3	0006	13	-
1833	3	0008	1	D
1833	3	0008	2	1 ...
1833	3	0008	3	T 2
1833	3	0008	4	«eu
1833	3	0008	5	-
1833	3	0008	6	. – 153 –
1833	3	0008	7	44/32 /
1833	3	0008	8	ALLGEMEINE LITE RAT UR. - z EITUNG
1833	3	0008	9	September 1833.
1833	3	0008	10	MYTHOLOGIE.
1833	3	0008	11	KöNIGsBERo in Pr., b. Bornträger: Agla0phamis,
1833	3	0008	12	sive de Theologiae Mysticae Graecorum causis libri
1833	3	0008	13	tres, scripsit Chr. August Lobeck, Ä5 litt. in
1833	3	0008	14	acad. Regim. Prof. idemque poetarum Orphico
1833	3	0008	15	rum dispersas reliquias collegit. 2 Tomi. 1829.
1833	3	0008	16	X u. 1392 S. gr. 8. (10 Rthlr.)
1833	3	0008	17	Jedem Leser einer Recension ist im Anfang dersel
1833	3	0008	18	ben ein allgemeines Urtheil über das angezeigte Werk
1833	3	0008	19	willkommen, das ihm in den Stand setze, von vorn
1833	3	0008	20	herein zu erkennen, wie viel Zeit er nach seinem
1833	3	0008	21	Bedürfniſs auf das Studium der Recension und des
1833	3	0008	22	Buches selbst verwenden möchte. Hier ist ein sol
1833	3	0008	23	ches unnöthig, denn das Verdienst, wie die Methode
1833	3	0008	24	des Vfs und die Wichtigkeit des Buchs ist allgemein
1833	3	0008	25	anerkannt, die letzte von seinem Erscheinen an in
1833	3	0008	26	den verschiedenartigsten Tönen herausgestrichen,
1833	3	0008	27	und leider nicht immer auf die erfreulichste Art, wo
1833	3	0008	28	aus den Einleitungen hervorgeht, daſs die Beurthei
1833	3	0008	29	ler mehr um ihrer selbst willen, als aus redlicher
1833	3	0008	30	Erwägung des Gegenstandes diesen Ton anstimmen.
1833	3	0008	31	Die allgemeinen Lobpreisungen eines namenlosen Be
1833	3	0008	32	urtheilers, der hinterher im Einzelnen mehr zu krit
1833	3	0008	33	teln als zu loben hat, können wahrlich die Ehre eines
1833	3	0008	34	Gelehrten, dem an Umfang des Wissens, wie an
1833	3	0008	35	Deutlichkeit desselben, unter den namhaften Philo
1833	3	0008	36	logen unsrer Zeit so Wenige gleichkommen, nicht er
1833	3	0008	37	Ä Die Verehrung, die ihm jeder, der aus sei
1833	3	0008	38	nem Buche lernt, schuldig ist, versteht sich von selbst
1833	3	0008	39	und wer sie verweigert, schmäht sich selbst. Wer
1833	3	0008	40	aber in seinem Eifer, diese Verehrung zu beweisen,
1833	3	0008	41	es sich angelegen seyn läſst, dasselbe als Muster der
1833	3	0008	42	Behandlung der Materie zu empfehlen, dessen Auf
1833	3	0008	43	gabe wäre es, die Musterhaftigkeit der Arbeit auch
1833	3	0008	44	im Einzelnen nachzuweisen: denn daſs der berühmte
1833	3	0008	45	Vf. mit groſser Gelehrsamkeit, Genauigkeit und An
1833	3	0008	46	schaulichkeit im Einzelnen, wenn er gleich den Ueber
1833	3	0008	47	blick über die gewonnenen Resultate und die Prii
1833	3	0008	48	fung derselben nicht leicht macht, arbeitet, braucht
1833	3	0008	49	Keinem erst Ä zu werden. Die Verehrung ge
1833	3	0008	50	gen einen solchen Namen muſs in etwas Besserm be
1833	3	0008	51	stehn, als in vorläufigen und beiläufigen Verbeugun
1833	3	0008	52	gen; sie kann sich in Nichts redlicher zeigen, als in
1833	3	0008	53	gewissenhafter Erwägung jeder vom Vf, ausgespro
1833	3	0008	54	ehenen Ansicht: nach einer solchen Erwägung sein
1833	3	0008	55	eignes Urtheil auszusprechen, dabeiÄ einer
1833	3	0008	56	ängstlich seyn, der nicht zum Knecht geboren ist.
1833	3	0008	57	Um als Muster für die Behandlung der Materie
1833	3	0008	58	zu gelten, dafür scheint das Werk zu ungleichmäſsig
1833	3	0008	59	A. L. z. 1833. Dritter Band.
1833	3	0008	60	earbeitet. Die fragmentarische Darstellung springt
1833	3	0008	61	in die Augen und ist von dem Beurtheilern anerkannt;
1833	3	0008	62	der Vf. selbst hebt in der Vorrede das zweite Buch
1833	3	0008	63	heraus als das vollständigste, und es ist auch das
1833	3	0008	64	gediegenste. Von diesen gilt durchaus, was er sich
1833	3	0008	65	als Grundsatz gestellt, nicht sowohl den Gegenstand
1833	3	0008	66	auf den Gipfel der Untersuchung zu führen, als die
1833	3	0008	67	Untersuchenden auf den rechten Weg zu leiten; in
1833	3	0008	68	diesem spricht der Vf. auch seine Ansichten von der
1833	3	0008	69	historischen Entwickelung der Geheimdienste in Grie
1833	3	0008	70	chenland aus. An diese letzten wird sich unsre Be
1833	3	0008	71	urtheilung am genauesten anschlieſsen. Das erste
1833	3	0008	72	Buch, Eleusinia, scheint mehr zur Vorbereitung vor
1833	3	0008	73	ausgeschickt, um Einwendungen abzuweisen, die von
1833	3	0008	74	unrichtiger Auffassung der Eleusinien aus gegen die
1833	3	0008	75	Darstellungen des zweiten Buches gemacht werden
1833	3	0008	76	könnten. Der Vf. bekämpft jede Ueberschätzung der
1833	3	0008	77	Eleusinien, verweist ihre ganze Erhabenheit in die
1833	3	0008	78	Feierlichkeit der Cerimonien und widerlegt vorzüg
1833	3	0008	79	lich eifrig jede Vorstellung, als seyen von den Prie
