year	vol	page	line	content
1839	1	0002	1	©C
1839	1	0002	2	o
1839	1	0002	3	∞C
1839	1	0002	4	）
1839	1	0002	5	C
1839	1	0002	6	o
1839	1	0002	7	L
1839	1	0002	8	a
1839	1	0002	9	e
1839	1	0002	10	-
1839	1	0002	11	-
1839	1	0002	12	-
1839	1	0002	13	-
1839	1	0002	14	，
1839	1	0002	15	|
1839	1	0002	16	-
1839	1	0003	1	ciej
1839	1	0003	2	FSSEAD OFTHE
1839	1	0003	3	T9 Wºttº
1839	1	0003	4	- sº zzºsºs D
1839	1	0003	5	--1-O- I -
1839	1	0003	6	-
1839	1	0003	7	-
1839	1	0003	8	-
1839	1	0003	9	–
1839	1	0003	10	Eº:
1839	1	0003	11	---
1839	1	0003	12	-
1839	1	0003	13	E 2 ESF-Ex E
1839	1	0003	14	#
1839	1	0003	15	-
1839	1	0004	1	N
1839	1	0004	2	º
1839	1	0004	3	，
1839	1	0004	4	<
1839	1	0004	5	!
1839	1	0004	6	-
1839	1	0005	1	a
1839	1	0005	2	，
1839	1	0005	3	* *
1839	1	0006	1	ALLGEMEINE
1839	1	0006	2	LITERATUR - zEITUNG
1839	1	0006	3	1839.
1839	1	0006	4	E R S T E R B A N D.
1839	1	0006	5	J A N U A R bis A P R I IA.
1839	1	0006	6	- - - - -
1839	1	0006	7	-- * -
1839	1	0006	8	H A L L E,
1839	1	0006	9	in der Expedition dieser Zeit ung
1839	1	0006	10	bei C. A. Schwetschke und Sohn,
1839	1	0006	11	un d LE I PZ I G,
1839	1	0006	12	in der König 1. Sächs. pr iv il. Zeitung s – Expe d i t i on.
1839	1	0006	13	e v 1 8 39.
1839	1	0007	1	·
1839	1	0007	2	·
1839	1	0007	3	-
1839	1	0007	4	•
1839	1	0007	5	•
1839	1	0007	6	|
1839	1	0007	7	-
1839	1	0007	8	-
1839	1	0007	9	-
1839	1	0007	10	-
1839	1	0007	11	-
1839	1	0007	12	|
1839	1	0007	13	-
1839	1	0007	14	|
1839	1	0007	15	×
1839	1	0007	16	·
1839	1	0007	17	•
1839	1	0007	18	•
1839	1	0007	19	•
1839	1	0007	20	！
1839	1	0007	21	…
1839	1	0007	22	-
1839	1	0007	23	-
1839	1	0007	24	-
1839	1	0007	25	-
1839	1	0007	26	！
1839	1	0007	27	•
1839	1	0007	28	•
1839	1	0007	29	•
1839	1	0007	30	！
1839	1	0007	31	*
1839	1	0007	32	·
1839	1	0007	33	·
1839	1	0007	34	·
1839	1	0007	35	：
1839	1	0007	36	•
1839	1	0007	37	|
1839	1	0007	38	×
1839	1	0007	39	·
1839	1	0007	40	*
1839	1	0007	41	·
1839	1	0007	42	º
1839	1	0007	43	√
1839	1	0007	44	*
1839	1	0007	45	|
1839	1	0007	46	-
1839	1	0007	47	•
1839	1	0007	48	•
1839	1	0007	49	•
1839	1	0007	50	•
1839	1	0007	51	•
1839	1	0007	52	*
1839	1	0007	53	-
1839	1	0007	54	-
1839	1	0007	55	-
1839	1	0007	56	-
1839	1	0007	57	|
1839	1	0007	58	-
1839	1	0007	59	*
1839	1	0007	60	*
1839	1	0007	61	*
1839	1	0007	62	*
1839	1	0007	63	|
1839	1	0007	64	×
1839	1	0008	1	L.« . , “u-
1839	1	0008	2	C - *..
1839	1	0008	3	-- !
1839	1	0008	4	- ,
1839	1	0008	5	/O – –
1839	1	0008	6	/22/
1839	1	0008	7	- I - -- 2
1839	1	0008	8	- -
1839	1	0008	9	ALLGEMEINE LITERATUR - ZEITUNG
1839	1	0008	10	Januar 1839.
1839	1	0008	11	BIBLISCHE LITERATUR.
1839	1	0008	12	BREsLAU, b. Max u. Comp.: Der Prophetismus der
1839	1	0008	13	Hebräer vollständig dargestellt von August Kno
1839	1	0008	14	bel, Dr. der Phil. Lic. u. ausserord. Prof. d. Theol.
1839	1	0008	15	zu Breslau (jetzt D. und ord. Prof. der Theol. zu
1839	1	0008	16	Giessen). Erster Theil. 1837. VIII u. 440 S.
1839	1	0008	17	Zweiter Theil. 1837.426 S. 8. (3 Rthlr. 8 gGr.)
1839	1	0008	18	Es ist eine unläugbare und auch allgemein zuge
1839	1	0008	19	standene Thatsache, dass es uns bei der übergrossen
1839	1	0008	20	Menge von Schriften aller Art über das Alte Testa
1839	1	0008	21	ment gerade noch an der Hauptsache fehlt, an ei
1839	1	0008	22	ner pragmatischen Geschichte der hebräischen Li
1839	1	0008	23	teratur. Unsre Einleitungen, selbst die bessern, sind
1839	1	0008	24	nur ein Aggregat von „gewissen Vorkenntnissen"
1839	1	0008	25	[ de Wette I zum Bibelstudium, ein „Mancherlei"
1839	1	0008	26	[Schleiermacher I welches immer eines wahren wis
1839	1	0008	27	senschaftlichen Princips und nothwendigen Zusam
1839	1	0008	28	menhangs entbehrt, und welches weder dem Lite
1839	1	0008	29	rator, noch dem Geschichtforscher noch dem Phi
1839	1	0008	30	losophen genügt. Denn, was den Theologen selbst
1839	1	0008	31	betrifft, so will es uns bedünken, dass jene Einlei
1839	1	0008	32	tungen in unsrer Zeit für ihn überhaupt nur in so
1839	1	0008	33	fern geschrieben sind, als er eines von jenen dreien
1839	1	0008	34	ist, da die eigentlich theologischen Fragen, welche
1839	1	0008	35	man früher noch in der Critica sacra abhandelte,
1839	1	0008	36	jetzt in das Gebiet der Dogmatik verwiesen sind.
1839	1	0008	37	Unter einer pragmatischen Geschichte der hebräi
1839	1	0008	38	schen Literatur verstehen wir aber eine Darstellung
1839	1	0008	39	der Entwicklung des Geistes des hebräischen Vol
1839	1	0008	40	kes, wie sie sich aus den vorhandnen schriftlichen
1839	1	0008	41	Denkmälern desselben erkennen lässt, und wodurch
1839	1	0008	42	nicht nur jede einzelne Schrift in ihrer eigenthüm
1839	1	0008	43	lichen Stelle und Bedeutung für sich betrachtet wird,
1839	1	0008	44	sondern auch in ihrem organischen Zusammenhange
1839	1	0008	45	mit dem Vorhergehenden und mit dem Nachfol
1839	1	0008	46	genden, was durch sie vermittelt worden. Wenn
1839	1	0008	47	es wahr ist, dass die Literatur einer Nation ein be
1839	1	0008	48	redtes und vollgiltiges Zeugniss ablegen kann für
1839	1	0008	49	den Geist und den Charakter derselben, so kann es
1839	1	0008	50	für keine Nation wahrer seyn als für die hebräische,
1839	1	0008	51	deren Literatur so wenig, und in der ältern Zeit so
1839	1	0008	52	gar nicht unter dem Einflusse einer fremden Na
1839	1	0008	53	tionalität gestanden hat. Wenn es wahr ist, dass
1839	1	0008	54	die pragmatische Geschichte eines jeden Volkes
1839	1	0008	55	denjenigen Punkt hauptsächlich ins Auge fassen
1839	1	0008	56	muss, in welchem das Gesammtleben desselben cul
1839	1	0008	57	minirt hat, welcher ihm seine eigenthümliche Rolle
1839	1	0008	58	in dem grossen Ganzen der Geschichte der Mensch
1839	1	0008	59	heit anweist, so hat die Geschichte der Hebräer
1839	1	0008	60	eben die Literatur dieses Volkes zum eigentlichen
1839	1	0008	61	Gegenstand und zum Mittelpunkt ihrer Untersuchungen
1839	1	0008	62	und Darstellungen zu machen. Denn nicht durch
1839	1	0008	63	politische Grösse und Selbstständigkeit, nicht durch
1839	1	0008	64	materielles Einwirken auf den Gang welthistorischer
1839	1	0008	65	Begebenheiten, nicht durch Kunst und Wissen
1839	1	0008	66	schaft, Handel und Erfindungen, nicht durch Klug
1839	1	0008	67	heit des Staatshaushalts oder musterhafte und lehr
1839	1	0008	68	reiche Ausbildung einer bürgerlichen Verfassung ha
1839	1	0008	69	ben sich die Hebräer einen bedeutenden und vom
1839	1	0008	70	Wechsel menschlicher Urtheile ungefährdeten Na
1839	1	0008	71	men erworben, wohl aber als Träger religiöser
1839	1	0008	72	Ideen, als Inhaber eines geistigen Gutes, welches,
1839	1	0008	73	wo nicht in ihrer Mitte zuerst entstanden, doch un
1839	1	0008	74	ter ihnen ausgebildet, und jedenfalls durch sie der
1839	1	0008	75	Welt und Nachwelt zum Bewusstseyn gekommen
1839	1	0008	76	ist. Diese Ideen aber, sofern sie Gegenstand ge
1839	1	0008	77	schichtlicher Erörterungen seyn können, sind un
1839	1	0008	78	zertrennlich an die Schriften geknüpft, welche aus
1839	1	0008	79	dem Schoosse jenes Volkes hervorgegangen ganz
1839	1	0008	80	eigentlich den Maassstab abgeben müssen für die
1839	1	0008	81	Beurtheilung seines Ranges unter den Nationen.
1839	1	0008	82	Die politische Geschichte der Hebräer wird, in Be
1839	1	0008	83	tracht der Dürftigkeit der Quellen und der geringen
1839	1	0008	84	Wichtigkeit der Ereignisse, immer Stückwerk blei
1839	1	0008	85	ben und je länger desto weniger bearbeitet werden,
1839	1	0008	86	wenn man sie nicht im Interesse vorgefasster Urtheile
1839	1	0008	87	oder gar a priori (wie der Vf, der „Staatsverfassung
1839	1	0008	88	der Israeliten") schreiben will. Die Geschichte der
1839	1	0008	89	hebräischen Literatur aber ist ein neuer, grossarti
1839	1	0008	90	ger, unsres Jahrhunderts würdiger, und demselben
1839	1	0008	91	vielleicht erreichbarer Gegenstand; ein Gegenstand
1839	1	0008	92	der dem Ref. herrlich genug geschienen hat, um
1839	1	0008	93	zum Mittelpunkte umfassender wissenschaftlicher
1839	1	0008	94	Beschäftigungen gemacht zu werden. Dass diese
1839	1	0008	95	Geschichte nicht damit anfangen werde, zu lehren,
1839	1	0008	96	A. L. Z. 1839. Erster Band. - A -
1839	1	0009	1	3 ALLG. LITERATUR - ZEITUNG - 4
1839	1	0009	2	was der Ausdruck Vetus Testamentum bedeute; dass
1839	1	0009	3	sie nicht von einer Sammlung heiliger Schriften spre
1839	1	0009	4	chen werde, ehe man die Schriften kennt welche ge
1839	1	0009	5	sammelt werden sollen; dass sie nicht die Reihe der
1839	1	0009	6	selben mit den Büchern Mosis beginnen werde, um
1839	1	0009	7	nachher naiv zu erklären, dass diese Bücher verhält
1839	1	0009	8	nissmässig zur jüngern Literatur gehören, dies und
1839	1	0009	9	ähnliches mehr braucht hier nicht erinnert zu werden.
1839	1	0009	10	Das aber muss ausdrücklich gesagt werden, dass die
1839	1	0009	11	se Geschichte weder mit Maleachi noch mit dem ho
1839	1	0009	12	hen Liede, und eben so wenig mit dem Gesang der
1839	1	0009	13	drei Männer im Ofen aufhören dürfe, wenn sie nicht
1839	1	0009	14	einem Baume gleichen soll, welcher der Hälfte seiner
1839	1	0009	15	Zweige und Blätter beraubt wäre; dass sie vielmehr
1839	1	0009	16	alles begreifen werde und müsse, was organisch aus
1839	1	0009	17	derselben Wurzel, auf demselben Stamme erwachsen
1839	1	0009	18	ist; dass sie das Hebräervolk begleiten werde auf
1839	1	0009	19	seiner endlosen Wanderung um die Erde, überall in
1839	1	0009	20	der wachsenden Fluth seiner geistigen Erzeugnisse
1839	1	0009	21	den immer bleichern Abglanz der einst so lebendigen
1839	1	0009	22	gottentstammten Idee betrachtend; zuschauend der
1839	1	0009	23	freudenleeren und nutzlosen Anstrengung, womit zwei
1839	1	0009	24	Jahrtausende aus den erschöpften Adern des einst so
1839	1	0009	25	reichen Schachtes nur todtes und bröckelndes Ge
1839	1	0009	26	stein zu Tage gefördert haben, eine Anstrengung
1839	1	0009	27	worüber sie alles, alles verloren, nur nicht die Erin
1839	1	0009	28	nerung und die Hoffnung. Aber auch die schönste
1839	1	0009	29	Krone des Baumes, das edelste Reis gepfropft auf
1839	1	0009	30	den alternden, sterbenden Stamm, das Neue Testa
1839	1	0009	31	ment, gehört mit in die Geschichte, nicht nur weil es
1839	1	0009	32	durch sie erklärt wird, sondern am meisten weil sie
1839	1	0009	33	durch dieses ihre wahre Weihe enthält.
1839	1	0009	34	Allerdings wird man uns bemerken, dass eine sol
1839	1	0009	35	che Geschichte unmöglich ist, so lange über die mei
1839	1	0009	36	sten dahin gehörigen speciellen Fragen, besonders
1839	1	0009	37	in Betreff des Alters und der Integrität vieler wichti
1839	1	0009	38	gen Theile des A. T. die Stimmführer unter den Kri
1839	1	0009	39	tikern noch so divergente Ansichten aufstellen. An
1839	1	0009	40	dieser Bemerkung ist so viel wahr, dass nicht blos
1839	1	0009	41	die Auffassung des Ganzen aus diesem oder jenem
1839	1	0009	42	Gesichtspunkte, sondern auch schon die Einschal
1839	1	0009	43	tung des Einzelnen an diesem oder jenem, nach sub
1839	1	0009	44	jektiven Gründen gewählten, Orte vielfache Einspra
1839	1	0009	45	che erfahren wird. Allein dies ist ja auch der Fall
1839	1	0009	46	mit der Einleitung ins A. T. im gewöhnlichen Sinne
1839	1	0009	47	des Wortes. Jeder Kritiker muss sich doch noth
1839	1	0009	48	wendig Rechenschaft geben von dem relativen Wer
1839	1	0009	49	the aller Elemente seiner kritischen Ueberzeugung;
1839	1	0009	50	jeder muss also, sofern es ihm nicht an Urtheilskraft
1839	1	0009	51	gebricht, in allen controversen Fragen, wenigstens
1839	1	0009	52	in allen wichtigen, zu irgend einem Resultate kom
1839	1	0009	53	men; aber ist er so weit und hat die geistige Fähig
1839	1	0009	54	keit dazu, so wird er auch aus dem zerstreuten Ein
1839	1	0009	55	zelnen das Ganze zu konstruiren wissen. Baustü
1839	1	0009	56	cke, gross und klein, zahllos und in unzähliger Form
1839	1	0009	57	hat der Scharfsinn und Fleiss der letzten 60 Jahre
1839	1	0009	58	zusammengeschleppt. Jetzt gälte es, dass der Philo
1839	1	0009	59	soph den Grund zum Hause legte, der Historiker die
1839	1	0009	60	Stücke ordnete und einfügte, der Aesthetiker die
1839	1	0009	61	äussere Gestaltung des Gebäudes mit geübtem Blicke
1839	1	0009	62	begleitete. Wer doch hoffen dürfte hier sein Meister
1839	1	0009	63	stück zu machen!
1839	1	0009	64	Aber selbst ein Versuch dazu existirt in der deut
1839	1	0009	65	schen Literatur nicht, und in welcher andern wollte
1839	1	0009	66	man ihn suchen? Eine Ahnung der Aufgabe hatte
1839	1	0009	67	Spinoza in seinem Tractatus theologico-politicus, al
1839	1	0009	68	lein sein Zweck war zu beschränkt, seine Richtung
1839	1	0009	69	zu einseitig, seine Mittel zu unvollständig. Einen
1839	1	0009	70	kühnen Griff, aber zu kühn für die wissenschaftlichen
1839	1	0009	71	Hilfsmittel seiner Zeit that Nachtigal (Otmar) in
1839	1	0009	72	seinen berühmten Fragmenten über die allmählige
1839	1	0009	73	Bildung der den Israeliten heiligen Schriften: an
1839	1	0009	74	einzelnen Perioden versuchten sich unter andern Pau
1839	1	0009	75	lus („über den Ursprung der althebräischen Litera
1839	1	0009	76	tur") und Hartmann („die enge Verbindung des A.
1839	1	0009	77	T. mit deu Neuen") letzterer dem Stoffe nach dem
1839	1	0009	78	Ziele näher als die übrigen, aber dem Geiste, der
1839	1	0009	79	Idee nach eben sofern: andre ( Lowth, Herder) ha
1839	1	0009	80	ben sich eine einzelne Gattung in der Literatur ge
