year	vol	page	line	content
1835	2	0003	1	=-- T
1835	2	0003	2	– ITY OFMICIIIo
1835	2	0003	3	ÄZ- N -
1835	2	0003	4	KW L
1835	2	0003	5	-
1835	2	0003	6	-
1835	2	0003	7	v E
1835	2	0003	8	z
1835	2	0003	9	E
1835	2	0003	10	=
1835	2	0003	11	=
1835	2	0003	12	“-
1835	2	0003	13	Yimm Tf
1835	2	0003	14	--- Sº
1835	2	0003	15	ITIEF
1835	2	0006	1	ALLGEMEINE
1835	2	0006	2	-
1835	2	0006	3	vo M JAH R E
1835	2	0006	4	1835.
1835	2	0006	5	Z WE I T E R BA N D.
1835	2	0006	6	M. A II bis A U G U S T.
1835	2	0006	7	H A L L E,
1835	2	0006	8	in der Expedition dieser Zeit ung
1835	2	0006	9	bei C. A. Schwetschke und Sohn,
1835	2	0006	10	und L E I PZIG,
1835	2	0006	11	in der König 1. Säch s. privil. Zeitung s – Expedition.
1835	2	0006	12	1 83 5.
1835	2	0006	13	LITERATUR - zErTUNG
1835	2	0006	14	- Ärr ERSE
1835	2	0007	1	|
1835	2	0007	2	-
1835	2	0007	3	|
1835	2	0007	4	-
1835	2	0007	5	*
1835	2	0007	6	•
1835	2	0007	7	•
1835	2	0007	8	·
1835	2	0007	9	·
1835	2	0007	10	}
1835	2	0007	11	·
1835	2	0007	12	·
1835	2	0007	13	*
1835	2	0007	14	*
1835	2	0007	15	·
1835	2	0007	16	*
1835	2	0007	17	+
1835	2	0007	18	*
1835	2	0007	19	，
1835	2	0007	20	|
1835	2	0007	21	×
1835	2	0007	22	|
1835	2	0007	23	-
1835	2	0007	24	|
1835	2	0007	25	-
1835	2	0007	26	|
1835	2	0007	27	-
1835	2	0007	28	|
1835	2	0007	29	-
1835	2	0007	30	*
1835	2	0007	31	·
1835	2	0007	32	-
1835	2	0007	33	*
1835	2	0007	34	·
1835	2	0007	35	|
1835	2	0007	36	-
1835	2	0007	37	*
1835	2	0007	38	„
1835	2	0007	39	~
1835	2	0007	40	~
1835	2	0007	41	~
1835	2	0007	42	~
1835	2	0007	43	~
1835	2	0007	44	*
1835	2	0007	45	·
1835	2	0007	46	*
1835	2	0007	47	…
1835	2	0007	48	·
1835	2	0007	49	~
1835	2	0007	50	~
1835	2	0007	51	~
1835	2	0007	52	:
1835	2	0007	53	■
1835	2	0007	54	*
1835	2	0007	55	*
1835	2	0007	56	*
1835	2	0007	57	*
1835	2	0007	58	…
1835	2	0007	59	！
1835	2	0007	60	…
1835	2	0007	61	,
1835	2	0007	62	*
