year	vol	page	line	content
1831	1	0003	1	S- ſºll
1831	1	0003	2	- - -
1831	1	0003	3	%
1831	1	0003	4	CEE (DFTHIE
1831	1	0005	1	=
1831	1	0005	2	=
1831	1	0005	3	№
1831	1	0006	1	A LL GE MEINE
1831	1	0006	2	LITERATUR-ZEITUNG
1831	1	0006	3	V O M J A H P E
1831	1	0006	4	18 31.
1831	1	0006	5	E R ST ER BAND.
1831	1	0006	6	J A N U A R bis A P R I L.
1831	1	0006	7	-----
1831	1	0006	8	- H A L L E,
1831	1	0006	9	in der Expedition dieser Zeit ung
1831	1	0006	10	bey C. A. Schwetschke und Sohn,
1831	1	0006	11	un d LE I PZ I G,
1831	1	0006	12	in der König 1. Sächs privi . Zeitung s – Expedition,
1831	1	0006	13	1 8 3 1.
1831	1	0007	1	！
1831	1	0007	2	！
1831	1	0007	3	！
1831	1	0007	4	！
1831	1	0007	5	！
1831	1	0007	6	---
1831	1	0008	1	A L L G E M E I N E
1831	1	0008	2	L IT E RATUR - ZEITUNG
1831	1	0008	3	a uf d a s Jahr
1831	1	0008	4	1 8 3 1
1831	1	0008	5	o der
1831	1	0008	6	Sieben und vierzigster Jahrgang.
1831	1	0008	7	Herausgegeben
1831	1	0008	8	V O 11
1831	1	0008	9	C. G. S c h ü t z,
1831	1	0008	10	in Verbindung mit
1831	1	0008	11	F. Blume, L. F. Kaemtz,
1831	1	0008	12	L. H. Friedländer, M. H. E. Meier,
1831	1	0008	13	W. Gesenius, T. G. Voigtel,
1831	1	0008	14	J. G. Gruber, J. A. L. Wegscheider,
1831	1	0008	15	Professoren auf der König 1. vereinten Friedrich s – Universität
1831	1	0008	16	zu H a l 1 e.
1831	1	0009	1	*
1831	1	0009	2	•
1831	1	0009	3	•
1831	1	0009	4	•
1831	1	0009	5	•
1831	1	0009	6	•
1831	1	0009	7	~
1831	1	0009	8	~
1831	1	0009	9	*
1831	1	0009	10	*
1831	1	0009	11	*
1831	1	0009	12	.
1831	1	0009	13	*
1831	1	0010	1	2. - - - -
1831	1	0010	2	/2 – 5 --
1831	1	0010	3	--- 1 --*-*
1831	1	0010	4	- 43
1831	1	0010	5	AL GE ME IN E LI T E RATUR - Z E IT U N G
1831	1	0010	6	Januar 1831. -
