year	vol	page	line	content
1833	1	0003	1	RSITYOFMIC
1833	1	0003	2	>-TS
1833	1	0004	1	E
1833	1	0004	2	. A H2
1833	1	0005	1	-
1833	1	0005	2	，
1833	1	0005	3	→
1833	1	0005	4	·
1833	1	0005	5	•
1833	1	0005	6	•
1833	1	0005	7	•
1833	1	0005	8	•
1833	1	0005	9	•
1833	1	0005	10	•
1833	1	0005	11	•
1833	1	0005	12	•
1833	1	0005	13	）
1833	1	0005	14	-
1833	1	0005	15	-
1833	1	0005	16	~
1833	1	0005	17	~
1833	1	0005	18	~
1833	1	0005	19	~
1833	1	0005	20	~
1833	1	0005	21	~
1833	1	0005	22	~
1833	1	0005	23	~
1833	1	0005	24	-
1833	1	0005	25	-
1833	1	0005	26	-
1833	1	0005	27	-
1833	1	0005	28	•
1833	1	0005	29	~
1833	1	0005	30	~
1833	1	0005	31	~
1833	1	0005	32	~
1833	1	0005	33	~
1833	1	0005	34	！
1833	1	0005	35	，
1833	1	0005	36	-
1833	1	0005	37	*
1833	1	0005	38	-
1833	1	0005	39	*
1833	1	0005	40	…
1833	1	0005	41	=
1833	1	0005	42	）
1833	1	0005	43	=
1833	1	0005	44	=
1833	1	0005	45	=
1833	1	0005	46	~
1833	1	0005	47	：
1833	1	0005	48	：
1833	1	0005	49	~
1833	1	0005	50	♥
1833	1	0005	51	-
1833	1	0005	52	-
1833	1	0005	53	~
1833	1	0005	54	*
1833	1	0005	55	e
1833	1	0005	56	º
1833	1	0005	57	:
1833	1	0005	58	_
1833	1	0005	59	_
1833	1	0005	60	—
1833	1	0005	61	•
1833	1	0005	62	•
1833	1	0005	63	æ
1833	1	0005	64	~
1833	1	0005	65	~
1833	1	0005	66	~
1833	1	0005	67	=
1833	1	0005	68	！
1833	1	0005	69	=
1833	1	0005	70	æ
1833	1	0006	1	A L LG EM E INE
1833	1	0006	2	LITERATUR - ZEITUNG
1833	1	0006	3	vo M JAH RE
1833	1	0006	4	18 33.
1833	1	0006	5	E R S T E R B A N D.
1833	1	0006	6	J A N U A P bis A P P I L.
1833	1	0006	7	----
1833	1	0006	8	CDENZEN
1833	1	0006	9	xTHEW2.S-KOLKS
1833	1	0006	10	ziBLIOTHEK
1833	1	0006	11	H A L L E,
1833	1	0006	12	in der Expedition dieser Zeit ung
1833	1	0006	13	bei C. A. Schwetschke und Sohn,
1833	1	0006	14	un d LE I PZ I G,
1833	1	0006	15	in der König 1. Säch s. privil. Zeitung s – Expedition.
