year	vol	page	line	content
1831	5	0002	1	bei
1831	5	0003	1	LIBRÄRYSED ofTHE
1831	5	0003	2	NERSTIGEÄ(AN
1831	5	0003	3	----------
1831	5	0005	1	（
1831	5	0005	2	*
1831	5	0005	3	*
1831	5	0005	4	*
1831	5	0005	5	*
1831	5	0005	6	…
1831	5	0005	7	*
1831	5	0005	8	*
1831	5	0005	9	*
1831	5	0005	10	-
1831	5	0005	11	-
1831	5	0005	12	*
1831	5	0005	13	*
1831	5	0005	14	*
1831	5	0005	15	æ
1831	5	0005	16	-
1831	5	0005	17	º
1831	5	0005	18	！
1831	5	0005	19	！
1831	5	0005	20	！
1831	5	0005	21	，
1831	5	0005	22	”
1831	5	0005	23	~
1831	5	0005	24	~
1831	5	0005	25	~
1831	5	0005	26	~
1831	5	0005	27	~
1831	5	0005	28	a
1831	5	0005	29	e
1831	5	0005	30	a
1831	5	0005	31	e
1831	5	0005	32	a
1831	5	0005	33	e
1831	5	0005	34	-
1831	5	0005	35	-
1831	5	0005	36	~
1831	5	0005	37	~
1831	5	0005	38	~
1831	5	0005	39	~
1831	5	0005	40	）
1831	5	0005	41	=
1831	5	0005	42	=
1831	5	0005	43	_
1831	5	0005	44	=
1831	5	0005	45	-
1831	5	0005	46	-
1831	5	0005	47	-
1831	5	0005	48	-
1831	5	0005	49	-
1831	5	0005	50	-
1831	5	0005	51	-
1831	5	0005	52	_
1831	5	0005	53	_
1831	5	0005	54	_
1831	5	0005	55	-
1831	5	0005	56	-
1831	5	0005	57	-
1831	5	0005	58	-
1831	5	0005	59	~
1831	5	0005	60	♥
1831	5	0005	61	~
1831	5	0005	62	：
1831	5	0005	63	：
1831	5	0005	64	=
1831	5	0005	65	|
1831	5	0005	66	•
1831	5	0005	67	■
1831	5	0006	1	- A LL GE MEINE
1831	5	0006	2	-
1831	5	0006	3	LITERATUR-ZEITUNG
1831	5	0006	4	V O M J A H P. E
1831	5	0006	5	1 8 31.
1831	5	0006	6	F Ü N F T E R B A N D.
1831	5	0006	7	D I E IN T EL L I GE N Z B L Ä T T E R
1831	5	0006	8	di e s es Jahr gang s
1831	5	0006	9	e
1831	5	0006	10	ent halten d.
1831	5	0006	11	H ALLE,
1831	5	0006	12	in der Expedition dieser Zeitung
1831	5	0006	13	bey C. A. Schwetschke und Sohn,
1831	5	0006	14	un d LE I PZ IG,
1831	5	0006	15	in der König l. Sä c h s. privi l. Zeitung s – Expedition.
1831	5	0006	16	1 8 3 1.
1831	5	0007	1	·
1831	5	0007	2	*
1831	5	0007	3	·*
1831	5	0007	4	*
1831	5	0007	5	*
1831	5	0007	6	…
1831	5	0007	7	.
1831	5	0007	8	•
1831	5	0007	9	--
1831	5	0008	1	De
1831	5	0008	2	- - fa1 “,
1831	5	0008	3	- 0 :/ -
1831	5	0008	4	I N T EL LI
1831	5	0008	5	-- 1 *-
1831	5	0008	6	G EN zB LATT
1831	5	0008	7	der
1831	5	0008	8	A LL GEM E IN EN LI TE RA TUR - ZEITUNG
1831	5	0008	9	Januar 1831.
1831	5	0008	10	L IT ERA R I SCHE NA C H RICHTEN.
1831	5	0008	11	I. Assises de Jérusalem.
1831	5	0008	12	Panis, im Verlag der Themis: Mémoire lud la
1831	5	0008	13	séance publique de l'académie des inscriptions et
1831	5	0008	14	belles lettres, par M. Pardessus. 1829. 8. (aus
1831	5	0008	15	der Thémis vöm J. 1829.)
1831	5	0008	16	Nach der Einnahme Jerusalems, im J. 1099, setzte
1831	5	0008	17	der neue König Gottfried von Bouillon zwey Gerichts
1831	5	0008	18	höfe ein: den oberen der Barone, und den niederen
1831	5	0008	19	oder Bürgerhof. Jeder dieser Gerichtshöfe wurde mit
1831	5	0008	20	einer besonderen Instruction, einer Art Gesetzbuch,
1831	5	0008	21	versehen, deren Inhalt aus französischem Land – und
1831	5	0008	22	Stadtrecht (droit coutumier) geschöpft war. Diese Bü–
1831	5	0008	23	cher haben sich unter den Namen Assisen bis auf den
1831	5	0008	24	heutigen Tag erhalten. Sie wurden in Konstantinopel
1831	5	0008	25	für Balduin's Gefolge angenommen, als dieser im J. 1204
1831	5	0008	26	griechischer Kaiser wurde; und gleicherweise hatte
1831	5	0008	27	Guy de Lusignan sie im J. 1192 als König von Cypern
1831	5	0008	28	adoptirt. Auf dieser Insel galten sie noch im J. 1489,
1831	5	0008	29	als dieselbe der Republik Venedig unterworfen wurde,
1831	5	0008	30	und zwar in etwas modernisirter Sprache nach einer
1831	5	0008	31	Revision vom J. 1369. Da jedoch die französische
1831	5	0008	32	Sprache weder den Insulanern noch den Venetianern
1831	5	0008	33	geläufig war, so veranstaltete man jetzt zugleich eine
1831	5	0008	34	neugriechische und eine italienische Uebersetzung, wo
1831	5	0008	35	bey man zwey französische Handschriften mit groſser
1831	5	0008	36	Sorgfalt zumGrunde legte. Von der griechischen Ueber
1831	5	0008	37	setzung hat sich ein Bruchstück aus einer Handschrift
1831	5	0008	38	des funfzehnten Jahrhunderts in der Pariser Bibliothek
1831	5	0008	39	Num. 139o erhalten; der italienische Text wurde 1535
1831	5	0008	40	zu Venedig unter dem Titel: Alta e bassa corte ole
1831	5	0008	41	assise de Hyerusalem, und neuerdings in Canciani's
1831	5	0008	42	leges barbarorum Tom. II und V wieder abgedruckt.
1831	5	0008	43	Von dem französischen Original aber ist bisher nur die
1831	5	0008	44	eine, den Oberhof betreffende Hälfte, nach einer un
1831	5	0008	45	vollständigen vatikanischen Handschrift von Thaumas
1831	5	0008	46	sière herausgegeben worden (Bourges 1690. Fol.) Es
1831	5	0008	47	war jedoch Eine von den vorhin erwähnten beiden
1831	5	0008	48	Originalhandschriften nach Venedig gekommen, wo
1831	5	0008	49	sie 149o in das Archiv der Dieci, und 1789 in die
1831	5	0008	50	Markusbibliothek gebracht wurde. Ludwig XVI
1831	5	0008	51	wünschte eine Abschrift derselben, welche unter Mo
1831	5	0008	52	relli's Aufsicht mit solcher Genauigkeit veranstaltet
1831	5	0008	53	wurde, daſs man sie eigentlich ein groſses Facsimile
1831	5	0008	54	nennen konnte. Sie kam im Februar 1791 nach Paris
1831	5	0008	55	und sollte nun von dem Advokaten Ager herausge
1831	5	0008	56	geben werden, was aber durch die Fortschritte jer
1831	5	0008	57	Revolution verhindert wurde. So verlor sich die Ajº
1831	5	0008	58	schrift auf unbekannte Weise aus der Nationalbiblio
1831	5	0008	59	hek, kam nach Ruſsland, dann nach Polen, und zu
1831	5	0008	60	ºtzt nach Paris zurück, wo sie im Januar 1830 wieder
1831	5	0008	61	für die königliche Bibliothek angekauft wurde.
1831	5	0008	62	Inzwischen war aber auch das Original im J. I79
1831	5	0008	63	yon Venedig nach Paris gebracht worden, und häÄ
1831	5	0008	64	hier bis zum J. 1815 unbenutzt gelegen; seitdem ist es
1831	5	0008	65	in Wien, von wo aus es in den letzten Jahren, ehe
1831	5	0008	66	man Hºrell's Abschrift wieder entdeckte, abermas
1831	5	0008	67	zum Behuf einer neuen Abschrift nach Paris verborgt
1831	5	0008	68	worden ist,
1831	5	0008	69	Hr. Pardessus, der schon früher (lois maritimes
1831	5	0008	70	T.I. Chap. 7) einen Beytrag zu der Geschichte diej
1831	5	0008	71	französischen Originaltextes gegeben, hat jetzt auch
1831	5	0008	72	den neuesten Fund in der vorlin genannten Abhand
1831	5	0008	73	Jung, bekannt gemacht. Sein Eifer hat verj.
1831	5	0008	74	mit dazu beygetragen, die kürzlich von zweyen Schwei
1831	5	0008	75	ern, Hn. Kasler und Hn. Dr. Bluntschli, angekün
1831	5	0008	76	dete vollständige Ausgabe des französischen Textes
1831	5	0008	77	*" Veranlassen; und wir werden ihm dafür um so mehr
1831	5	0008	78	zu danken haben, als wir seiner Angabe zufolge nicht
1831	5	0008	79	nur die Assisen selbst, sondern auch noch manche bis
1831	5	0008	80	her ganz unbekannte Verhandlungen von groſsem hi
1831	5	0008	81	sorischen Interesse erwarten dürfen.
1831	5	0008	82	- Blume.
1831	5	0008	83	II. Luther's Briefe an die Fürsten
1831	5	0008	84	von Anhalt.
