year	vol	page	line	content
1829	3	0002	1	UC-NRLF
1829	3	0002	2	B 4 5DD 42
1829	3	0003	1	<se kete
1829	3	0003	2	L1BRARY
1829	3	0003	3	UNIVERSITY OF
1829	3	0003	4	CALIFORNIA
1829	3	0005	1	：
1829	3	0005	2	æ
1829	3	0005	3	æ
1829	3	0005	4	，
1829	3	0005	5	æ
1829	3	0005	6	，
1829	3	0005	7	，
1829	3	0005	8	！
1829	3	0005	9	！
1829	3	0005	10	！
1829	3	0005	11	！
1829	3	0005	12	！
1829	3	0005	13	！
1829	3	0005	14	！
1829	3	0005	15	-
1829	3	0005	16	-
1829	3	0005	17	*
1829	3	0005	18	*
1829	3	0005	19	，
1829	3	0006	1	LITERATUR-ZEITUNG
1829	3	0006	2	/
1829	3	0006	3	v o M JA H RE
1829	3	0006	4	1 8 29.
1829	3	0006	5	DR IT T E R B AN D.
1829	3	0006	6	s EP T E M BE A bis D E C E M BE
1829	3	0006	7	H A L L E,
1829	3	0006	8	in der Expedition dieſer Zeitung
1829	3	0006	9	bey C. A. Schwetſchke und Sohn,
1829	3	0006	10	un d LE I P Z I G,
1829	3	0006	11	in der König l. Säch f. privi l. Zeit ung s – Expedition.
1829	3	0006	12	- - 1 8 2 9.
1829	3	0007	1	# – - - - -
1829	3	0007	2	-
1829	3	0007	3	–
1829	3	0007	4	*
1829	3	0007	5	* * * * .
1829	3	0007	6	'
1829	3	0007	7	-
1829	3	0007	8	-
1829	3	0007	9	--- --------- -- -- - - - - - -
1829	3	0007	10	- - ---
1829	3	0007	11	-
1829	3	0007	12	i --
1829	3	0007	13	.
1829	3	0007	14	– } .
1829	3	0007	15	- *
1829	3	0007	16	- -
1829	3	0007	17	-
1829	3	0007	18	-
1829	3	0007	19	-
1829	3	0007	20	-
1829	3	0007	21	-
1829	3	0007	22	-
1829	3	0007	23	/
1829	3	0007	24	-
1829	3	0007	25	-
1829	3	0007	26	-
1829	3	0008	1	1 a- 16f – - 2
1829	3	0008	2	A LL GE M E IN E LI T E RAT UR - z E IT U N G
1829	3	0008	3	Ä7September 1829. - #z:
1829	3	0008	4	ſofort den Anfang.– Das Abſchreiben beginnt„ÄF".REFORMATIONSGESCHICHTE.
1829	3	0008	5	HAN Nov En, in der Helwing. Hofbuehh.: Ge
1829	3	0008	6	/chichte des auf dem Reichstage zu Augsburg
1829	3	0008	7	im Jahre 1530 übergebenen GÄbjbjf
1829	3	0008	8	/es der Proteſtanten, nebſt den vornehmſten
1829	3	0008	9	Lebensnachrichten aller auf dem Reichstage zu
1829	3	0008	10	- Augsburg geweſenen päpſtlich und evangeliſch
1829	3	0008	11	Geſinnten. Von Heinr. Wilh.Ä Pa
1829	3	0008	12	ſtor Primarius am Dom zu Bremen, der Theolo
1829	3	0008	13	gie und Philoſophie Doctor. 1829. XVIII u.488 S.
1829	3	0008	14	gr. 8. (2 Rthlr. 12 gGr.)
1829	3	0008	15	De bevorſtehende Feyer des dritten Jubelfeſtes
1829	3	0008	16	der Uebergabe der Augsburg. Confeſſion läſst eine
1829	3	0008	17	Menge von Schriften erwarten, welche die Ge–
1829	3	0008	18	ſchichte des ewig denkwürdigen Reichstages und das
1829	3	0008	19	Leben der Männer, aus deren frommen, gläubigen
1829	3	0008	20	Geiſte und hohen Sinne für Wahrheit und für
1829	3	0008	21	Recht jenes Denkmal eines reinern Glaubens hervor
1829	3	0008	22	# verkünden allen denen, welche die evangeli
1829	3	0008	23	che Kirche vereint, damit Niemand es vergeſſe,
1829	3	0008	24	welchen Dank wir den Schöpfern und Begründern der
1829	3	0008	25	Glaubens- und Lehrfreyheit ſchuldig ſind, und jeder
1829	3	0008	26	die Verpflichtung erkenne, fortzuwirken in ihrem
1829	3	0008	27	Geiſte und ihnen nachzueifern im Leben, im Glau
1829	3	0008	28	ben und in der Lehre. Jeder aus dieſem Sinne her
1829	3	0008	29	vorgegangene Beytrag zur Geſchichte des Reichsta
1829	3	0008	30	ges und der Männer, welche an ihm Theil hatten,
1829	3	0008	31	wird Allen, die es redlich meinen mit unſerer Kir
1829	3	0008	32	che und ihrem Wohle“eine erfreuliche Erſcheinung
1829	3	0008	33	ſeyn, und daſs wir an einer gewiſs nicht geringen
1829	3	0008	34	Zähl derſelben nicht zweifeln dürfen, verbürgt uns
1829	3	0008	35	die Erinnerung an das Reformationsjubelfeſt im
1829	3	0008	36	Jahre 1817.
1829	3	0008	37	Kam uns nun auch das zeitige Erſcheinen des
1829	3	0008	38	vorliegenden Werkes etwas unerwartet, ſo blieb
1829	3	0008	39	uns doch der Gedanke an eine unzeitige Frucht fern.
1829	3	0008	40	Aber unſere Erwartungen wurden auf eine Art ge
1829	3	0008	41	täuſcht, wie wir es nimmer geahnet hätten. Nicht
1829	3	0008	42	leicht iſt wohl ſeit vielen Jahren von einem Manne,
1829	3	0008	43	der doch in der gelehrten Welt auf eine Art von
1829	3	0008	44	Ruf Anſpruch machen könnte, ein Werk mit gröſse
1829	3	0008	45	rem Leichtſinn, um nicht zu ſagen unglaublicherer
1829	3	0008	46	Gewiſſenloſigkeit ausgearbeitet worden, als dieſes,
1829	3	0008	47	und nicht leicht hat wohl ein Gelehrter durch ein ſo
1829	3	0008	48	robes Plagiat ſeine literäriſche Ehre aufs Spiel ge
1829	3	0008	49	et.Zt.
1829	3	0008	50	Es iſt unſere Schuldigkeit, dieſe harte aber ge
1829	3	0008	51	rechte Anklage zu beweiſen; und wir machen damit
1829	3	0008	52	A. L. Z. 1829. Dritter Band.
1829	3	0008	53	495
1829	3	0008	54	mit der Vorrede.
1829	3	0008	55	S. IX des Vorberichtes
1829	3	0008	56	heiſst es:
1829	3	0008	57	V -
1829	3	0008	58	,,Die Geſchichte der augsb.
1829	3	0008	59	Conf und dieſes Reichstages
1829	3	0008	60	iſt bekanntlich von Chyträus,
1829	3	0008	61	Cöleſtin, Müller, Salig, Cy
1829	3	0008	62	prian, Weber und andern
1829	3	0008	63	verdienten Männern bear
1829	3	0008	64	beitet worden, und da ſie
1829	3	0008	65	ſämmtlich Archive benutzt,
1829	3	0008	66	-auch ans Originalacten ge
1829	3	0008	67	ſchöpft haben, ſo iſt für den
1829	3	0008	68	künftigen Geſchichtſchrei
1829	3	0008	69	ber, was Hauptumſtände der
1829	3	0008	70	Geſchichte betrifft, nur we
1829	3	0008	71	nig zur Nachleſe übrig ge
1829	3	0008	72	laſſen." –
1829	3	0008	73	Ferner S. XI:
1829	3	0008	74	J “
1829	3	0008	75	„Ucbrigens unterwerfe
1829	3	0008	76	ich meine Arbeit dehm un
1829	3	0008	77	partheiiſchen Urtheil aller
1829	3	0008	78	Freunde der Critik und Ge
1829	3	0008	79	ſchichte der augsb. Conf.
1829	3	0008	80	Ich bezeuge, daſs Wahrheits
1829	3	0008	81	liebe einzig und allein die
1829	3	0008	82	Freundin geweſen, die mich
1829	3	0008	83	bey dieſer Geſchichte– die
1829	3	0008	84	ein ſo ſonderbares Gewebe
1829	3	0008	85	von Lügen und Wahrheit,
1829	3	0008	86	- fein und grob in einander
1829	3	0008	87	geſchlungen, je nachdem es
1829	3	0008	88	die Gegner für nöthig hiel
1829	3	0008	89	ten, darſtellt, geleitet hat."
1829	3	0008	90	t
1829	3	0008	91	Eben ſo beginnt Weber
1829	3	0008	92	das Vorwort zu f. krit.
1829	3	0008	93	Geſchichte:
1829	3	0008	94	„Die Geſchichte der Aug
1829	3	0008	95	ſpurg. Confeſſ. iſt bekannt
1829	3	0008	96	lich – (bey WYeber fehlt ma-2
1829	3	0008	97	türlich nur der Name: We
1829	3	0008	98	Ber) „bearbeitet worden: und
1829	3	0008	99	da ſie ſämmtlich Archive be
1829	3	0008	100	nutzt, und aus Originalacten
1829	3	0008	101	geſchöpft, oder geſchöpft ha
1829	3	0008	102	ben wollen, ſo dürfte für den
1829	3	0008	103	künftigen Geſchichtſchrei
1829	3	0008	104	ber, was Hauptumſtände der
1829	3	0008	105	Geſchichte betrifft, wenig
1829	3	0008	106	odergar keine Nachleſe übrig
1829	3	0008	107	gelaſſen ſeyn." –
1829	3	0008	108	JWeber a. a. O.
1829	3	0008	109	„Uebrigens unterwerfe ich
1829	3	0008	110	meine Arbeit dem unparteyi
1829	3	0008	111	ſchen Urtheil aller Freunde
1829	3	0008	112	der Kritik und Geſchichte
1829	3	0008	113	der Augſpurg. Conf. Ich be
1829	3	0008	114	zeuge, daſs Wahrheitsliebe
1829	3	0008	115	einzig und allein die Freun
1829	3	0008	116	din geweſen, die mich bey
1829	3	0008	117	meinen Unterſuchungen ge
1829	3	0008	118	leitet." Dazu gehört, was
1829	3	0008	119	WºWeber auf der Rückſeite deſ
1829	3	0008	120	ſelben Blattes, aber in ande
1829	3	0008	121	rer Verbindung, als bey Hn.
1829	3	0008	122	R. ſagt: ,,und welch ein ſon
1829	3	0008	123	derbares Gernälde wird nicht
1829	3	0008	124	entſtchen, von hiſtoriſcher
1829	3	0008	125	Lüge und Wahrheit, fein
1829	3	0008	126	und grob in einander ver
1829	3	0008	127	ſchlungen, je nachdem Zeiten
1829	3	0008	128	oder Umſtände waren“ u. T. w.
1829	3	0008	129	Wir ſehen daraus, daſs Hr. R. ſogar da, wo es ſich
1829	3	0008	130	um ganz andere Dinge als um Geſchichte und ihre
1829	3	0008	131	Darſtellung handelt, ſich nicht ſcheute zu einem
1829	3	0008	132	wörtlichen Abſchreiber zu werden.
1829	3	0008	133	Um unſern Beweis weiter zu führen, gehen wir zu
1829	3	0008	134	dem Werke ſelbſt über und geben ihn zuerſt durch
1829	3	0008	135	Nachweiſung einiger Quellen Hn. R's. in der 1ſten Ab
1829	3	0008	136	theilung, welche die Geſchichte des Reichstages ent
1829	3	0008	137	hält. Wir bemerken dabey, daſs, wenn der Vf, es
1829	3	0008	138	verlangen ſollte, wir erbötig ſind; ihm Seite für
1829	3	0008	139	Seite nachzuweiſen, wo er abgeſchrieben habe.
1829	3	0008	140	Der Vf, der langen Recenſion dieſes Buches in der
1829	3	0008	141	Jen. Lit. Zeit. Nr. 52–54 dieſes J. fühlte wohlÄ
1829	3	0008	142	A I
1829	3	0009	1	Z
1829	3	0009	2	4ALLG. LITERATUR - zEITUNG
1829	3	0009	3	fahren haben.
1829	3	0009	4	Rotermund S. 8 ff.
1829	3	0009	5	„Die ſiebenzehn Glaubens
1829	3	0009	6	artikel, welche der Grund
1829	3	0009	7	und der erſte Entwurf der
1829	3	0009	8	Augsb. Conf. ſind, werden
1829	3	0009	9	nicht nur die Schwabachi
1829	3	0009	10	ſchen, ſondern auch die Tor
1829	3	0009	11	gauiſchen und zuweilen die
1829	3	0009	12	Schmalkaldiſchen genannt;
1829	3	0009	13	die letzte Benennung hat
1829	3	0009	14	man wieder aufgegeben, um
1829	3	0009	15	ſie nicht mit den acht Jahre
1829	3	0009	16	Ipäter zu Schmalkalden un
1829	3	0009	17	terſchriebenen Artikeln, die
1829	3	0009	18	daher den Namen erhalten
1829	3	0009	19	und einen Theil der ſymbol.
1829	3	0009	20	Bücher ausmachen, zu ver
1829	3	0009	21	mengen" u. ſ. w.
1829	3	0009	22	Ungleichheit in der Darſtellung, einen Mangel an
1829	3	0009	23	Pragmatismus" und meinte darum, wir erhielten
1829	3	0009	24	hier mehr eine Chronik, höchſtens eine räſonniren
1829	3	0009	25	de Chronik der Geſchichte des Reichstags, aber er
1829	3	0009	26	hätte nur auf die Quellen von Hn. R's. Geſchichte
1829	3	0009	27	zurückgehen ſollen und würde den Grund davon er
1829	3	0009	28	Riederer in f. Nachrichten
1829	3	0009	29	I. Bd. S. 48 ff.
1829	3	0009	30	,, Siebenzehn Glaubensar
1829	3	0009	31	tikel, welche der Grund und
1829	3	0009	32	erſte Entwurf der augſp.
1829	3	0009	33	Conf. ſind, werden bekann
1829	3	0009	34	ter Maſſen die ſchwabachi
1829	3	0009	35	ſchen nicht nur, , ſondern
1829	3	0009	36	auch die Torgauiſchen, und
1829	3	0009	37	manchesmal die ſchmalkal
1829	3	0009	38	diſchen genennt. –
