year	vol	page	line	content
1829	5	0002	1	Till
1829	5	0002	2	B 4 5DD 425
1829	5	0003	1	L1BRARY
1829	5	0003	2	ururvERSITY OF
1829	5	0003	3	cAuFORNIA
1829	5	0004	1	A L L G E M E I N E
1829	5	0004	2	LITERATUR-ZEITUNG
1829	5	0004	3	V O MI J A H R E
1829	5	0004	4	1 8 29.
1829	5	0004	5	FÜNF T ER BA N D.
1829	5	0004	6	D I E 1 N T E L L 1 GE N zB LÄT T E R
1829	5	0004	7	&
1829	5	0004	8	di e fes Ja h r g a n gs
1829	5	0004	9	ent halten d.
1829	5	0004	10	.
1829	5	0004	11	-
1829	5	0004	12	H A L L E,
1829	5	0004	13	*
1829	5	0004	14	-
1829	5	0004	15	in der Expedition dieſer Zeit ung
1829	5	0004	16	bey C. A. Schwetſchke und Sohn,
1829	5	0004	17	- un d LE I PZ I G,
1829	5	0004	18	in der König 1. Säch f. privi l. Zeitung s - Expedition:
1829	5	0004	19	1 8 29.
1829	5	0004	20	- - - --- - –
1829	5	0005	1	- -
1829	5	0005	2	---
1829	5	0005	3	----- - - -
1829	5	0005	4	)
1829	5	0006	1	-- 1 -
1829	5	0006	2	zes
1829	5	0006	3	- AS
1829	5	0006	4	1 N T EL L 1 G EN z BLATT - -
1829	5	0006	5	- - - - - - - - - - - der Zºº
1829	5	0006	6	ALL GEM E IN EN LI T E RATUR - z itung
1829	5	0006	7	LiBRARM
1829	5	0006	8	- Januar 1829.
1829	5	0006	9	A n kündi g un
1829	5	0006	10	SCH00
1829	5	0006	11	g
1829	5	0006	12	betreffend
1829	5	0006	13	E. . .
1829	5	0006	14	Indem die A. L. Z. hiemit ihren fünf und vierzigſten
1829	5	0006	15	Jahrgang beginnt, kann das unterzeichnete Directorium
1829	5	0006	16	nicht umhin, vor allem andern den verbindlichſten
1829	5	0006	17	Dank allen denen darzubringen, welche ſie als Mit
1829	5	0006	18	arbeiter durch ihre Beyträge unterſtützt haben, zumal
1829	5	0006	19	in der Zeit, wodurch den unerwartet ſchnellen Todes
1829	5	0006	20	fall des verdienſtvollen Prof. Erſch im Anfange des
1829	5	0006	21	vorigen Jahres eine ſo ſchleunige Veränderung in der
1829	5	0006	22	Redäction herbeygeführt werden muſste, daſs die neuen
1829	5	0006	23	Mitglieder derſelben nicht anders als unvorbereitet ſeyn
1829	5	0006	24	konnten. "
1829	5	0006	25	Ein Blick auf den ſoeben geſchloſſenen Jahrgang
1829	5	0006	26	wird, wie wir hoffen, hinreichend zeigen, wie ſehr
1829	5	0006	27	wir uns dieſes Beyſtandes zu erfreuen gehabt, zugleich
1829	5	0006	28	aber aucb, wie die Herausgeber eifrig geftrebt haben,
1829	5	0006	29	den wohlbegründeten Ruhm des Inſtitutes zu erhalten.
1829	5	0006	30	Um ſo mehr dürfen wir bey der, uns auch für die Zu
1829	5	0006	31	Kunft zugeſagten, und bereits durch ihre eingeſendeten
1829	5	0006	32	Beyträge für den jetzigen Jahrgang bethätigten, Mit
1829	5	0006	33	wirkung der trefflichſten Gelehrten aus allen Fächern
1829	5	0006	34	imit froher Zuverſicht hoffen, den Beyfall und dasVer
1829	5	0006	35	trauen unſerer Leſer, wovon uns die erfreulichften Be
1829	5	0006	36	weiſe bereits geworden ſind, in immer höherm Grade
1829	5	0006	37	zu erlangen. Eben dieſe ſteigende Theilnahme des
1829	5	0006	38	Publicums iſt es nun aber auch, welche uns in den
1829	5	0006	39	Stand ſetzt, dem Inſtitute eine von vielen Seiten ge
1829	5	0006	40	wünſchte, gröſsere Ausdehnung zu geben. : 2 -
1829	5	0006	41	Vom Anfange dieſes Jahres an wird nämlich das
1829	5	0006	42	mit der A. L. Z. verbundene Intelligenzblatt wieder als
1829	5	0006	43	ein beſonders für ſich beſtehendes Ganzes erſcheinen
1829	5	0006	44	und, ohne der bisher für Regenſionen beſtimmt Feue
1829	5	0006	45	ſenen Zahl der Stücke nur den mindeſten Eintrag zit
1829	5	0006	46	thun, ohne deswegen den bisherigen Preis zu erhöhen,
1829	5	0006	47	eine weſentliche Erweiterung und Verbeſſerung er
1829	5	0006	48	halten. Denn in dem erſten Abſchnitte deſſelben, den
1829	5	0006	49	- Literariſchen Nachrichten, -
1829	5	0006	50	werden - 1 ., -- -
1829	5	0006	51	–1) die Ueberſichten der ausländiſchen Literatur in
1829	5	0006	52	- gröſserer Ausdehnung gegeben; -
1829	5	0006	53	"
1829	5	0006	54	" -
1829	5	0006	55	- - - - -
1829	5	0006	56	- -
1829	5	0006	57	die Allgemeine Literatur - Zeitung
1829	5	0006	58	für das Jahr 1829. - -
1829	5	0006	59	2) die Nachrichten von denkwürdigen Gelehrten
1829	5	0006	60	Deutſchlandes ſowohl als des Auslandes ver
1829	5	0006	61	mehrt; und übrigens fortgeſetzt werden:
1829	5	0006	62	3) die Nachrichten von Univerſitäten und Gelehrten
1829	5	0006	63	Schulen;
1829	5	0006	64	- ".
1829	5	0006	65	4) von Todesfällen der Schriftſteller;
1829	5	0006	66	– 5) Ehrenbezeigungen, Belohnungen und Ver
1829	5	0006	67	- ſetzungen der Gelehrten; -
1829	5	0006	68	6) Erfindungen und Entdeckungen;
1829	5	0006	69	7) Preisaufgaben und Preisvertheilungen der Aka
1829	5	0006	70	demieen;
1829	5	0006	71	-
1829	5	0006	72	8) Neuen öffentlichen und Privatanſtalten zur Be
1829	5	0006	73	förderung der Gelehrſamkeit. 4
1829	5	0006	74	In dem zweyten Abſchnitte oder den /.
1829	5	0006	75	Literariſchen Anzeigen
1829	5	0006	76	Ä gegen die bekannten Inſertionsgebühren ihren
1829	5	0006	77	alZ : -
1829	5	0006	78	1) Anzeigen der auf Univerſitäten zu haltenden
1829	5	0006	79	Vorleſungen;
1829	5	0006	80	2) Ankündigungen neuer Bücher;
1829	5	0006	81	) Ankündigungen neuer Kupferſtiche, Landkarten
1829	5	0006	82	und Muſikalien; -
1829	5	0006	83	4) Anzeigen von zu haltenden Auctionen;
1829	5	0006	84	–e 5) Cataloge von verkäuflichen Büchern, Naturalien
1829	5	0006	85	und Kunſtſachen;
1829	5	0006	86	–6) Anzeigen von herabgeſetzten Bücherpreiſen;
1829	5	0006	87	6) Antikritiken gegen Recenſionen in der A. L. Z.
1829	5	0006	88	- und andern kritiſchen Journalen; -
1829	5	0006	89	-8) Vermiſchte Anzeigen aller Art.
1829	5	0006	90	Durch dieſe Einrichtung wird der Jahrgang von
1829	5	0006	91	vier Bänden auf fünf vermehrt, der Preis aber, wie
1829	5	0006	92	ſchon oben bemerkt, nicht erhöhet.
1829	5	0006	93	Wir zweifeln nicht, daſs unſer Vorhaben ſich der
1829	5	0006	94	allgemeinen Billigung erfreuen und als ein Beweis der
1829	5	0006	95	dankbaren Anerkennung des uns bisher bewieſenen
1829	5	0006	96	Beyfalls werde angeſehen werden.
1829	5	0006	97	Directorium der Allgem. Lit. Zeitung.
1829	5	0006	98	LITE
1829	5	0006	99	- -
1829	5	0006	100	A.
1829	5	0006	101	4SG
1829	5	0007	1	L I TE RA R I SCH E A N ZEIGEN. - -
1829	5	0007	2	I. Neue periodiſche Schriften.
1829	5	0007	3	Folgende Zeitſchriften erſcheinen im Jahr 1829 in
1829	5	0007	4	meinem Verlage, und ſind wöchentlich oder
1829	5	0007	5	monatlich durch alle Buchhandlungen, poſttäg
1829	5	0007	6	lich durch alle Poſtämter zu beziehen:
1829	5	0007	7	Die allgemeine Militärzeitung, herausgegeben von ei
1829	5	0007	8	ner Geſellſchaft deutſcher Officiere und Militärbeam
1829	5	0007	9	ten (wöchentlich zwey Numern; zuweilen mit Ab
1829	5	0007	10	bildungen). Preis halbjährlich 2F Rthlr. od. 4 Fl.
1829	5	0007	11	Die allgemeine Kirchenzeitung, herausgegeben von Dr.
1829	5	0007	12	E. Zimmermann (wöchentlich vier Blätter). Preis
1829	5	0007	13	halbjährlich 3 Rthlr. od. 5 Fl.
1829	5	0007	14	Dieſelbe mit dem Theologiſchen Literaturblatt(wöchent
1829	5	0007	15	lich zwey Blätter). 4. Rthlr. od. 7 Fl. 3o Kr.
1829	5	0007	16	Die allgemeine Schulzeitung, herausgegeben von Dr.
1829	5	0007	17	E. Zimmermann (wöchentlich ſechs Blätter). Preis
1829	5	0007	18	halbjährlich 4# Rthlr. od. 7 Fl. 3o Kr.
1829	5	0007	19	Die erſte Abtheilung derſelben für das Allgemeine und
1829	5	0007	20	Volksſchulweſen, beſonders, in Monatsheften halb
1829	5	0007	21	jährlich 25 Rthlr. od. 3 Fl. 45 Kr.
1829	5	0007	22	Die zweyte Abtheilung für Berufs- und Gelehrtenbil
1829	5	0007	23	dung, beſonders, in Monatsheften halbjährlich
1829	5	0007	24	24 Rthlr. od. 4 Fl. 45 Kr.
1829	5	0007	25	Zeitſchrift für Phyſiologie. In Verbindung mit mehre
1829	5	0007	26	ren Gelehrten herausgegeben von Fr. Tiedemann,
1829	5	0007	27	G. R. Treviranus und L. C. Treviranus. Mit Kpfrn.
1829	5	0007	28	(Uedes Heft wird beſonders berechnet)
1829	5	0007	29	Montagsblatt, für Freunde gebildeter Unterhaltung.
1829	5	0007	30	(Wöchentlich eineNumer) Preis halbjährlich 1 Rthlr.
1829	5	0007	31	od. 1 Fl. 3o Kr.
1829	5	0007	32	Darmſtadt, den 1. December 1828.
1829	5	0007	33	Karl Wilhelm Leske.
1829	5	0007	34	II. Ankündigungen neuer Bücher.
1829	5	0007	35	Für Geſchichtsfreunde und Leſezirkel.
1829	5	0007	36	Forum der Kritik Äm Gebiete der Geſchichte und ihrer
1829	5	0007	37	Hülfswiſſenſchaften. In Begleitung von Blättern
1829	5	0007	38	für Kunſt und Wiſſenſchaft überhaupt. Herausge
1829	5	0007	39	geben von Dr. F. Wachter. Erſten Bandes zweyte
1829	5	0007	40	Abtheilung. Altenburg, Literatur – Com
1829	5	0007	41	ptoir. Pr. 16 gr.
1829	5	0007	42	Hauptzweck iſt gründliche Belehrung, Auswahl,
