year	vol	page	line	content
1837	2	0002	1	B 158997
1837	2	0004	1	Ä. 2- A-S
1837	2	0004	2	, A H2
1837	2	0005	1	-
1837	2	0005	2	*
1837	2	0005	3	-
1837	2	0005	4	-
1837	2	0005	5	→
1837	2	0005	6	•
1837	2	0005	7	•
1837	2	0005	8	•
1837	2	0005	9	•
1837	2	0005	10	•
1837	2	0005	11	•
1837	2	0005	12	•
1837	2	0005	13	•
1837	2	0005	14	•
1837	2	0005	15	•
1837	2	0005	16	-
1837	2	0005	17	-
1837	2	0005	18	-
1837	2	0005	19	-
1837	2	0005	20	★
1837	2	0005	21	→
1837	2	0005	22	–
1837	2	0005	23	–
1837	2	0005	24	–
1837	2	0005	25	-
1837	2	0005	26	→
1837	2	0005	27	*
1837	2	0005	28	_
1837	2	0005	29	_
1837	2	0005	30	-
1837	2	0005	31	-
1837	2	0005	32	-
1837	2	0005	33	-
1837	2	0005	34	-
1837	2	0005	35	-
1837	2	0005	36	-
1837	2	0005	37	~
1837	2	0005	38	-
1837	2	0005	39	-
1837	2	0005	40	~
1837	2	0005	41	~
1837	2	0005	42	~
1837	2	0005	43	~
1837	2	0005	44	"
1837	2	0005	45	，
1837	2	0005	46	→
1837	2	0005	47	-
1837	2	0005	48	-
1837	2	0005	49	-
1837	2	0005	50	-
1837	2	0005	51	-
1837	2	0005	52	-
1837	2	0005	53	~
1837	2	0005	54	~
1837	2	0005	55	~
1837	2	0005	56	~
1837	2	0005	57	-
1837	2	0005	58	•
1837	2	0005	59	~
1837	2	0005	60	~
1837	2	0005	61	~
1837	2	0005	62	~
1837	2	0005	63	.
1837	2	0005	64	：
1837	2	0005	65	）
1837	2	0005	66	~
1837	2	0005	67	-
1837	2	0005	68	-
1837	2	0005	69	~
1837	2	0005	70	~
1837	2	0005	71	~
1837	2	0005	72	~
1837	2	0005	73	-
1837	2	0005	74	…
1837	2	0005	75	）
1837	2	0005	76	-
1837	2	0005	77	-
1837	2	0005	78	~
1837	2	0005	79	~
1837	2	0005	80	~
1837	2	0005	81	·
1837	2	0005	82	=
1837	2	0005	83	）
1837	2	0005	84	-
1837	2	0005	85	-
1837	2	0005	86	-
1837	2	0005	87	-
1837	2	0005	88	-
1837	2	0005	89	-
1837	2	0005	90	-
1837	2	0005	91	-
1837	2	0005	92	-
1837	2	0005	93	-
1837	2	0005	94	-
1837	2	0005	95	-
1837	2	0005	96	º
1837	2	0005	97	-
1837	2	0005	98	-
1837	2	0005	99	-
1837	2	0005	100	-
1837	2	0005	101	-
1837	2	0005	102	-
1837	2	0005	103	-
1837	2	0005	104	-
1837	2	0005	105	|
1837	2	0005	106	-
1837	2	0005	107	•
1837	2	0005	108	•
1837	2	0005	109	•
1837	2	0005	110	·
1837	2	0006	1	ALLGEMEINE
1837	2	0006	2	LITERATUR- zErTUNG
1837	2	0006	3	W O M J A H R E. º.
1837	2	0006	4	1 8 337.
1837	2	0006	5	Z W E I T E R B A N D.
1837	2	0006	6	M A I bis A U G U S T.
1837	2	0006	7	Z ODENs..
1837	2	0006	8	ºr, -
1837	2	0006	9	Ärne.
1837	2	0006	10	H A L L E,
1837	2	0006	11	in der Expedition dieser Zeitung
1837	2	0006	12	bei C. A. Schwetschke und Sohn,
1837	2	0006	13	un d LE I PZIG,
1837	2	0006	14	in der König 1. Sächs. privil. Zeitungs – Expeditiºn.
1837	2	0006	15	- 1 83 7,
1837	2	0008	1	- - - - - -
1837	2	0008	2	J. sº et
1837	2	0008	3	o-5-f
1837	2	0008	4	-
1837	2	0008	5	ALLGE
1837	2	0008	6	– 77 –
1837	2	0008	7	M EINE LITERATUR - ZEITUNG
1837	2	0008	8	2
1837	2	0008	9	Mai 1837.
1837	2	0008	10	ALTERTHUMSKUNDE.
1837	2	0008	11	LEIpzio, b. Vogel: Scripturae linguaeque Phoeni
1837	2	0008	12	ciae monumenta quotquot supersunt editaet ine
1837	2	0008	13	dita ad autographorum optimorumque exemplo
1837	2	0008	14	rum fidem edidit additisque de scriptura et lingua
1837	2	0008	15	Phoenicum commentariis illustravit Guil. Gesenius.
1837	2	0008	16	T. I. duos priores de litteris et inscriptionibus
1837	2	0008	17	Phoenicum libros continens. T. II. _duos po
1837	2	0008	18	steriores de numis deque lingua Phoenicum
1837	2	0008	19	libros continens. Mit fortlaufenden Seitenzahlen
1837	2	0008	20	XXVIII u.482 S.. T. III. quadragita ser ta
1837	2	0008	21	bulas lapidi - inscriptas continens. 1837. gr. 4.
1837	2	0008	22	U nter den Schriftdenkmälern des Alterthums sind
1837	2	0008	23	vielleicht wenige, die einen so gerechtenÄ
1837	2	0008	24	auf die Aufmerksamkeit nicht allein des gelehrten
1837	2	0008	25	Schrift- und Sprachforschers, sondern des Ge
1837	2	0008	26	schichts- und Alterthumsforschers überhaupt hätten,
1837	2	0008	27	als die Trümmer der phönizischen Litterätur, die
1837	2	0008	28	sich auf Inschriften und Münzen erhalten haben.
1837	2	0008	29	Zwar gehen dieselben weder in ein graues Alterthum
1837	2	0008	30	hinauf“), noch geben sie bedeutende und groſsartige
1837	2	0008	31	Aufschlüsse über wichtige Begebenheiten der phöni
1837	2	0008	32	zischen Vorzeit, vielmehr stehen sie dem Alter nach
1837	2	0008	33	selbst hinter den ältesten griechischen Denkmälern
1837	2	0008	34	zurück (das älteste Denkmal mit phönizischer Schriſt
1837	2	0008	35	scheint eine cilicische vorhandene Münze aus der Per
1837	2	0008	36	sischen Zeit in Bezug auf den Seesieg bei Cnidus Ol.
1837	2	0008	37	96,3d. i.394 v. Chr., das jüngste auf dem Triumphbo
1837	2	0008	38	gen des Septimius Severus in Leptis gehört ins Jahr
1837	2	0008	39	der Stadt 956 d. i. 203 n. Chr.): nächstdem aber,
1837	2	0008	40	daſs sie die einzigen Ueberbleibsel der Originallitte
1837	2	0008	41	ratur **) zweier in die Geschichte der Menschheit
1837	2	0008	42	so gewaltig eingreifenden Völker, wie die Phönizier
1837	2	0008	43	und Carthager (zu denen noch die Numidier kommen)
1837	2	0008	44	enthalten, besteht ihr hauptsächlichstes Interesse in
1837	2	0008	45	dem Graphischen derselben, sofern sie eine Buchsta
1837	2	0008	46	benschrift enthalten, welche jedenfalls und unbe
1837	2	0008	47	stritten die Mutter der griechischen und mithin der
1837	2	0008	48	abendländischen Buchstabenschrift überhaupt, höchst
1837	2	0008	49	.
1837	2	0008	50	„ohne Vergleich
1837	2	0008	51	wahrscheinlich aber (s. unten) mehr als dieses, näm
1837	2	0008	52	lich die Schrift der Schrifterfinder selbst ist. Die er
1837	2	0008	53	ste Entzifferung der eigentlich phönizischen Schrift,
1837	2	0008	54	welche um 1750–1758 fast gleichzeitig durch Swin
1837	2	0008	55	ton und Barthelemy erfolgte, war daher kein gerin
1837	2	0008	56	ges Verdienst, welches noch schönere Früchte getra
1837	2	0008	57	gen haben würde, wenn statt mancher geschmacklo
1837	2	0008	58	sen und halbgelehrten Pfuschereyen, die der treffli
1837	2	0008	59	che Eckhel durch die Benennung „taedia Phoenicia"
1837	2	0008	60	characterisirte, die erste Entdeckung von allen Pa
1837	2	0008	61	läographen mit der geschmackvollen Gelehrsamkeit
1837	2	0008	62	Ä dem Talent von Älterblad befestigt, ergänzt und
1837	2	0008	63	fortgebildet worden wäre. – Indessen fehlte es
1837	2	0008	64	zugleich an hinlänglichem Material, da bis zu Hum
1837	2	0008	65	bert's Nachgrabungen im Jahr 1817 auf dem Gebiet
1837	2	0008	66	von Karthago selbst auch noch kein Phönizischer
1837	2	0008	67	Buchstab zuÄ gekommen war ***), und U. F.
1837	2	0008	68	Kopp, welcher durch seine „Entwickelung der semi
1837	2	0008	69	tischen Schriften (Bilder und Schriften II, Nr. 4)"
1837	2	0008	70	und die darin vorkommende, wiewohl kurze und
1837	2	0008	71	wenig erschöpfende, auch durch viel unnöthige und
1837	2	0008	72	widrige Polemik entstellte Abhandlung „über die
1837	2	0008	73	Phönizische Schrift" (S. 178 –220) ein neues Le
1837	2	0008	74	ben in die graphische Behandlung dieser Schriftart,
1837	2	0008	75	wie in die Paläographie überhaupt brachte, würde
1837	2	0008	76	refflicheres geleistet haben, wenn
1837	2	0008	77	ihm theils ein reicheres und vor Allem correcte
1837	2	0008	78	res Material zu Gebot Ä hätte, theils er
1837	2	0008	79	sich hätte von gewissen Vorurtheilen losmachen kön
1837	2	0008	80	nen, unter denen das bedeutendste in einem eigensin
1837	2	0008	81	nigen und sclayischen Festhalten an den (oft in unzu
1837	2	0008	82	verlässigen Abschriften) überlieferten Schriftzii
1837	2	0008	83	gen neben einer absoluten Verkennung und Ver
1837	2	0008	84	achtung der Rechte des (von ihm wenig gekannten)
1837	2	0008	85	Sprachgebrauchs bestand. Seit Kopp (der indessen
1837	2	0008	86	selbst das damals vorhandene Material nurunvollkom
1837	2	0008	87	men benutzt hat) hat sich dieses besonders durch die
1837	2	0008	88	Nachforschungen im Tunesischen Gebiet theils auf
1837	2	0008	89	den Trümmern von Carthago selbst theils in der
1837	2	0008	90	Nähe der Stadt Keff (-5) d. i. Sicca Wenerea
1837	2	0008	91	durch die Bemühungen des Grafen Borgia, der Hnn.
1837	2	0008	92	Hum
1837	2	0008	93	*) Nur die Maltesischen Fabrikate (s. A. L. Z. 1835. Nr. 186. 187) prätendirten bis zu Olymp. 86, 3, und zuletzt bei stei
1837	2	0008	94	gender Unverschämtheit der Falsarien bis über die Ogygische Fluth hinaus zu gehen.
1837	2	0008	95	**) Selbst ein echtes Exemplar des Philo Byblius würde bei der Ungewiſsheit, ob und wie dieser Schriftsteller hönizische
1837	2	0008	96	Originale benutzt hat, nur ein sehr zweifelhaftes und unzuverlässiges Abbildseines phönizischen Original riftstellers
1837	2	0008	97	gewährt haben.
1837	2	0008	98	***) So schien es wenigstens und stellt es Humbert selbst dar: auch war in der That von dem zu Tage gekommenen noch
1837	2	0008	99	nichts erklärt. Indessen die von mir sogenannte Numidica V war schon früher im Museum zu London, ja die inscr.
1837	2	0008	100	Tuggensis wird schon 1631 von dem Renegaten Th. d'Areos erwähnt. -
1837	2	0008	101	4. L. Z. 1837. Zweiter Band.
1837	2	0008	102	- - -
1837	2	0008	103	A -
1837	2	0009	1	3 ALLG. LITERATUR - ZEITUNG “
1837	2	0009	2	Humbert, Falbe, Scheele, Sir Grenville Temple, und
1837	2	0009	3	ganz zuletzt des Sir Thomns Reade und Hn. Honegger
1837	2	0009	4	sehr bedeutend vermehrt. Wie wenig aber die Kunst
1837	2	0009	5	der Entzifferung mit dem Glück der Auffinder Schritt
1837	2	0009	6	gehalten hat, zeigt theils die enorme Divergenz in der
1837	2	0009	7	Auslegung selbst ziemlich gut geschriebener Monu
1837	2	0009	8	mente und von Seiten der geachtetsten Gelehrten
1837	2	0009	9	(groſs genug, um das Vertrauen auf jede sichere
1837	2	0009	10	Lesung dieser Denkmäler zu rauben), theils das Ge
1837	2	0009	11	ständniſs der unterrichtetsten Männer in diesem Fa
1837	2	0009	12	ehe, daſs eine ganze Klasse von Denkmälern, näm
1837	2	0009	13	lich die im Carthaginensischen Gebiet auſserhalb der
1837	2	0009	14	Stadt selbst gefundenen, überhaupt nicht gelesen
1837	2	0009	15	werden könnten. Als Beispiel der ersteren diene
