year	vol	page	line	content
1832	2	0002	1	-r
1832	2	0002	2	K /
1832	2	0003	1	f ' ■&i~.
1832	2	0003	2	■
1832	2	0006	1	ALLGEMEINE
1832	2	0006	2	LITERATUR-ZEITUNG
1832	2	0006	3	VOM JAHRE
1832	2	0006	4	18 3 2.
1832	2	0006	5	ZWEYTER BAND.
1832	2	0006	6	MAY bis AUGUST.
1832	2	0006	7	HALLE,
1832	2	0006	8	in der Expedition dieser Zeitung
1832	2	0006	9	bey C. A. Schwetschke und Sohn,
1832	2	0006	10	und LEIPZIG,
1832	2	0006	11	in der König], Sachs, privil. Zeitungs- Expedition.
1832	2	0006	12	18 3 2..
1832	2	0007	1	/
1832	2	0007	2	^-'ßfe
1832	2	0008	1	i _ 81 2
1832	2	0008	2	ALLGEMEINE LITERATUR ■ ZEITUNG
1832	2	0008	3	May 1832.
1832	2	0008	4	THEOLOGIE.
1832	2	0008	5	Nü&kbero, b. Schräg: Dr. Julius August Lud
1832	2	0008	6	wig JVegscheider's Lehrbuch der christli
1832	2	0008	7	chen Dogmatik. Nach der sechsten Ausgabe über
1832	2	0008	8	setzt von Franz Weifs , Cand.d.Theol. inRhein-
1832	2	0008	9	bayern. 18S1. XLVIII u. 631 S. gr. 8. (2 Rthr.
1832	2	0008	10	8 Ggr.)
1832	2	0008	11	M,Lan hat wohl, wenn gleich wegen Nichtberück
1832	2	0008	12	sichtigung der Prolegomenen in des Hn. Dr. Ws
1832	2	0008	13	Dogmatik etwas ungenau, hie und da behauptet,
1832	2	0008	14	dafs, wer dieses Gelehrten System nach seinem ei
1832	2	0008	15	gentlichen Inhalte rein darstellen wolle, sich eben
1832	2	0008	16	allein oder doch ganz vornehmlich an die in seinem
1832	2	0008	17	Werke mitgetheilten Epikrisen zu halten habe; wes
1832	2	0008	18	halb auch die neuern , leider nur zu wenig im Dien
1832	2	0008	19	ste derWahrheit aufgetretenen, Gegner diesen 1 heil
1832	2	0008	20	des Buches insbesondere befehdeten. Abgesehen
1832	2	0008	21	davon, dafs gerade jene Formalbeschaffenheit des
1832	2	0008	22	Werks viel dazu beytrage, dasselbe auch denjeni
1832	2	0008	23	gen, welche mit der in den Epikrisen enthaltenen
1832	2	0008	24	Gestalt des Rationalismus oder mit dem letztern
1832	2	0008	25	Oberhaupt nicht einverstanden sind , als höchst
1832	2	0008	26	nützlich zum Studium darzustellen, so bemerkt
1832	2	0008	27	Rec. nur, dafs wer sich gedrungen fühlt, den durch
1832	2	0008	28	die Unbesonnenheit der neuevangelischen Eiferer
1832	2	0008	29	nach Dr. Hahn's Vorgange in die supernaturalisti
1832	2	0008	30	schen und rationalistischen Controversen hineinge
1832	2	0008	31	zogenen und nur zu oft durch die unverzeihlichsten
1832	2	0008	32	Entstellungen in Vorlegung des Wschen Systems
1832	2	0008	33	untreu berichteten Laien ein besseres Licht aufzu
1832	2	0008	34	stecken (wenn er nicht den natürlichsten und geeig
1832	2	0008	35	netsten Weg, die einzelnen Entstellungen beson
1832	2	0008	36	ders zu entlarven, verfolgen will), den Widersa
1832	2	0008	37	chern auch darin zu folgen habe, dafs er vornehm
1832	2	0008	38	lich den Inhalt der Epikrisen, aber treu, wiedergebe;
1832	2	0008	39	aber auch von dem übrigen Material des Werkes zu
1832	2	0008	40	seinem besondern Zwecke dasjenige kürzlich aus
1832	2	0008	41	hebe und einverleibe, was zum vollen Verständnifs
1832	2	0008	42	der beurtheilenden Paragraphen unumgänglich noth-
1832	2	0008	43	wendig ist. Daraus würde eine Theorie des Ratio
1832	2	0008	44	nalismus hervorgehen, die als freye deutsche Bear
1832	2	0008	45	beitung (nicht gerade Uebersetzung) eines Theils der
1832	2	0008	46	Institutionen gebildeten Lesern grofses Interesse ge
1832	2	0008	47	währen könnte. Hätte nun Hr. Cand. W. einen sol
1832	2	0008	48	chen Plan in verständiger Ausführung befolgt, so
1832	2	0008	49	würde man ihm dafür danken können. Doch er beab
1832	2	0008	50	sichtigte durch vorliegende Uebersetzung „einem
1832	2	0008	51	vielseitig geäufserten Wunsche des nachdenkenden,
1832	2	0008	52	nicht gelehrt gebildeten Publicums zu entsprechen"
1832	2	0008	53	A. L. Z. 1832. Zweyter Band.
1832	2	0008	54	(Vorr. S. III.) , da „ die Bearbeitung der theologischen
1832	2	0008	55	Dogmatik (dogmatischen Theologie?) nach der ge
1832	2	0008	56	lehrten, gründlichen und doch sehr verständlichen
1832	2	0008	57	Darstellung des Ehrwürdigen Verfs einen gleichen
1832	2	0008	58	Ueberblick der Glaubenslehren des Supernaturalis-
1832	2	0008	59	mus wie des Rationalismus gewähre, was anderswo
1832	2	0008	60	nicht zu finden — Gegensätze aber, neben einander
1832	2	0008	61	festeilt, sich desto heller ins Licht setzen" (S. IV).
1832	2	0008	62	.ber abgesehen davon, dafs zu solchem Behufe die
1832	2	0008	63	rein dogmenhistorischen Paragraphen auszuschlie-
1832	2	0008	64	fsen waren , so hätte die ganze Beschaffenheit der
1832	2	0008	65	von dem Dr. IV. aus guten Gründen in der Gelehr
1832	2	0008	66	tensprache herausgegebenen Institutionen einen um
1832	2	0008	67	sichtigen und gewissenhaften Mann überhaupt be
1832	2	0008	68	denklich machen sollen, jenem theilweise gewifs nur
1832	2	0008	69	neugierigen Verlangen von einem Kreise her zu
1832	2	0008	70	fröhnen, für welchen die Institutionen gar nicht be
1832	2	0008	71	stimmt sind (die Worte des Titels ,,Scholis suis
1832	2	0008	72	scripsit addita dogmatum singulorum historia et cen-
1832	2	0008	73	sura IV.''' hat der Uebersetzer ganz weggelassen!),
1832	2	0008	74	und dadurch sich der Hahn'schen Unüberlegtheit
1832	2	0008	75	mitschuldig zu machen; in keinem Falle aber durfte
1832	2	0008	76	die Sache ohne ausdrückliche Beystimmung oder
1832	2	0008	77	gar ohne alle Befragung des Urhebers selbst unter
1832	2	0008	78	nommen werden , weshalb dann auch Letzterer sich
1832	2	0008	79	mit allem Rechte nachdrücklich gegen eine solche
1832	2	0008	80	Buchmacherey erklärt hat (s. A. L. Z. 1831. Intellig.
1832	2	0008	81	Bl. Nr. 80). Sehn wir nun auf die Art und Weise,
1832	2	0008	82	wie Hr. Cand. TV. seinen Plan im Einzelnen auszu
1832	2	0008	83	führen gesucht, so müssen wir auch diese gar sehr
1832	2	0008	84	mifsbilligen. Der Unparteyische wird schon zum
1832	2	0008	85	unwillkürlichen Lächeln sich veranlafst finden durch
1832	2	0008	86	den Titel, Wo mit Weglassung der eigentlichen Be-
1832	2	0008	87	stimmungs- und nähern Beschaffenheitsangabe des
1832	2	0008	88	Buches , das Motto aus Joh. 8, 32 nicht über
1832	2	0008	89	setzt, sondern griechisch erscheint!! Desgleichen
1832	2	0008	90	ist durchgehends einzig und allein der vom Dr. IV.
1832	2	0008	91	verfafste lateinische Text übersetzt (und auch diefs
1832	2	0008	92	nicht immer, da einzelne Ausdrücke dem Ueber
1832	2	0008	93	setzer zu viel Schwierigkeit dargeboten zu haben
1832	2	0008	94	scheinen, z. B. 212. 221. 230. 233. 237. 256 f.. 125
1832	2	0008	95	und an unzähligen Stellen); dagegen erscheinen die
1832	2	0008	96	bekanntlich nicht wenigen Citate aus griechischen
1832	2	0008	97	und lateinischen Klassikern und Kirchenvätern und
1832	2	0008	98	aus lateinisch geschriebenen Werken älterer und
1832	2	0008	99	neuerer Theologen , hebräische Wörter u. a. unüber-
1832	2	0008	100	setzt, wie auch das persische Wort (S. 327) und die
1832	2	0008	101	syrischen (S. 528), in den Originalzügen aufgeführt
1832	2	0008	102	werden ! Welch eine Kenntniis der Bedürfnisse des
1832	2	0008	103	„nachdenkenden, nicht gelehrt gebildeten Publi
1832	2	0008	104	cums " ! Und hätte auch Hr. W. alle jene Stellen bey
1832	2	0008	105	A ' et
1832	2	0009	1	ALL6. LITERATUR - ZEITUNG
1832	2	0009	2	etwas weniger Mangel an Besonnenheit zu über
1832	2	0009	3	setzen beliebt, so müfsten wir immer fragen , Was
1832	2	0009	4	doch das bediente Publicum mit den unzähligen in
1832	2	0009	5	extenso gegebenen Citaten und gar mit den blofsen
1832	2	0009	6	Verweisungen auf wissenschaftliche , wiederum
1832	2	0009	7	grof.se nt Heils nur in fremder Zunge vorhandene
1832	2	0009	8	Werke beginnen solle? Wer so zweckwidrig zu
1832	2	0009	9	verfahren im Stande war, bätte jene Arbeit lieber
1832	2	0009	10	gänzlich unterlassen sollen. Im Allgemeinen aber
1832	2	0009	11	spielt Hr. Cand. W. den wunderlich sclavischen und
1832	2	0009	12	in der Spraehkenntnifs dem neuevangelischen Kriti
1832	2	0009	13	ker Steiger gar nicht unähnlichen Uebersetzer des
1832	2	0009	14	Dr. ff'schen Lateins. Zuweilen wagt er zwar selbst
1832	2	0009	15	eine Sarhverbesserung, z. B. §. 2 in der achten Note,
1832	2	0009	16	wo im Original steht : Melanchthon in Examine eo~
1832	2	0009	17	rum, qui audiuntur ante rilum ordinationis (Loc.
1832	2	0009	18	theol. 695.) docet, legem moralem u. s. w. Das Citat
1832	2	0009	19	ist allerdings unrichtig; aber Hr. )F. verbessert es
1832	2	0009	20	dergestalt: „Melanchthon Jehrt {Loc. theol. 695.),
1832	2	0009	21	das Sittengesetz sey" u. s. w. , da er vielmehr inExa-
1832	2	0009	22	mine etc. nicht bätte übergehen , wohl aber die Pa
1832	2	0009	23	renthese etwa so ändern sollen: Corp. doctr. 757 vgl.
1832	2	0009	24	Loc. theol. das. 741. Uebrigens sind die meisten Ver
1832	2	0009	25	sehen der sechsten Ausgabe des Originals treulich
1832	2	0009	26	nachgeschrieben, z. B. S. 151 Nitscn st. Nitzsch,
1832	2	0009	27	S. 171 fehlt ccterimoniae nach necessariae in der SteUe
1832	2	0009	28	Apolog. Art. VI11. 205. S. 109 u. a. steht Beck Com-
1832	2	0009	29	mentatt. st. — Commentarr. (S. 116 ist es durch com-
1832	2	0009	30	ment. vermieden) u. s. f. — Die Uebersetzung selbst
1832	2	0009	31	erscheint als höchst unbeholfen und schülerhaft, in
1832	2	0009	32	dem sie meist schwerfällig am Original klebt und
1832	2	0009	33	voll Latinismen ist und jenes nicht selten schief und
1832	2	0009	34	sogar ganz falsch , auch unedel , wiedergiebt. Voll
1832	2	0009	35	ständige Aufzeigung der Belege hiezu dürfte ein ei
1832	2	0009	36	genes Büchlein erheischen. Doch schon einige ver
1832	2	0009	37	mischte ßeyspiele, wie sie dem Rec. gerade aufsto-
1832	2	0009	38	fsen, werden diese Beschaffenheit zur Genüge ver
1832	2	0009	39	anschaulichen. Im §. Sl sagt das Original, dafs bey
1832	2	0009	40	den einzelnen Dogmen zuerst die Kirchenlehre ge-
1832	2	0009	41	feben werden solle, nisi forte ipsa res tractanda
1832	2	0009	42	iblicae doctrinae expositionem praemitti, vel
1832	2	0009	43	eandem cum ecclesiastica coniungi suaderet. Wir
1832	2	0009	44	fibergehen hier, dafs diese Ordnung eigentlich in
1832	2	0009	45	den Institutionen nicht die vorherrschende ist, denn
1832	2	0009	46	im Allgemeinen macht die Bibellehre den Anfang;
1832	2	0009	47	müssen aber die Entstellung des UeberSetzers vor
1832	2	0009	48	legen, welcher sagt: „wenn nicht allenfalls ( !) der
1832	2	0009	49	zu behandelnde Gegenstand selbst räth, die Auf-
1832	2	0009	50	Stellung (?) der biblischen Lehre zu unterlassenen
1832	2	0009	51	Hr. W. las wohl praetermittiP), oder sie mit det
1832	2	0009	52	kirchlichen 2u verbinden." Und gleich im Anfange
1832	2	0009	53	desselben $.: „Bey einer solchen Verschiedenheit —
1832	2	0009	54	fragt man vor*«* "(vielm. „nun", iam) u. s. w. Auch
1832	2	0009	55	bald nach der vorigen Steile: „mit Zurathziehung
1832	2	0009	56	der Schriften von Luther * {in subsidium adductis) —
1832	2	0009	57	„und andern Theologen dieser [eins) Zeit." — $. 54
1832	2	0009	58	sind gleich im Anfange die Wort« rfttae dicuntur
1832	2	0009	59	jj.mz Obergangen; bald darauf ist relationrm quan-
1832	2	0009	60	dtipt übersetzt „die Beziehung"; darnach ideam 06 -
1832	2	0009	61	soluti [absolute perfccli)) qua spiritum perfectissi-
1832	2	0009	62	mum concipimus, „die Idee des Absoluten (des
1832	2	0009	63	absolut Vollkommenen), worunter (st. worin) wir
1832	2	0009	64	den vollkommensten Geist verstehen" (st. begreifen
1832	2	0009	65	od. zusammenfassen); alsbald menti nostrae et ipsi
1832	2	0009	66	maioris perfectionis desiderio imbutae , „unserem
1832	2	0009	67	und zwar von dem Streben (st. sehnlichen Verlan
1832	2	0009	68	gen) nach gröfserer Vollkommenheit erfüllten (statt
1832	2	0009	69	durchdrungenen) Geiste." — §.55. „Ein zwiefacher
1832	2	0009	70	Beweis wird aus der Natur dieser Welt herge
1832	2	0009	71	holt" (!) — dann: ex innumeris sapientiae et summi
1832	2	0009	72	consilii monumentis „aus den unzähligen Zeichen (?)
1832	2	0009	73	der höchsten Weisheit und Absichtlichkeit" (?). —
1832	2	0009	74	§. 58. Addi polest-, quod pantheismus etc. „ Dazu
1832	2	0009	75	kann man fügen (!) , dafs der Pantheismus" u.
1832	2	0009	76	s. w. — $.2 ad amplectendam religionem, „zur
1832	2	0009	77	Annahme (?) der Religion"; §. 3 „die Analogie und
1832	2	0009	78	der eigentümliche Zusammenhang der Gefühle für
1832	2	0009	79	Religion und Tugend" sensuum religionis et virlutis
1832	2	0009	80	analogia nexusque proprius ; — auch sind die Abi.
1832	2	0009	81	absol. nicht verstanden in den Worten natura homi
1832	2	0009	82	nis rationalis — quae, nisi religione ac virtute bent
1832	2	0009	83	coniuncta, „— ist sie nicht mit Religion und Tu
1832	2	0009	84	gend eng verbunden." — §.7 rationis usu cogni-
1832	2	0009	85	lionis humanae legibus adstricto , vermittelst des
1832	2	0009	86	durch die Gesetze der menschlichen Erkenntnifs
1832	2	0009	87	georddeten (!) Gebrauchs der Vernunft." — S. 80
1832	2	0009	88	vel — vel ganz ungehörig durch „theils — theils"
1832	2	0009	89	übersetzt. M. vgl. weiter die ganze schiefe Ueber
1832	2	0009	90	setzung S. 46. S. 49 „— so dafs, was Gott bewirkt,
1832	2	0009	91	in einem einzigen und gleichsam einem Hauptactus
1832	2	0009	92	desselben besteht", ita, ut quae Deus operatur >
1832	2	0009	93	uno ac primario quasi ipsius actu contineantur.
1832	2	0009	94	— §. 93 ist iusta auctoritas, durch „glaublich*
1832	2	0009	95	Auctorität" übersetzt; Amplectamur denique omni,
1832	2	0009	96	quo par est, studio sp. s. durch: „Umfassen wir
1832	2	0009	97	endlich, wie es sich gebührt, eifrig den h. Geist."
1832	2	0009	98	y. 100 veram Dei imaginem hominibus concessam in
1832	2	0009	99	mente sancta ideoque ab omni errore peccatoque
1832	2	0009	100	pura ponendam et ab unoquoque hominum pro parte
1832	2	0009	101	virili exprimendam esse , „dafs das wahre den Men
1832	2	0009	102	schen verliehene Ebenbild Gottes in die heilige, und
1832	2	0009	103	deshalb von allem Irrthum und aller Sünde reine
1832	2	0009	104	Geistesrichtung zu setzen und von jeglichem Men
1832	2	0009	105	schen nach Kräften darzustellen sey.'' — Durch
1832	2	0009	106	Aufweisung von dergleichen Uebersetzerkünslen
1832	2	0009	107	könnte Rec, wie gesagt, leicht mehrere Bogen fül
1832	2	0009	108	len. Doch die Leser werden über die Beschaffenheit
1832	2	0009	109	des vorliegenden Machwerks bereits zur Gnüge ver
1832	2	0009	110	ständigt und Rec. ihre Geduld nicht weiter zu schen
1832	2	0009	111	ken gesonnen seyn. Wir Obergehen daher zugleich,
1832	2	0009	112	dafs das Buch öberdiefs durch unvollständige Co-
1832	2	0009	113	lumnentitel fOr den Gebrauch unbequem geworden
1832	2	0009	114	ist und eine Haupteigenthümlichkeit in Bezeichnung
1832	2	0009	115	der Noten durch Ziffern statt der Buchstaben be
1832	2	0009	116	steht (wobey aber auch z. B. $. 102. 2. st. §. 102 b.
1832	2	0009	117	gesetzt ist. S. 578, was durch die Berichtigung um
1832	2	0009	118	so mehr in die Augen fällt), wie in einem vier Sei
1832	2	0009	119	ten langen und wieder durch föst ein Dutzend Feh
1832	2	0009	120	ler entstellten, aber selbst noch bey weitem nicht
1832	2	0009	121	vollständigen Druckfeblerveraeichnifs , auch in Auf
1832	2	0009	122	nahme
1832	2	0010	1	Nu m. 81. MAY 18 82.
1832	2	0010	2	nähme aller, glücklicherweise hie und da wenig
1832	2	0010	3	stens abgekürzten Vorreden zu den sechs Auflagen
1832	2	0010	4	des Originals. Wie man ein solches Machwerk ,' zu
1832	2	0010	5	mal nach öffentlicher Gegenerklärung des Hn. Dr.
1832	2	0010	6	W. und bestimmter Andeutung seiner Gründe davon,
1832	2	0010	7	in kritischen (!) Blättern zu empfehlen vermag, ist
1832	2	0010	8	Hec. völlig unerklärlich. Schliefslich aber macht
1832	2	0010	9	die dem Vernehmen nach sehr bedeutende Umge
1832	2	0010	10	staltung der bereits unter der Presse befindlichen
1832	2	0010	11	siebenten Auflage des Originals «fese ganz verun
1832	2	0010	12	glückte Uebersetzung der sechsten Auflage durchaus
1832	2	0010	13	unnütz.
1832	2	0010	14	E RB AU UN GS SCHRIFTEN.
1832	2	0010	15	Darmstadt, b. Leske: Biblische Feyerstun-
1832	2	0010	16	den für gebildete Gottesverehrer aller christli
1832	2	0010	17	chen Bekenntnisse. Ein Erbauungsbuch für das
1832	2	0010	18	Haus. Erster Band. 1829. 824 S. Zweyter Bd.
1832	2	0010	19	1850. 835 S. 8. (2 Rthlr. 8 gr.)
1832	2	0010	20	Auch unter dem Titel:
1832	2	0010	21	Stunden der Andacht zur Beförderung
1832	2	0010	22	wahren Christentums und häuslicher Gottesver
1832	2	0010	23	ehrung. — Neunter und zehnter Band.
1832	2	0010	24	Der ungenannte, aber nicht unbekannte Vf. dieses
1832	2	0010	25	sehr empfeblenswertben Erbauungsbuches (Hr. R.
1832	2	0010	26	b. Hundeiker) fühlte, wie er in der Vorrede sagt,
1832	2	0010	27	seit Jahren das ßedürfnifs einer Bearbeitung der Bi
