year	vol	page	line	content
1835	5	0003	1	- -
1835	5	0003	2	IIIIIIIIIUllllll
1835	5	0003	3	"
1835	5	0003	4	- - -
1835	5	0003	5	-
1835	5	0003	6	-
1835	5	0004	1	- - - S
1835	5	0004	2	. AH3.
1835	5	0005	1	-
1835	5	0005	2	-
1835	5	0005	3	-
1835	5	0005	4	-
1835	5	0005	5	，
1835	5	0005	6	-
1835	5	0005	7	-
1835	5	0005	8	-
1835	5	0005	9	-
1835	5	0005	10	-
1835	5	0005	11	-
1835	5	0005	12	-
1835	5	0005	13	*
1835	5	0005	14	-
1835	5	0006	1	ALLGEMEINE
1835	5	0006	2	LITERATUR - ZEITUNG
1835	5	0006	3	-
1835	5	0006	4	W O MI J A HI R E
1835	5	0006	5	1 83 5.
1835	5	0006	6	FÜNF T E R B AN D.
1835	5	0006	7	D I E IN T E L L I GE NZ BL Ä T T E R
1835	5	0006	8	dieses Jahr g a n gs
1835	5	0006	9	ent h a 1 t e n d.
1835	5	0006	10	H ALLE,
1835	5	0006	11	in der Expedition dieser Zeitung
1835	5	0006	12	bei C. A. Schwetschke und Sohn,
1835	5	0006	13	un d LE I PZ I G,
1835	5	0006	14	in der König l. Sächs. privil. Zeitung s – Expedition.
1835	5	0006	15	1 8 3 5.
1835	5	0007	1	*
1835	5	0007	2	*
1835	5	0007	3	…
1835	5	0007	4	.
1835	5	0007	5	*
1835	5	0007	6	•
1835	5	0007	7	•
1835	5	0007	8	！
1835	5	0007	9	*
1835	5	0007	10	*
1835	5	0007	11	…
1835	5	0007	12	•
1835	5	0007	13	•
1835	5	0007	14	•
1835	5	0007	15	•
1835	5	0007	16	•
1835	5	0007	17	.
1835	5	0007	18	·
1835	5	0007	19	·
1835	5	0007	20	-
1835	5	0007	21	-
1835	5	0007	22	-
1835	5	0007	23	-
1835	5	0007	24	-
1835	5	0007	25	-
1835	5	0007	26	，
1835	5	0007	27	*
1835	5	0007	28	·
1835	5	0007	29	|
1835	5	0007	30	-*
1835	5	0007	31	*
1835	5	0007	32	*
1835	5	0007	33	·
1835	5	0007	34	*
1835	5	0007	35	*
1835	5	0007	36	·
1835	5	0007	37	·
1835	5	0008	1	2 : 77
1835	5	0008	2	1 9 u: -
1835	5	0008	3	- - - - -
1835	5	0008	4	ALLGEMEINEN LI
1835	5	0008	5	– I –
1835	5	0008	6	I NT EL L I GENZ BL A TT
1835	5	0008	7	IDER
1835	5	0008	8	TERATUR - zEITUNG
1835	5	0008	9	Januar 1835.
1835	5	0008	10	L IT ERA R I S C H E
1835	5	0008	11	Ne kr o l og.
1835	5	0008	12	Ferdinand Mackeldey.
1835	5	0008	13	Die Rheinische Friedrich-Wilhelms-Universität zu
1835	5	0008	14	Bonn hat abermals einen groſsen Verlust erlitten.
1835	5	0008	15	Nach einer achtmonatlichen schmerzvollen Unterleibs
1835	5	0008	16	krankheit starb daselbst der erste ordentliche Pro
1835	5	0008	17	fessor in der juristischen Fakultät, Geheime Justizrath
1835	5	0008	18	Dr. Ferdinand Mackeldey, im 49sten Jahre seines rast
1835	5	0008	19	los thätigen und gemeinnützigen Lebens am 20. Oct. –
1835	5	0008	20	DerVerstorbene wurde zu Braunschweig geboren, wo
1835	5	0008	21	sein Vater Herzoglicher Stallmeister war, und er auf
1835	5	0008	22	dem einst so blühenden Collegium Carolinum seine
1835	5	0008	23	akademische Vorbildung erhielt. In Helmstädt wid
1835	5	0008	24	mete er sich zu Anfang dieses Jahrhunderts mit Fleiſs
1835	5	0008	25	und Erfolg den Rechtsstudien, wobei auch ein glück
1835	5	0008	26	liches Gedächtniſs ihm sehr zu Stätten kam. Unter
1835	5	0008	27	seinen Lehrern wirkte insbesondere Oeltze auf seine
1835	5	0008	28	wissenschaftliche und praktische Ausbildung wohl
1835	5	0008	29	thätig ein: und oft und gern hat er desselben noch in
1835	5	0008	30	späteren Jahren dankbar gedacht. – Im Jahre 1806
1835	5	0008	31	erwarb er daselbst die juristische Doctor-Würde und
1835	5	0008	32	fuhr fort, sich literarisch und praktisch mit der Juris
1835	5	0008	33	prudenz zu beschäftigen, als er zur Zeit der Organi
1835	5	0008	34	sation des vormaligen Königreichs Westphalen zum
1835	5	0008	35	Tribunal– Richter bestimmt wurde. – Aber Zufäl
1835	5	0008	36	ligkeiten, welche oft über die Richtung eines ganzen
1835	5	0008	37	Lebens entscheiden, namentlich ein plötzlich einge
1835	5	0008	38	tretener unheilbarer Verlust seines Gehörs, lieſsen ihn
1835	5	0008	39	die akademische Laufbahn wählen. Er eröffnete und
1835	5	0008	40	verfolgte dieselbe mit Glück auf der Universität Mar
1835	5	0008	41	burg, erst unter der Fremdherrschaft und später, nach
1835	5	0008	42	der Restauration, unter der gegenwärtigen Kurfürst
1835	5	0008	43	lich – Hessischen Regierung. # hielt dort Vorlesungen
1835	5	0008	44	über Encyklopädie des Rechts, über Römisches und
1835	5	0008	45	Deutsches Privatrecht, wurde zum auſserordentlichen,
1835	5	0008	46	dann zum ordentlichen Professor befördert, und war
1835	5	0008	47	später auch Beisitzer des Spruch-Collegiums der ju
1835	5	0008	48	ristischen Fakultät. Insbesondere ergriff er mit Eifer
1835	5	0008	49	die neue fremde Gesetzgebung und trug durch Lehre
1835	5	0008	50	und Schrift nicht wenig zu einem gründlicheren Ver
1835	5	0008	51	ständniſs derselben bei. – Namentlich verbreitete
1835	5	0008	52	seine klassische Abhandlung über die Erbfolge, diese
1835	5	0008	53	schwierige Materie des Französischen Gesetzbuchs, ein
1835	5	0008	54	N A CH R I C H T EN.
1835	5	0008	55	neues Licht, und begründete zuerst seinen Ruf auf
1835	5	0008	56	dem Felde der juristischen Literatur. Aus seinen Vor
1835	5	0008	57	trägen über das Römische Recht erwuchsen seine In
1835	5	0008	58	stitutionen desselben, welche zuerst im Jahre 1814 in
1835	5	0008	59	Marburg ans Licht traten, und die er später in Bonn,
1835	5	0008	60	wohin er bald nach Errichtung der Rhein – Universität,
1835	5	0008	61	zu deren schönsten Zierden er bisher gehörte, im
1835	5	0008	62	Jahre 1819 berufen wurde, zu einem „ Lehrbuche des
1835	5	0008	63	heutigen Römischen Rechts" erweiterte, wovon zu
1835	5	0008	64	letzt die zehnte Ausgabe erschienen ist. – Dieses
1835	5	0008	65	vortreffliche Buch, welches dem Namen MIackeldey's
1835	5	0008	66	in der juristischen Literatur ein ehrenvolles Andenken
1835	5	0008	67	sichert, ist wegen seiner lichtvollen Anordnung, der
1835	5	0008	68	darin vorherrschenden Deutlichkeit, Klarheit und Be
1835	5	0008	69	stimmtheit und der dem Verfasser eigenthümlichen
1835	5	0008	70	Leichtigkeit in der Behandlung des Stoffs gleichsam
1835	5	0008	71	ein Gemeingut des juristischen Publikums geworden,
1835	5	0008	72	und hat als solches in den Händen Lehrender und Ler
1835	5	0008	73	nender und der juristischen Geschäftsmänner groſsen,
1835	5	0008	74	allgemein anerkannten Nutzen gestiftet. Nach Frank
1835	5	0008	75	reich, Spanien und Ruſsland ist dasselbe durch Ueber
1835	5	0008	76	setzung in die Landessprache verpflanzt worden. –
1835	5	0008	77	Aber noch mehr als akademischer Lehrer war Mackel–
1835	5	0008	78	dey ausgezeichnet durch dieselben seltenen Eigenschaf
1835	5	0008	79	ten und Talente, welche ihn als juristischen Schrift
1835	5	0008	80	steller hervorhoben. – Gehörte derselbe nach seiner
1835	5	0008	81	individuellen Richtung und inneren Neigung auch nicht
1835	5	0008	82	in so fern zu den originell-produktiven Geistern, als
1835	5	0008	83	es darauf abgesehen ist, in den tiefsten inneren Bau
1835	5	0008	84	der Wissenschaft hinabzusteigen, und aus den dunklen
1835	5	0008	85	Irrgängen derselben das verborgene Erz in neuen selbst
1835	5	0008	86	ständigen Forschuugen und Entdeckungen ans Licht zu
1835	5	0008	87	ziehen; und hatte vielmehr seine Tendenz als Lehrer
1835	5	0008	88	und Schriftsteller vorzugsweise das Bedürfniſs und den
1835	5	0008	89	Nutzen des praktischen Lebens im Auge: so ruheten
1835	5	0008	90	doch in beiderlei Hinsicht alle seine Bestrebungen auf
1835	5	0008	91	der festen Grundlage gründlicher Wissenschaft, von
1835	5	0008	92	welcher sie ausgingen und wohin sie zurückführten.–
1835	5	0008	93	Seine Vorlesungen über Institutionen und Pandekten
1835	5	0008	94	des Römischen Rechts, wie er sie, unter Zugrunde
1835	5	0008	95	legung seines Lehrbuchs, funfzehn Jahre hindurch zu
1835	5	0008	96	Bonn gehalten hat, waren vorzüglich darauf berechnet
1835	5	0008	97	und geeignet, durch Erzeugung klarer und fester Be–
1835	5	0008	98	griffe den jungen Anfänger einzuführen in das groſse
1835	5	0008	99	und schwierige Gebiet des Römischen Rechts, ein
1835	5	0008	100	Pl gründ
1835	5	0009	1	3 – __ 4
1835	5	0009	2	gründlicheres Verständniſs desselben vorzubereiten,
1835	5	0009	3	und, unter Benutzung des historischen und philologi
1835	5	0009	4	schen Elements, so weit es zur Ermittelung und Be
1835	5	0009	5	gründung des darzustellenden juristischen Dogma's ger
1835	5	0009	6	reichte, ihn für ein tieferes Selbststudium zu beleben
1835	5	0009	7	und geschickt zu machen. – Und an dem gröſsten
1835	5	0009	8	Theile seiner immer zahlreichen Zuhörer aus der Nähe
1835	5	0009	9	und Ferne ist ihm dies gewiſs geglückt. Viele ver
1835	5	0009	10	danken seiner Führung ihre Bildung und praktische
1835	5	0009	11	Brauchbarkeit, und wohl keiner hat seine Vorlesungen
1835	5	0009	12	ohne Nutzen besucht. – Seine Vorträge über das ge
1835	5	0009	13	meine Deutsche Lehnrecht unterschieden sich sehr vor
1835	5	0009	14	theilhaft durch materielle Vollständigkeit und gründ
1835	5	0009	15	liche historische Behandlung dieses Rechts– Instituts.
1835	5	0009	16	Vor Allein aber in seinen trefflichen Vorlesungen über
1835	5	0009	17	den gemeinen Deutschen Civil-Prozeſs glänzte sein
1835	5	0009	18	hervorstechendes praktisches Talent. Daſs ihn an der
1835	5	0009	19	schon länger beabsichtigten Ausarbeitung eines Lehr
1835	5	0009	20	buchs über denselben, so wie eines wiederholt ange
1835	5	0009	21	kündigten Handbuchs des Römischen Rechts nach ei
1835	5	0009	22	nem erweiterten Plane, sein gar zu früher Tod verhin–
1835	5	0009	23	derte, ist, nach Maaſsgabe seiner Leistungen, für ei
1835	5	0009	24	nen groſsen Verlust zu achten. Und auf dem Lehr
1835	5	0009	25	stuhle insbesondere wird man ihn für die Bildung
1835	5	0009	26	junger Juristen, wie die Gerichtshöfe und das Leben
1835	5	0009	27	sie bedürfen, immer schmerzlich vermissen.
1835	5	0009	28	Als Mensch gehörte Mackeldey in jeder Beziehung
1835	5	0009	29	zu den erfreulichsten und wohlthuendsten Erschei
1835	5	0009	30	nungen. Ein hingebendes Wohlwollen für Jeder
1835	5	0009	31	mann, Innigkeit des Gemüths und ein sehr reger Sinn
1835	5	0009	32	für alles Gute und Schöne, verbunden mit einer un
1835	5	0009	33	beschreiblichen Liebenswürdigkeit seines ganzen We
1835	5	0009	34	sens, Uneigennützigkeit, strenge Rechtlichkeit, Ge
1835	5	0009	35	radheit und Biederkeit, so wie ein tiefer Abscheu ge
1835	5	0009	36	gen das Schlechte in jeglicher Gestalt, zeichneten ihn
1835	5	0009	37	sein ganzes Leben hindurch rühmlich aus. Seinen
1835	5	0009	38	zahlreichen Freunden, Zuhörern und Allen, welche
1835	5	0009	39	ihn näher kannten, wird sein Andenken daher unver
1835	5	0009	40	geſslich, theuer und werth bleiben. -
1835	5	0009	41	Dieselbe Treue der Gesinnung, welche den Grund
1835	5	0009	42	zug seines Charakters bildete, offenbarte sich auch in
1835	5	0009	43	seiner innigen und unerschütterlichen Anhänglichkeit
1835	5	0009	44	an das Königliche Haus und an die Institutionen des
1835	5	0009	45	Staats, welchem er angehörte. Der unselige Schwin
1835	5	0009	46	delgeist einer aufgeregten Zeit, welche an ihm mit
1835	5	0009	47	vorüberging, war ihm, bei seiner klaren und richtigen
1835	5	0009	48	Einsicht in die Lebens– Verhältnisse, ein wahrer
1835	5	0009	49	Greuel. In Wort und That kämpfte er gegen den
1835	5	0009	50	selben, nach den Gränzen seines Standpunkts, und
1835	5	0009	51	auch in dieser Hinsicht ist sein Einfluſs als akademi
1835	5	0009	52	scher Lehrer um so mehr von Nutzen gewesen, als
1835	5	0009	53	ein Band der Anhänglichkeit, Liebe und des Ver
1835	5	0009	54	trauens ihn mit seinen Zuhörern verknüpfte.
