year	vol	page	line	content
1834	1	0003	1	TTN
1834	1	0003	2	..
1834	1	0004	1	v
1834	1	0006	1	.*
1834	1	0006	2	ALLGEMEINE
1834	1	0006	3	LITERATUR - ZEITUNG
1834	1	0006	4	auf das Jahr
1834	1	0006	5	18 3 4
1834	1	0006	6	oder
1834	1	0006	7	i
1834	1	0006	8	Fünfzigster Jahrgang.
1834	1	0006	9	Herausgegeben
1834	1	0006	10	L. H. Friedländer,
1834	1	0006	11	W.x Gesenius,
1834	1	0006	12	J. G. Gruber,
1834	1	0006	13	L. F. Kaemtz,
1834	1	0006	14	M. H. E. Meier,
1834	1	0006	15	Ch. F. Mühlenbruclr,
1834	1	0006	16	T. G. Voigtel,
1834	1	0006	17	J. A; L. Wegscheider,
1834	1	0006	18	Professoren auf der König 1. Vereinten Friedrich»- Universität
1834	1	0006	19	zu Halle.
1834	1	0007	1	i
1834	1	0007	2	■
1834	1	0007	3	•1 <* k -n 4 L
1834	1	0007	4	t,
1834	1	0008	1	ALLGEMEINE
1834	1	0008	2	LITERATUR - ZEITUNG
1834	1	0008	3	VOM JAHRE
1834	1	0008	4	1834.
1834	1	0008	5	ERSTER BAND.
1834	1	0008	6	JANUAR bis APRIL.
1834	1	0008	7	HALLE,
1834	1	0008	8	in der Expedition dieser Zeitung
1834	1	0008	9	bei C. A. Schwetschke und Sohn,
1834	1	0008	10	und LEIPZIG,
1834	1	0008	11	i h der König 1. Sachs, privil. Zeitung» - Expedition.
1834	1	0008	12	18 3 4.
1834	1	0009	1	J. . - I .'/
1834	1	0009	2	■i •
1834	1	0009	3	«#
1834	1	0009	4	i
1834	1	0010	1	ALLGEMEINE LITERAT UR - ZEIT UNG
1834	1	0010	2	Januar 1834.
1834	1	0010	3	U e b s h t
1834	1	0010	4	der seit 1830 erschienenen
1834	1	0010	5	encyklopadischcn und liter arhistorischen Werke.
1834	1	0010	6	Esne zweckmiissigere Eiulcitung zu dieser TJeber-
1834	1	0010	7	sicht diirfte sich wol schwerlich finden , als die An-
1834	1	0010	8	zeige der Gelegenheitsschrift : „(Jebcr Werden und
1834	1	0010	9	Wirken der Literatur, zunachst in Beziehung aus
1834	1	0010	10	Detrtschlands Literatur unserer Zeit , von Dr. Ludw.
1834	1	0010	11	Wachler" (Bresl.ni 1829.) dnrbietet; eine kleine,
1834	1	0010	12	aber gehaltvolle Schrift, wie schon der Name ihres
1834	1	0010	13	geistreichen , mit dem ganzcn Umfange der Literatur
1834	1	0010	14	innigst vertrauten , Vfs verhiirgt. Nachdcm er mit
1834	1	0010	15	wenigen Meisterziigen das geistige Leben und Wir
1834	1	0010	16	ken unter der Beschra'nkung orientalischer Priester-
1834	1	0010	17	herrscbaft und in der unbeschrh'nkten Allgemeinbeit
1834	1	0010	18	in Griecbenland und Rom bis zum Unterliegen der
1834	1	0010	19	geistigen Regsamkeit daselbst geschildert, wendet
1834	1	0010	20	er den Blick aus die Gcstaltung einer neuen Welt in
1834	1	0010	21	Europa, als Folge der Anpflnnzung und Sicherstel-
1834	1	0010	22	lung des Christenthums , und crinnert damn, wie
1834	1	0010	23	Jabrhunderte hindurch der kirchliclie Bcamtenstand
1834	1	0010	24	die Gerecbtsame der litenarischen Aristokratie aus-
1834	1	0010	25	iibte, iin eilften Jahrbundert geistige Bildung in dem
1834	1	0010	26	Herrenstande sich hervorthat, dann aus den biirger-
1834	1	0010	27	lichen Mittelstand iiberging, fast gleichen Weg 'mit
1834	1	0010	28	dem Gemeinwesen hielt, ersfarkteund siub L'iiitorte
1834	1	0010	29	im harten Streite mit Kastenstolz nnd Zunftgelehr-
1834	1	0010	30	samkeit, bis Humanisten im funfzehntcn Jahrhundert
1834	1	0010	31	eine nllmiilige AhnSherung zvvischen Bildung des
1834	1	0010	32	Volks und wissenschaftlichem Schulgeiste vermittel-
1834	1	0010	33	ten, und die Reformatoren des sechszebnten Jahr-
1834	1	0010	34	hunderts iiberall, wo sic gehort und verstanden
1834	1	0010	35	warden, den beiligen Gerecbtsamen der sittlich-gei-
1834	1	0010	36	stigen Volksbildung Ancrkenniing versebafften. Ifer
1834	1	0010	37	Gang des fortschreitend veredclten geistigen Lcbens
1834	1	0010	38	ziehet von Siiden nach dem Norden , und verbreitet
1834	1	0010	39	sich spitterund zogernd gegen Osten, wShrend die
1834	1	0010	40	Ueberfiille des Westen itber das atlantisebe Meer in
1834	1	0010	41	die neue Welt iiberstromt. — Es wird aus Erwei-
1834	1	0010	42	terung des anfanglich kleincn Publikums hingearbei-
1834	1	0010	43	tet, und versucht, die fiir Theilnahme am geistigen
1834	1	0010	44	Leben Knipffinglichen zu gewinnen. Ein Leserkreis
1834	1	0010	45	muss vorhanden seyn, wenn schriftstellerische Thil-
1834	1	0010	46	tigkeit Bedeutung gewinnen soil, und ist dicse in
1834	1	0010	47	Folge des gescllscbaftlichen Ztistandes gesichert oder
