year	vol	page	line	content
1834	5	0003	1	UNIVERST
1834	5	0003	2	S2
1834	5	0005	1	-
1834	5	0005	2	-
1834	5	0005	3	◄
1834	5	0005	4	：
1834	5	0005	5	=
1834	5	0005	6	，
1834	5	0005	7	-
1834	5	0005	8	-
1834	5	0005	9	-
1834	5	0005	10	-
1834	5	0005	11	-
1834	5	0005	12	-
1834	5	0005	13	-
1834	5	0005	14	-
1834	5	0005	15	-
1834	5	0005	16	~
1834	5	0005	17	~
1834	5	0005	18	–
1834	5	0005	19	–
1834	5	0005	20	–
1834	5	0005	21	–
1834	5	0005	22	–
1834	5	0005	23	–
1834	5	0005	24	）
1834	5	0005	25	~
1834	5	0006	1	- --
1834	5	0006	2	ALLGEMEINE
1834	5	0006	3	LITERATUR - ZEITUNG
1834	5	0006	4	vo M JAHR E
1834	5	0006	5	1834.
1834	5	0006	6	FÜNF T E R BAND.
1834	5	0006	7	D I E I N T E L L I GE N Z B L Ä T T E R
1834	5	0006	8	dieses J a fir g a. ngs
1834	5	0006	9	ent halten d.
1834	5	0006	10	H A L L E,
1834	5	0006	11	in der Expedition dieser Zeitung
1834	5	0006	12	bei C. A. Schwetschke und Sohn,
1834	5	0006	13	un d LE I PZ I G,
1834	5	0006	14	in der König 1. Sä c h s. privi 1. Zeitung s – Expedition.
1834	5	0006	15	1 8 3 4.
1834	5	0007	1	7.
1834	5	0007	2	| v . "
1834	5	0007	3	. -- 5
1834	5	0007	4	2 x
1834	5	0007	5	-
1834	5	0008	1	I Da c2YZF- -
1834	5	0008	2	Sue - – I –
1834	5	0008	3	/2 ---
1834	5	0008	4	A +2-
1834	5	0008	5	1 N T EL L 1 G EN zB LAT T
1834	5	0008	6	. ID ER
1834	5	0008	7	ALLGEMEINEN LITERATUR - zEITUNG
1834	5	0008	8	Januar 1834.
1834	5	0008	9	ARCHÄOLOGISCHES INTELLIGENZBLATT.
1834	5	0008	10	Denkmälerkunde.
1834	5	0008	11	Aus Rom.
1834	5	0008	12	Für das Vaticanische Museum sind wichtige Erwer
1834	5	0008	13	bungen vorbereitet, andere, besonders für das neu zu
1834	5	0008	14	errichtende etruskische Museum bereits bewerkstel
1834	5	0008	15	ligt. Zu den letzteren gehört eine beträchtliche Aus
1834	5	0008	16	wahl Volcentischer Bronzen und Vasen, welche den
1834	5	0008	17	Herren Campanari abgekauft sind: worunter eine
1834	5	0008	18	bronzene Ciste von ovaler Form mit plattem Deckel,
1834	5	0008	19	über 1 Palmen lang zu fast 1 Palmen Breite, beson
1834	5	0008	20	dere Aufmerksamkeit verdient. Ein Fries mit Ama
1834	5	0008	21	Ä von erhobener Arbeit umgiirtet den
1834	5	0008	22	unteren Theil dieses Gefäſses, darüber und darunter
1834	5	0008	23	Palmetten und ähnliche Zierathen. Auf dem Deckel
1834	5	0008	24	sind zwei Schwäne angebracht, aufjedem derselben
1834	5	0008	25	eine nackte sitzende Fij die eine männlich, die
1834	5	0008	26	andere weiblich. Die Arbeit dieser Bildwerke und
1834	5	0008	27	besonders des Frieses ist durchaus griechisch; übri
1834	5	0008	28	gens hatte das Gefäſs stark gelitten. – Der ander
1834	5	0008	29	weitige Vorrath Roms an Denkmälern neuester Ent
1834	5	0008	30	deckung ist seit Jahr und Tag sehr geschmälert wor
1834	5	0008	31	den, in welciher Beziehung Herrn Durands Ankäufe
1834	5	0008	32	und des Baron von Beugnot Entfernung von Rom haupt
1834	5	0008	33	- sächlich bemerkt werden müssen. Unter den übrigen
1834	5	0008	34	Vorräthen verdient das Magazin des Kunsthändlers
1834	5	0008	35	Depoletti fortwährende Aufmerksamkeit; sehr selt
1834	5	0008	36	sam ist der Gegenstand einer dort befindlichen zwei
1834	5	0008	37	henklichen Vase mit röthlichen Figuren, welche sich
1834	5	0008	38	auf die Erscheinung der erstenFÄ be
1834	5	0008	39	ziehen. Auf den Vogel in der Luft zeigen gleichzei
1834	5	0008	40	tig drei versammelte Männer, denen verschiedene
1834	5	0008	41	Ausdrücke der Verwunderung in den Mund gelegt
1834	5	0008	42	sind. Elóov gekidova sagt der erste; v töv'HoaxÄa
1834	5	0008	43	der zweite; ëag dn der dritte; der Ausrufeiner vier
1834	5	0008	44	ten Figur, eines Knaben mit der Inschrift HA A1TEI,
1834	5	0008	45	ist undeutlich. – Von etruskischen Ausgrabungen
1834	5	0008	46	werden die der Herren Campanari in Volsci und des
1834	5	0008	47	Hrn: Manzi in Tarquinii förtgesetzt; von römischen
1834	5	0008	48	verdienen diejenigen Aufmerksamkeit, welche der
1834	5	0008	49	Prinz Borghesi in verschiedenen Gegenden seines Be
1834	5	0008	50	sitzthums bezweckt. Bei Aqua traversa, 4 Millien von
1834	5	0008	51	Porta del Popolo an der
1834	5	0008	52	zuvörderst angefangen und durch die Reste der Mar
1834	5	0008	53	ejenterstrafse, hat man
1834	5	0008	54	morgruppe eines Bacchus mit dem Satyr sich belohnt
1834	5	0008	55	gefunden.
1834	5	0008	56	Rom, 5. Dec. 1833. . E. G.
1834	5	0008	57	Aus Neapel.
1834	5	0008	58	Vor Kurzem hat man bei Ruro in Apulien bei
1834	5	0008	59	der Eröffnung eines griechischen Grabmals eine An
1834	5	0008	60	zahl trefflicher Bronz-Arbeiten entdeckt, welche in
1834	5	0008	61	den Besitz des Hrn. Casanova in Neapel übergegangen
1834	5	0008	62	sind. Vor allen verdient eine colossale Rüstung ge
1834	5	0008	63	nannt zu werden, welche bei fast vollständiger Er
1834	5	0008	64	haltung durch die schönen Verzierungen von Bronze
1834	5	0008	65	und Elfenbein sowohl, als auch besonders durch
1834	5	0008	66	ihre colossalen Verhältnisse, sehr merkwürdig wird.
1834	5	0008	67	Beide Beinschienen schmückt an der Stelle, wo sich
1834	5	0008	68	die Kniedecken anfügen, eine Medusenmaske, wel
1834	5	0008	69	che sehr an die Metopen von Selinunt erinnert, in
1834	5	0008	70	dem sie, wie diese, den Rachen weit geöffnet, mit
1834	5	0008	71	Schweinszähnen und vorgestreckter Zunge zeigt, und
1834	5	0008	72	zwar alle diese Theile von Elfenbein, so wie die Au
1834	5	0008	73	gen, in welche jedoch die Sterne mit rothen Steinen
1834	5	0008	74	eingesetzt waren. Mehrere Fragmente von anderen
1834	5	0008	75	Riistungen entsprechen den colossalen Dimensionen
1834	5	0008	76	der eben erwähnten nicht, sondern scheinen für die
1834	5	0008	77	Ä Mannesgröſse berechnet; dahin gehören fünf
1834	5	0008	78	urchaus wohl erhaltene Helme, von denen einige
1834	5	0008	79	mit historischen Graphitdarstellungen versehen sind,
1834	5	0008	80	ferner 10 Beinschienen mit Medusenmasken wie die
1834	5	0008	81	oben beschriebenen, endlich mehrere Theile von Pfer
1834	5	0008	82	derüstungen, wie Stirndecken und Brustpanzer. –
1834	5	0008	83	Ebenfalls von Bronze und stark vergoldet ist ferner
1834	5	0008	84	eine groſse reich verzierte und schöne Vase, deren
1834	5	0008	85	Handhaben von Titanen gebildet werden. Ej
1834	5	0008	86	enthielt das Grabmal auſserdem noch mehrere Pate
1834	5	0008	87	ren und Vasen von gebrannter Erde, von denen ei
1834	5	0008	88	nige reiche Compositionen liefern, darunter eine auf
1834	5	0008	89	weiſsem Grunde einen Krieger aufeinem Bette sitzend
1834	5	0008	90	zeigt, unter dem ein Todter liegt, während man an
1834	5	0008	91	der Wand die Waffen aufgehängt erblickt; links
1834	5	0008	92	steht eine Figur, welche mit dem sitzenden Krieger
1834	5	0008	93	redet, und hinter dieser bringt eine Dienerin in bei
1834	5	0008	94	den Händen Gefäſse mit Flüssigkeiten herbei; rechts
1834	5	0008	95	steht eine Figur, welche allegorisch gefaſst werden
1834	5	0008	96	zu müssen scheint. Schlieſslich werden noch meh
1834	5	0008	97	I. PC TC
1834	5	0009	1	3 4
1834	5	0009	2	rere Kleinigkeiten aus Gold und Silber erwähnt, wie
1834	5	0009	3	Schnallen und der Doppelkopf einer Herme von Sil
1834	5	0009	4	ber und vergoldet. " -
1834	5	0009	5	Aus Griechenland.
1834	5	0009	6	Von dem Zustand des Parthenon nach dem letz
1834	5	0009	7	ten Kriege, in welchem dieses Denkmal hellenischer
1834	5	0009	8	Gröſse allerdings nur Weniges gelitten hat, erhalten
1834	5	0009	9	wir durch ein Schreiben des Hrn. Dr. Forchhammer
1834	5	0009	10	(Nauplia 6. Septbr. 1833) folgende erwünschte Auf
1834	5	0009	11	zählung seiner gegenwärtig noch vorhandenen Bild
1834	5	0009	12	werke. Nach dieser befinden sich im östlichen Gie
1834	5	0009	13	belfeld, rechts im Winkel, zwei Pferdeköpfe, links
1834	5	0009	14	daselbst ein Pferdekopf. Im westlichen Giebelfeld
1834	5	0009	15	dagegen sind, nach dem rechten Winkel hin, noch
1834	5	0009	16	eine weibliche und eine männliche Figur, beide ohne
1834	5	0009	17	Köpfe, und nach dem linken hin das Gewand einer
1834	5	0009	18	liegenden weiblichen Figur übrig. Von den Metopen
1834	5	0009	19	der Nordseite werden von der Linken zur Rechten
1834	5	0009	20	als noch vorhanden aufgezählt: Nr. 1. 2. 3. 24. 25.
1834	5	0009	21	27 bis 31., von den noch erhaltenen Metopenöffnun
1834	5	0009	22	gen Nr. 23 und 26. aber die Bildwerke als fehlend
1834	5	0009	23	angegeben. Auf der Südseite ist nur Nr. 1. noch
1834	5	0009	24	vorhanden, den noch erhaltenen Metopenöffnungen
1834	5	0009	25	Nr. 2– 10. und 25–32 inclusive fehlen jedoch die
1834	5	0009	26	Bildwerke. Die Ost- und Westseite aber hat eine
1834	5	0009	27	jede ihre vollständige Metopenzahl, je vierzehn, noch
1834	5	0009	28	ewahrt. Von unten gesehen sollen die Gegenstände
1834	5	0009	29	dieser Metopendarstellungen nur dem kenntlich seyn,
1834	5	0009	30	welcher durch Abbildungen oder Beschreibungen mit
1834	5	0009	31	denselben bekannt ist. – Vom Zophoros ist die
1834	5	0009	32	ganze Reihe an der Westseite, mit Ausnahme der
1834	5	0009	33	nördlichsten Platte, sehr gut erhalten und an dem
1834	5	0009	34	ursprünglichen Ort ihrer Bestimmung: Alles übrige
1834	5	0009	35	bis auf die Platten Nr. I. 2 und 4 der Südseite ist
1834	5	0009	36	verschwunden.
1834	5	0009	37	Gegen Ende des Monats April d. J., fährt der
1834	5	0009	38	Berichterstatter fort, wurde eine Nachgrabung oder
1834	5	0009	39	vielmehr eine Aufräumung unter dem Gestein um
1834	5	0009	40	den Tempel vorgenommen, deren Resultat äuſserst
1834	5	0009	41	befriedigend war, indem folgende Gegenstände zum
1834	5	0009	42	Vorschein kamen:
1834	5	0009	43	1) an der Nordseite ganz am östlichen Ende in
1834	5	0009	44	nerhalb des Peristyls eine Platte vom Zophoros mit
1834	5	0009	45	der Darstellung von zwei Opferkühen, von denen
1834	5	0009	46	eine jede von zwei bemäntelten männlichen Figuren
1834	5	0009	47	geführt wird. Dem ersten Opferthier fehlt der Kopf,
1834	5	0009	48	weil die Platte hier endet und sich an dieserÄ
1834	5	0009	49	mit der nächstfolgenden Platte verbunden haben
1834	5	0009	50	würde. Das Thier geht sehr unruhig, wie aus der
1834	5	0009	51	Ä zu ersehen, mit welcher die beiden
1834	5	0009	52	männlichen Figuren die Seile gefaſst halten. Eben
1834	5	0009	53	so fehlt von dem zweiten Opferthier und dem dazu ge
1834	5	0009	54	hörigen Führer derjenige Theil, welchen die nächst
1834	5	0009	55	folgende Platte befaſste, Dieses Basrelief ist sehr
1834	5	0009	56	schön gearbeitet und war vollkommen erhalten, bes
1834	5	0009	57	ser als irgend eine Platte des Zophoros im Britti
1834	5	0009	58	schen Museum; namentlich waren Ä Gesichter, un
1834	5	0009	59	verletzt, sehr ausdrucksvoll. Ein Fremder, der die
