year	vol	page	line	content
1838	4	0002	1	C
1838	4	0002	2	O
1838	4	0002	3	ſ∞©o
1838	4	0002	4	o
1838	4	0002	5	L
1838	4	0002	6	a
1838	4	0002	7	e
1838	4	0002	8	-
1838	4	0002	9	-
1838	4	0002	10	-
1838	4	0002	11	-
1838	4	0002	12	，
1838	4	0003	1	E
1838	4	0003	2	E
1838	4	0003	3	E
1838	4	0003	4	#
1838	4	0003	5	E
1838	4	0003	6	E
1838	4	0004	1	A A A 5
1838	4	0004	2	„A - 3.
1838	4	0005	1	•
1838	4	0005	2	•
1838	4	0005	3	•
1838	4	0005	4	•
1838	4	0005	5	•
1838	4	0005	6	•
1838	4	0005	7	•
1838	4	0005	8	•
1838	4	0005	9	*
1838	4	0005	10	…
1838	4	0005	11	*
1838	4	0005	12	-
1838	4	0005	13	-
1838	4	0005	14	s
1838	4	0005	15	a
1838	4	0005	16	e
1838	4	0005	17	a
1838	4	0005	18	e
1838	4	0005	19	a
1838	4	0005	20	e
1838	4	0005	21	-
1838	4	0005	22	-
1838	4	0005	23	-
1838	4	0005	24	-
1838	4	0005	25	•
1838	4	0005	26	！
1838	4	0005	27	-
1838	4	0005	28	，
1838	4	0005	29	*
1838	4	0005	30	*
1838	4	0005	31	*
1838	4	0006	1	ALL GEMI EINE
1838	4	0006	2	LITERATUR - ZEITUNG
1838	4	0006	3	W O M «J A H R E
1838	4	0006	4	1 838.
1838	4	0006	5	W I E R T ER B A N D.
1838	4	0006	6	D I E E R G Ä N ZU N G S B L Ä T T E R
1838	4	0006	7	dieses Jahr g an gs
1838	4	0006	8	ent h a 1 t e n d.
1838	4	0006	9	>-
1838	4	0006	10	ODENSE
1838	4	0006	11	THEDR SKOIE)
1838	4	0006	12	Z
1838	4	0006	13	H A L L E,
1838	4	0006	14	in der Expedition dieser Zeitung
1838	4	0006	15	- bei C. A. Schwetschke und Sohn,
1838	4	0006	16	un d L E I PZ I G,
1838	4	0006	17	in der König l. Sächs. privi . Zeitungs – Exped it ." ".
1838	4	0006	18	1 83 8.
1838	4	0007	1	*-
1838	4	0007	2	،
1838	4	0007	3	،
1838	4	0007	4	،
1838	4	0007	5	،
1838	4	0007	6	،
1838	4	0008	1	D-C.C- - -
1838	4	0008	2	---
1838	4	0008	3	S L“------
1838	4	0008	4	- S-4/
1838	4	0008	5	2
1838	4	0008	6	1
1838	4	0008	7	ALLGEMEINEN LI
1838	4	0008	8	- – I – " - - -
1838	4	0008	9	en G AN zu N 6 s B LA T T E R
1838	4	0008	10	ZU R
1838	4	0008	11	TERATUR - ZEITUNG
1838	4	0008	12	Januar 1838.
1838	4	0008	13	KIRCHEN GESCHICHTE.
1838	4	0008	14	BERLIN, b. Duncker u. Humblot: Die römischen
1838	4	0008	15	Päpste, ihre Kirche und ihr Staat in sechsZehn
1838	4	0008	16	já siebzehnten Jahrhundert. Von Leºpºld
1838	4	0008	17	fij Erster Band. 1834. XX u. 56 S.
1838	4	0008	18	Zjter Band. 1836.576 S. Dritter Band. 1836.
1838	4	0008	19	512 S.
1838	4	0008	20	Auch unter dem Titel:
1838	4	0008	21	Fürsten und Völker von Süd-Europa in ses
1838	4	0008	22	zehnten und siebzehnten Jahrhundert. Vornehm
1838	4	0008	23	lich aus ungedruckten Gesandtschafts-Berichten.
1838	4	0008	24	2–4ter Band. 8. (1I Rthlr.)
1838	4	0008	25	Nean der Vf. schon vor mehreren Jahren, in
1838	4	0008	26	dem ersten Bande seiner Fürsten und Völker u: * W
1838	4	0008	27	jwelchen sich das vorliegende Werk dem Neben
1838	4	0008	28	titel zu Folge äuſserlich als Fortsetzung anschlieſst,
1838	4	0008	29	den Anfang gemacht hatte, durch Eröffnung eines
1838	4	0008	30	js dahinjeniger beachteten und henutzten Mate
1838	4	0008	31	js für Geschichtforschung, nämlich der Gesandt
1838	4	0008	32	jäftsberichte, neue Aufklärungen für die Geschich
1838	4	0008	33	jnes unsern Tagen ziemlich nahe liegenden
1838	4	0008	34	Zeitalters mehr in rhapsodistischer Form zu ge
1838	4	0008	35	ben, ist er auf demselben Wege zur Bearbeitung
1838	4	0008	36	eij einzelnen, aber weitumfassenden, einfluſsrei
1838	4	0008	37	chen und höchst interessanten Gegenstandes vorge
1838	4	0008	38	schritten, für dessen Aufklärung noch Vieles zu thun,
1838	4	0008	39	und vorzugsweise auf dem von dem Vf. eingeschlºgº:
1838	4	0008	40	nen Wege ein helleres Licht zu gewinnen wºr- Seit
1838	4	0008	41	der groſsen Erschütterung, welche der äpstliche
1838	4	0008	42	Suh im sechzehnten Jahrhundert durch die Refor
1838	4	0008	43	jon erlitt, sind die Angelegenheiten und Schick
1838	4	0008	44	jedesselben weit weniger als die, jener merkwür:
1838	4	0008	45	digen Periode vorhergegangenen, ein Gegenstand
1838	4	0008	46	geschichtlicher Theilnähme, Forschung und Bear
1838	4	0008	47	eitung, namentlich in Deutschland gewesen; und
1838	4	0008	48	doch hÄt sich Rom, wie der Vf. in der Vorrede sehr
1838	4	0008	49	richtig erinnert, „nach dem Abfall, den es in der
1838	4	0008	50	erste Hälfte des 16. Jahrhunderts erfuhr, noch ein
1838	4	0008	51	j zum Mittelpunkt des Glaubens und Denkens der
1838	4	0008	52	südeuropäischen, romanischen Nationen zu erheben
1838	4	0008	53	gewuſst, und kühne:. nicht selten glückliche Ver
1838	4	0008	54	Äuche gemacht, sich die übrigen wieder zu untºr
1838	4	0008	55	fj" es greift daher auch in den neueren Jahrhun
1838	4	0008	56	derten sowohl in die kirchliche als in die politische
1838	4	0008	57	Geschichte von ganz Europa noch immer sehr wirk
1838	4	0008	58	sam ein, bietet dabei auch in seinem eigenen, inne
1838	4	0008	59	j Gange viele interessante Erscheinungen dar;
1838	4	0008	60	Ergänz. B. zur A. L. Z. 1838.
1838	4	0008	61	-
1838	4	0008	62	/
1838	4	0008	63	nnd eine vollständige, in sich zusa -
1838	4	0008	64	Bearbeitung und Darstellung seinerÄ
1838	4	0008	65	mentarisch und mehr nach den äuſserenÄ.
1838	4	0008	66	gen, als nach den inneren bewegenden Ursachen he
1838	4	0008	67	kannten Geschichte, wird daher nicht nur eine Lücke
1838	4	0008	68	in unserer gesammten historischen Literatur ausfüllen
1838	4	0008	69	sondern auch an sich ein höchst anziehendes Gemä
1838	4	0008	70	de gewähren. Freilich war bei der Mangelhaftigkeit
1838	4	0008	71	alles dessen, was bisher über dieseGej li
1838	4	0008	72	terarisch bekannt und zugänglich waj IlGUIG
1838	4	0008	73	Durchforschung noch unbenutzter Queiſen durchaus
1838	4	0008	74	nothwendig, lieſs aber auch, sobald man denselben auf
1838	4	0008	75	die richtige Spur kam, ungemeine Resultate erwar
1838	4	0008	76	ten. Der Vf hat sich jener Forschung in groſsem
1838	4	0008	77	Umfange und an Orten, wo ein besonderer Quel
1838	4	0008	78	Ienreichthum zu erwarten war, unterzogen undj
1838	4	0008	79	belohnende Resultate seines Fleiſses geW0unen Ä
1838	4	0008	80	der Vorrede giebt er darüber einige RecÄhaf
1838	4	0008	81	Berlin selbst konnte, den Umständen nach, füjj
1838	4	0008	82	Forschung verhältniſsmäſsig nur wenigMÄtj
1838	4	0008	83	bieten; aber schon in Wien fand sich ein vielÄ
1838	4	0008	84	rer Reichthum, zuerst auf der kaiserlichen Ä.
1838	4	0008	85	bliothek, 1, deren groſsen Sammlungen der Vf. noch
1838	4	0008	86	eine ganze Zukunft von Studien sieht und danj
1838	4	0008	87	bedeutender in dem kaiserliche Archive, zu welchem
1838	4	0008	88	den Vf. der Zutritt mit unbedingter Libej Wer'-
1838	4	0008	89	stattet wurde. In Venedig hatten einst die groſsen
1838	4	0008	90	Häuser fast sämmtlich die Gewohnheit, neben einer
1838	4	0008	91	Bibliothek, auch ein Kabinet von Handsej dIl
1838	4	0008	92	zulegen. Die meisten dieser Privatsammlungen sind
1838	4	0008	93	zwar in dem Ruin des Jahres 1797 undÄ ZLI
1838	4	0008	94	Grunde gegangen; einige aber bestehen noch, und
1838	4	0008	95	von den untergegangenen haben die Bibliothekj
1838	4	0008	96	von S. Mºre" so viel zu retten gesucht, als nur j
1838	4	0008	97	mer die Kräfte ihres Instituts erlaubte daher dije
1838	4	0008	98	Bibliothek einen, zwar ohne Voistij oder
1838	4	0008	99	durchgreifenden Plan gesammelten, aber doch an
1838	4	0008	100	sehnlichen Schatz von Handschriften besitzt j
1838	4	0008	101	zum Theil selbst für die europäischen VjÄ
1838	4	0008	102	von Bedeutung sind. Mit den Reichthümern des
1838	4	0008	103	Staatsarchives sind diese Sammlungen freilich nicht
1838	4	0008	104	zu vergleiehen, doch konnten manche Lücken des
1838	4	0008	105	selben daraus ergänzt werden. An den verschiede
1838	4	0008	106	nen Stellen brachte der Vf. in Venedig 48Rej
1838	4	0008	107	über Rom zusammen, die älteste vom Jahre 1500
1838	4	0008	108	19 für das sechzehnte, 2l für das siebzehnte Jahr
1838	4	0008	109	hundert, eine beinahe vollständige Reihe, mitj
1838	4	0008	110	szen Menge wissenswürdiger aus unjij
1838	4	0009	1	3 ERGÄNZUNGSBLÄTTER ZUR A. L. Z. 4
1838	4	0009	2	Anschauung hervorgegangener, mit dem Leben der
1838	4	0009	3	Zeitgenossen verschwundener Notizen. Der reich
1838	4	0009	4	ste Quellenvorrath war natürlich in Rom zu suchen.
1838	4	0009	5	„Wär es aber, sagt der Vf., zu erwarten, daſs man
1838	4	0009	6	hier einem Fremden, einem Andersglaubigen, in
1838	4	0009	7	den öffentlichen Sammlungen freie Hand lassen wür
1838	4	0009	8	de, um die Geheimnisse des Papstthums zu entde
1838	4	0009	9	cken? Es wäre vielleicht so ungeschickt nicht, wie
1838	4	0009	10	es aussieht, denn keine Forschung kann etwas
1838	4	0009	11	Schlimmeres an den Tag bringen, als die unbegrün
1838	4	0009	12	dete Vermuthung annimmt, und als die Welt nun
1838	4	0009	13	einmal für wahr hält.” Indessen wurde dem Vf.
1838	4	0009	14	hier die Freiheit, die er sich gewünscht hatte, nicht
1838	4	0009	15	gewährt; dagegen öffneten sich ihm andere Samm
1838	4	0009	16	Iungen von groſsem Werthe. Die vornehmen Fami
1838	4	0009	17	lienhäupter, welche an der Spitze der öffentlichen
1838	4	0009	18	Geschäfte standen, behielten immer einen groſsen
1838	4	0009	19	Theil der Staatsschriften, die sich während ihrer
1838	4	0009	20	Verwaltung angesammelt hatten, in ihren Händen,
1838	4	0009	21	und hinterlieſsen sie ihren Familien als immerwäh
1838	4	0009	22	renden Besitz, den man dann auch in der Folge zu
1838	4	0009	23	erweitern und zu ergänzen suchte. Der Vf. hatte
1838	4	0009	24	das Glück, viele dieser Sammlungen – unter denen
1838	4	0009	25	die Barberini'sche die reichste von allen, die Corsi
1838	4	0009	26	ni'sche gleich von Anfange mit der meisten Umsicht
1838	4	0009	27	und Auswahl angelegt ist, – zuweilen mit unbe
1838	4	0009	28	schränkter Freiheit, zu benutzen, und gewann dar
1838	4	0009	29	aus eine unverhoffte Ausbeute der schätzbarsten Ma
1838	4	0009	30	terialien aller Art; und bei weitem zum gröſsten
1838	4	0009	31	Theile noch ganz unbekannt, besonders schätzbar
1838	4	0009	32	für den ganzen Verlauf des siebzehnten Jahrhunderts,
1838	4	0009	33	aus welchem man von Rom bisher so wenig Zuver
1838	4	0009	34	lässiges wuſste. -
1838	4	0009	35	Unterstützt durch ein so reiches und ergiebiges
1838	4	0009	36	Material, konnte der Vf. die zu seiner Aufgabe ge
1838	4	0009	37	wählte neuere Geschichte des Papstthuins nicht nur
1838	4	0009	38	in bedeutender Vollständigkeit darstellen, sondern
1838	4	0009	39	die ungemeine Masse des Stoffes nöthigte ihn sogar
1838	4	0009	40	bei der Verarbeitung desselben zu einer gewissen
1838	4	0009	41	Beschränkung. Es war ihm nicht darum zu thun,
1838	4	0009	42	durch eine leidenschaftliche, aus Vorliebe oder Wi
1838	4	0009	43	derwillen hervorgehende Darstellung einen gewis
1838	4	0009	44	sen augenblicklichen Eindruck hervorzubringen;
1838	4	0009	45	auch nicht in ein ausführliches, kirchliches oder lo
1838	4	0009	46	kales Detail einzugehen; er hielt sich vornehmlich
1838	4	0009	47	an das, wodurch abgesehen von aller religiösen und
1838	4	0009	48	olitischen Zu- oder Abneigung die Geschichte des
1838	4	0009	49	Ä immer ihre Wichtigkeit behält, nämlich
1838	4	0009	50	seine weltgeschichtliche Entwickelung und Wirksam
1838	4	0009	51	keit; und hier ergiebt sich, bei einem tieferen Ein
1838	4	0009	52	dringen in die Geschichte des Papstthums, die Ue
1838	4	0009	53	berzeugung, daſs die päpstliche Herrschaft keines
1838	4	0009	54	wegs so unwandelbar war, wie man gewöhnlich an
1838	4	0009	55	nimmt, und wie ihre entschiedenen Verehrer sie gern
1838	4	0009	56	darstellen; daſs sie vielmehr, abgesehen von den
1838	4	0009	57	Grundsätzen, welche ihr Daseyn bedingen, und
1838	4	0009	58	welche sie nicht aufgeben kann, ohne sich dem Un
1838	4	0009	59	tergange zu widmen, von dem Gange der Welthege
1838	4	0009	60	benheiten nicht weniger, als jede andere Macht, bis
1838	4	0009	61	in ihr innerstes Wesen berührt worden ist, und da
1838	4	0009	62	durch in ihren Principien und Bestrebungen, vor
1838	4	0009	63	allem aber in ihrem Einflusse, groſse Veränderun
1838	4	0009	64	gen und Umwandlungen erfahren hat, in denen sich
1838	4	0009	65	ein Theil der gesammten Weltentwickelung reflek
1838	4	0009	66	tirt, und welche daher für den unparteiischen Beob
1838	4	0009	67	achter das vornehmste Interesse hat, nicht allein in
1838	4	0009	68	Zeiten einer unbezweifelten Herrschaft, sondern
1838	4	0009	69	noch mehr in solchen, wo das Papstthum, von auſsen
1838	4	0009	70	gefährdet und erschüttert sich aufs neue befestigte
1838	4	0009	71	und ausbreitete, endlich aber doch einem abermali
1838	4	0009	72	gen Verfalle entgegen ging. Von diesem Gesichts
1838	4	0009	73	punkte aus wollte der Vf. die Geschichte der Päpste
1838	4	0009	74	auffassen, und es ist nicht zu verkennen, daſs er
1838	4	0009	75	dies mit eben so viel Umsicht als Unparteilichkeit
1838	4	0009	76	ausgeführt hat, ohne die einseitige Vorliebe für das
1838	4	0009	77	Papstthum, die wir bei so vielen neuern Geschicht
1838	4	0009	78	schreibern als einen krankhaften Charakterzug der
1838	4	0009	79	gegenwärtigen Literaturperiode wahrnehmen, und
1838	4	0009	80	die man bei einem Schriftsteller, der sich aus freier
1838	4	0009	81	Wahl mit der Geschichte des Papstthums beschäf
1838	4	0009	82	tigt, am ersten zu fürchten geneigt seyn möchten;
1838	4	0009	83	aber auch ohne demselben sein gegründetes histori
1838	4	0009	84	sches Recht zu versagen. Durchgängig aber leuch
1838	4	0009	85	tet, auch ohne ausdrückliche Absicht des Vfs., aus
1838	4	0009	86	der von ihm dargestellten Geschichte, und nur um
1838	4	0009	87	so deutlicher, je tiefere Blicke die neugeöffneten
1838	4	0009	88	Quellen gestatten, der Grundcharakter des Papst
1838	4	0009	89	thums hervor, der zugleich der Grund aller seiner
1838	4	0009	90	Fortschritte, so wie seines Verfalles ist, nämlich
1838	4	0009	91	die Vermischung der kirchlichcn und der weltlich
1838	4	0009	92	politischen Richtung. Bei weitem der gröſste Theil
1838	4	0009	93	der Thätigkeit, in welcher wir die Päpste und ihren
1838	4	0009	94	Hof erblicken, ist rein weltlichen, politischen Ge
1838	4	0009	95	genständen gewidmet, und wo wir sie auch auf die
1838	4	0009	96	Angelegenheiten der Kirche gerichtet finden, da
1838	4	0009	97	stehen diese entweder mit der Politik in der engsten
1838	4	0009	98	Verbindung, oder jene Beschäftigung wird bald wie
1838	4	0009	99	der durch weltliche Händel unterbrochen. Es ist
1838	4	0009	100	nicht schwer einzusehen, wie diese weltliche Rich
1838	4	0009	101	tung des Oberhauptes der Kirche zwar dessen Macht
1838	4	0009	102	und Ansehen bis auf einen gewissen Grad erhöhen
1838	4	0009	103	und befestigen, aber zugleich auch den natürlichsten
1838	4	0009	104	Anlaſs geben muſste, die Kirche selbst als ein rein
1838	4	0009	105	olitisches Institut zu betrachten, und wie diese ver
1838	4	0009	106	Ä Ansicht nur dazu dienen konnte, sie selbst in
1838	4	0009	107	ihrem Innern zu untergraben.
1838	4	0009	108	Der Vf. hat den Inhalt seines Werkes in acht
1838	4	0009	109	Bücher vertheilt, deren vier im ersten, drei im zwei
1838	4	0009	110	ten, und das letzte, nebst einem Anhange, im drit
