year	vol	page	line	content
1833	5	0003	1	EL: ............
1833	5	0003	2	Ä #
1833	5	0003	3	InÄFSE:FTIE
1833	5	0003	4	Nººººººº
1833	5	0003	5	2 e-Gº Sº
1833	5	0003	6	Ä
1833	5	0003	7	-- Tº TITIUllIIIIIIIIUUUUUUUllllllllll
1833	5	0003	8	- - - - - - - - - - - - - - ºrrrrrrrrrrr-LE
1833	5	0003	9	TTTTTTTT
1833	5	0003	10	ED
1833	5	0003	11	IIIIIIIIIIIIIIIIIIE
1833	5	0003	12	º
1833	5	0004	1	N
1833	5	0004	2	a 2 -
1833	5	0004	3	------- --
1833	5	0004	4	. AHS
1833	5	0005	1	•
1833	5	0005	2	•
1833	5	0005	3	•
1833	5	0005	4	•
1833	5	0005	5	•
1833	5	0005	6	•
1833	5	0005	7	•
1833	5	0005	8	•
1833	5	0005	9	•
1833	5	0005	10	•
1833	5	0005	11	•
1833	5	0005	12	•
1833	5	0005	13	•
1833	5	0005	14	•
1833	5	0005	15	•
1833	5	0005	16	•
1833	5	0005	17	*
1833	5	0005	18	*
1833	5	0005	19	*
1833	5	0005	20	*
1833	5	0005	21	*
1833	5	0005	22	*
1833	5	0005	23	*
1833	5	0005	24	*
1833	5	0006	1	AL LG EM EINE
1833	5	0006	2	LITERATUR - ZEITUNG
1833	5	0006	3	W O M JA H R E
1833	5	0006	4	1833.
1833	5	0006	5	F ÜN F T ER BAND.
1833	5	0006	6	D I E 1 N r e . L 1 6 e n zB LA T t e R
1833	5	0006	7	di e s es Jahrgangs
1833	5	0006	8	ent halten d.
1833	5	0006	9	ZOGENSEN
1833	5	0006	10	xriasda)
1833	5	0006	11	BiB.ioffiEKZ/
1833	5	0006	12	T---“
1833	5	0006	13	H A L L E,
1833	5	0006	14	in der Expedition dieser Zeitung
1833	5	0006	15	bey C. A. Schwetschke und Sohn,
1833	5	0006	16	und L E I PZIG,
1833	5	0006	17	in der König l. Sächs. privil. Zeitung s – Expedition.
1833	5	0006	18	1 833,
1833	5	0007	1	|
1833	5	0007	2	-
1833	5	0007	3	-
1833	5	0007	4	|
1833	5	0007	5	-
1833	5	0007	6	*
1833	5	0007	7	•
1833	5	0007	8	•
1833	5	0007	9	•
1833	5	0007	10	•
1833	5	0007	11	•
1833	5	0007	12	r
1833	5	0007	13	→
1833	5	0007	14	·
1833	5	0007	15	§
1833	5	0007	16	ø
1833	5	0007	17	，
1833	5	0007	18	-
1833	5	0007	19	-
1833	5	0007	20	-
1833	5	0007	21	-
1833	5	0007	22	:
1833	5	0007	23	’
1833	5	0007	24	，
1833	5	0007	25	!
1833	5	0007	26	*
1833	5	0007	27	*
1833	5	0007	28	…
1833	5	0007	29	*
1833	5	0007	30	！
1833	5	0007	31	•
1833	5	0007	32	•
1833	5	0007	33	•
1833	5	0007	34	•
1833	5	0007	35	•
1833	5	0007	36	•
1833	5	0007	37	•
1833	5	0007	38	•
1833	5	0007	39	7
1833	5	0007	40	:
1833	5	0007	41	e
1833	5	0007	42	-
1833	5	0007	43	~
1833	5	0007	44	~
1833	5	0007	45	~
1833	5	0007	46	~
1833	5	0007	47	）
1833	5	0007	48	;
1833	5	0007	49	*
1833	5	0007	50	*
1833	5	0007	51	*
1833	5	0007	52	•
1833	5	0007	53	*
1833	5	0007	54	*
1833	5	0007	55	*
1833	5	0007	56	*
1833	5	0007	57	\
1833	5	0007	58	,
1833	5	0007	59	，
1833	5	0007	60	*
1833	5	0007	61	…
1833	5	0007	62	*
1833	5	0007	63	.
1833	5	0007	64	*
1833	5	0007	65	*
1833	5	0007	66	,
1833	5	0007	67	~
1833	5	0007	68	♥
1833	5	0007	69	~
1833	5	0007	70	*
1833	5	0007	71	-
1833	5	0007	72	-
1833	5	0007	73	（
1833	5	0007	74	,
1833	5	0007	75	-
1833	5	0007	76	！
1833	5	0007	77	•
1833	5	0007	78	•
1833	5	0007	79	•
1833	5	0007	80	·
1833	5	0007	81	-
1833	5	0007	82	-
1833	5	0007	83	-
1833	5	0007	84	-
1833	5	0007	85	*
1833	5	0007	86	•
1833	5	0007	87	*
1833	5	0007	88	*
1833	5	0007	89	*
