year	vol	page	line	content
1810	2	0002	1	B 1589756
1810	2	0004	1	---
1810	2	0004	2	– – v -
1810	2	0004	3	-
1810	2	0004	4	--
1810	2	0004	5	-
1810	2	0004	6	*- -
1810	2	0004	7	- >-
1810	2	0004	8	-
1810	2	0004	9	-
1810	2	0004	10	-
1810	2	0004	11	-
1810	2	0004	12	-
1810	2	0004	13	-
1810	2	0004	14	- -
1810	2	0004	15	-
1810	2	0004	16	- -
1810	2	0004	17	/ -
1810	2	0004	18	*
1810	2	0004	19	- *
1810	2	0004	20	- A
1810	2	0004	21	-
1810	2	0004	22	-
1810	2	0004	23	W “
1810	2	0004	24	- - A
1810	2	0004	25	-
1810	2	0004	26	- -
1810	2	0004	27	-
1810	2	0004	28	- -
1810	2	0004	29	-
1810	2	0004	30	>
1810	2	0004	31	-
1810	2	0004	32	-
1810	2	0004	33	-
1810	2	0004	34	- -
1810	2	0004	35	*
1810	2	0004	36	-
1810	2	0004	37	»
1810	2	0004	38	-
1810	2	0004	39	- -
1810	2	0004	40	-
1810	2	0004	41	-
1810	2	0004	42	-
1810	2	0005	1	•
1810	2	0005	2	•
1810	2	0005	3	•
1810	2	0005	4	•
1810	2	0005	5	•
1810	2	0005	6	•
1810	2	0005	7	•
1810	2	0005	8	•
1810	2	0005	9	•
1810	2	0005	10	|
1810	2	0005	11	-
1810	2	0005	12	.
1810	2	0005	13	|
1810	2	0005	14	-
1810	2	0005	15	*
1810	2	0005	16	•
1810	2	0005	17	|
1810	2	0005	18	-
1810	2	0005	19	|
1810	2	0005	20	-
1810	2	0005	21	-
1810	2	0005	22	,
1810	2	0005	23	！
1810	2	0005	24	|
1810	2	0005	25	-
1810	2	0005	26	…
1810	2	0005	27	.
1810	2	0005	28	*
1810	2	0005	29	|
1810	2	0005	30	-
1810	2	0005	31	|
1810	2	0005	32	-
1810	2	0005	33	*
1810	2	0005	34	|
1810	2	0005	35	-
1810	2	0005	36	*
1810	2	0005	37	*
1810	2	0005	38	|
1810	2	0005	39	-
1810	2	0005	40	·
1810	2	0005	41	-
1810	2	0005	42	-
1810	2	0005	43	-
1810	2	0005	44	-
1810	2	0005	45	|
1810	2	0005	46	-
1810	2	0005	47	|
1810	2	0005	48	-
1810	2	0005	49	|
1810	2	0005	50	-
1810	2	0005	51	+
1810	2	0006	1	A LL GE ME IN E
1810	2	0006	2	LITERATUR-ZEITUNG
1810	2	0006	3	V O M JA HR E
1810	2	0006	4	I 8 I o.
1810	2	0006	5	z W E Y T E R B AN D.
1810	2	0006	6	M A Y bis A U GU S T.
1810	2	0006	7	H A L L E,
1810	2	0006	8	in der Expedition dieſer Zeitung,
1810	2	0006	9	un d LE I PZ I G,
1810	2	0006	10	in der Königl. Sä chſ privil. Zeit u n gs - Expedition.
1810	2	0006	11	- - I 8 I O.
1810	2	0007	1	-
1810	2	0007	2	-
1810	2	0007	3	~
1810	2	0007	4	~
1810	2	0007	5	~
1810	2	0007	6	~
1810	2	0007	7	~
1810	2	0007	8	-
1810	2	0007	9	-
1810	2	0007	10	-
1810	2	0007	11	-
1810	2	0007	12	-
1810	2	0007	13	-
1810	2	0007	14	-
1810	2	0007	15	•
1810	2	0007	16	•
1810	2	0007	17	•
1810	2	0007	18	- - --
1810	2	0007	19	~
1810	2	0007	20	~
1810	2	0007	21	~
1810	2	0007	22	~
1810	2	0007	23	~
1810	2	0007	24	~
1810	2	0007	25	~
1810	2	0007	26	~
1810	2	0007	27	|
