year	vol	page	line	content
1827	1	0002	1	·
1827	1	0003	1	A * 38
1827	1	0003	2	„A A 3
1827	1	0003	3	- 2.
1827	1	0003	4	S---- --- *
1827	1	0004	1	（
1827	1	0004	2	~
1827	1	0004	3	~
1827	1	0004	4	~
1827	1	0004	5	~
1827	1	0004	6	*
1827	1	0004	7	~
1827	1	0004	8	*
1827	1	0004	9	•
1827	1	0004	10	•
1827	1	0005	1	f
1827	1	0006	1	-
1827	1	0006	2	ALL GE ME IN E
1827	1	0006	3	L IT E RAT UR - z E IT UNG
1827	1	0006	4	a uf d a s J a hr
1827	1	0006	5	I 82 7
1827	1	0006	6	ºde
1827	1	0006	7	Drey und vierzigſter Jahrgang.
1827	1	0006	8	- H er aus gegeben
1827	1	0006	9	W Ord
1827	1	0006	10	C. G. S c h ü tz un d J. S. Er ſch,
1827	1	0006	11	ord. Profeſſoren auf der vereinigten Friedrichs - Univerſität
1827	1	0006	12	zu Halle. -
1827	1	0006	13	, ,
1827	1	0006	14	ºte,
1827	1	0006	15	Don e“
1827	1	0007	1	•
1827	1	0007	2	*
1827	1	0007	3	a
1827	1	0007	4	e
1827	1	0007	5	-
1827	1	0007	6	-
1827	1	0007	7	-
1827	1	0007	8	-
1827	1	0008	1	- v
1827	1	0008	2	A L LG E M E I N E3: -
1827	1	0008	3	LITERATUR-ZEITUNG
1827	1	0008	4	-
1827	1	0008	5	-
1827	1	0008	6	-
1827	1	0008	7	-
1827	1	0008	8	-
1827	1	0008	9	- -
1827	1	0008	10	-
1827	1	0008	11	vo M JA H RE
1827	1	0008	12	- I Z 2 7.
1827	1	0008	13	N -
1827	1	0008	14	E R s T ER BAND.
1827	1	0008	15	I A N U A 1 bis A P R 1 L.
1827	1	0008	16	- H ALLE,
1827	1	0008	17	in der Expedition dieſer Zeitung
1827	1	0008	18	bey C. A. Schwetſchke und Sohn,
1827	1	0008	19	- un d L E 1 PZ I G,
1827	1	0008	20	in der König I. säe b . privi . zeitungs- ºx p * * ""
1827	1	0008	21	1 8 2 7.
1827	1	0008	22	-
1827	1	0008	23	-
1827	1	0009	1	z
1827	1	0010	1	--- 2 -
1827	1	0010	2	--
1827	1	0010	3	1 * s
1827	1	0010	4	-
1827	1	0010	5	-
1827	1	0010	6	I ---
1827	1	0010	7	-
1827	1	0010	8	ALLGEMEINE L 1 T ER AT UR - z E IT U N G
1827	1	0010	9	-“ Januar 1827.
1827	1	0010	10	-
1827	1	0010	11	-
1827	1	0010	12	-
1827	1	0010	13	KIRCHENGESCHICHTE,
1827	1	0010	14	1) Hºrnunzno, b. Mohr: De Hypf/ariis, ſeculi
1827	1	0010	15	Poſt Chriſtum natum quarti ſecta, commentatio,
1827	1	0010	16	quam cum profeſſoris theologiae publici ex
1827	1	0010	17	traordinarii munus in academia Ruperto– Caro
1827	1	0010	18	lina adiret, ſcribebat Dr. Carolus Ullmann. 1823.
1827	1	0010	19	84 S. 4. (6 gGr.) -
1827	1	0010	20	2) BenLix, b. Dümmler: De Hypſ/ariis opinioni
1827	1	0010	21	busque, quae f/ eis propoſitae /unt, com
1827	1	0010	22	mentationm ad hiſtoriam religionis pertinen
1827	1	0010	23	tem ſcripfit Lic. Guil. Boehmerüs. Praefato Dr.
1827	1	0010	24	Aug. Neandro. 1824. VI u. 102 S. gr. 8. (10gGr.)
1827	1	0010	25	3) HAMBuns, b. Perthes: Einige Bemerkungen zu
1827	1	0010	26	den von dem Hn. Prof. Dr. Ullmann und mir
1827	1	0010	27	aufgeſtellten Anſichten über den Urſprung und
1827	1	0010	28	den Charakter der Hyp//tarier. Nebſt einem
1827	1	0010	29	Anhange. Von dem Lic. Böhmer. 1826. 75 S.
1827	1	0010	30	kl. 8. (8 gGr.) -
1827	1	0010	31	E. iſt ſehr erfreulich, daſs eine Secte, über welche
1827	1	0010	32	bisher gar nichts Genügendes vorhanden war (die
1827	1	0010	33	Hauptſtellen über die Hypſiſtarier – über die es bis
1827	1	0010	34	her eine Monographie gab – in den allgemeine
1827	1	0010	35	ren Werken älterer Forſcher hat die Schrift Nr. 1.
1827	1	0010	36	S. 7. Not. 1. citirt), jetzt der Gegenſtand der beſon
1827	1	0010	37	deren. Unterſuchung zweyer gründlichen Forſcher,
1827	1	0010	38	der Hn. Profeſſoren, Ullmann in Heidelberg und
1827	1	0010	39	Böhmer in Greifswald, geworden iſt.
1827	1	0010	40	1) Die Beſchäftigung mit dem Gregor von Na
1827	1	0010	41	zianz, aus der die 1825 erſchienene treffliche Mo–
1827	1	0010	42	nographie über denſelben hervorging, veranlaſste Hn.
1827	1	0010	43	Prof. Ullmann auch zu obenbemerkter Unterſuchung
1827	1	0010	44	über die Hypfiſtarier. Er faſst dieſelbe in 9 Para
1827	1	0010	45	graphen. §1. (S. 7–11) redet er von den Stellen
1827	1	0010	46	der Alten , Welche der Hypſ gedenken, und giebt
1827	1	0010	47	ſodann # (S. 11 – 14) än, was aus dieſen Stellen
1827	1	0010	48	folge. Die Hauptſtelle über die Hypfiftarier iſt in
1827	1	0010	49	Gregors von Nazianz Leichenrede äüf ſeinen Vater
1827	1	0010	50	Gregor, der lange Zeit zur Secte der Hypſ gehört
1827	1	0010	51	hatte (orat. XVIII., 5.) Es wird hier geſagt, die
1827	1	0010	52	HyPfiſtarier (alſo in Cappadocien, wo der alte Gre
1827	1	0010	53	gör lebte)# ein Gemiſch aus dem Judenthum
1827	1	0010	54	und Heidenthum; vom Heidniſchen hätten ſie die
1827	1	0010	55	Götzen (rá eiôoa äztoºtºutóusvo) und die Opfer auf
1827	1	0010	56	Ä den Gebrauch des Feuers und der Lichter
1827	1	0010	57	ey ihrem Cultus aberÄ (ruôot tóztig
1827	1	0010	58	xa rä .zva); vom Jüdiſchen hätten ſie hingegen
1827	1	0010	59	ÄSabbat und eine ängſtliche Enthaltung voje
1827	1	0010	60	wiſſen. Speiſen; ſie verächteten aber die Beſchnj
1827	1	0010	61	-4, L. Z. 1827. Erſter Band.
1827	1	0010	62	dung. Sie verehrten allein den Allmächtigen, róv
1827	1	0010	63	IIayroxgdroga (ö zuvroxgártog uóvoç «üro oßáoutog),
1827	1	0010	64	und eben als Verehrer dieſes höchſten Gottes (toö
