year	vol	page	line	content
1835	3	0003	1	º. Ä WÄ Wºllº
1835	3	0003	2	ÄD - - Ä II E
1835	3	0003	3	TS- WS)#
1835	3	0003	4	LIBRÄRYSED ofTHE
1835	3	0003	5	RSITY OFMICIII:
1835	3	0003	6	ÄÄN
1835	3	0003	7	- " -x-Tz Q
1835	3	0003	8	NA
1835	3	0005	1	-
1835	3	0005	2	~
1835	3	0005	3	*
1835	3	0005	4	~
1835	3	0005	5	~
1835	3	0005	6	~
1835	3	0005	7	~
1835	3	0005	8	）
1835	3	0005	9	-
1835	3	0005	10	-
1835	3	0005	11	-
1835	3	0005	12	-
1835	3	0005	13	-
1835	3	0005	14	- - -
1835	3	0006	1	T Leewen
1835	3	0006	2	---
1835	3	0006	3	=-
1835	3	0006	4	- - - –––
1835	3	0006	5	LITERATUR - ZEITUNG
1835	3	0006	6	v o M J A H R. E.
1835	3	0006	7	1835.
1835	3	0006	8	*-
1835	3	0006	9	DR IT T ER BAND.
1835	3	0006	10	S E P T EM BE R bis D EC E M B E R.
1835	3	0006	11	H A L L E,
1835	3	0006	12	in der Expedition dieser Zeitung
1835	3	0006	13	bei C. A. Schwetschke und Sohn,
1835	3	0006	14	a un d LE I PZ I G,
1835	3	0006	15	" der König 1. Sä c h s. privil. Zeitung s – Expedition.
1835	3	0006	16	1 8 35.
1835	3	0008	1	L. ---
1835	3	0008	2	/ -- f.
1835	3	0008	3	- 30 -
1835	3	0008	4	.
1835	3	0008	5	– 153 –
1835	3	0008	6	ALLGEMEINE LITERATUR - ZEITUNG
1835	3	0008	7	September 1835.
1835	3	0008	8	THEOLOGIE.
1835	3	0008	9	HAMBURG, b. Fr. Perthes: Betrachtungen über die
1835	3	0008	10	christlichen Glaubenslehren. Von Dr. J. P. Myn
1835	3	0008	11	ster, Bischof von Seeland, Ordensbischof u. s. w. -
1835	3	0008	12	Uebersetzt von Theodor Schorn. – Erster Band.
1835	3	0008	13	I835. IV u. 472 S. 8.
1835	3	0008	14	B. der Beurtheilung dieses Werkes haben wir
1835	3	0008	15	einen doppelten Gesichtspunkt wohl zu unterschei
1835	3	0008	16	den, Ä das Urtheil über den Werth desselben
1835	3	0008	17	wird sehr verschieden ausfallen, je nachdem man
1835	3	0008	18	von dem einen oder dem anderen ausgehen wird.
1835	3	0008	19	Neben dem eigentlich wissenschaftlichen oder didak
1835	3	0008	20	tischen Elemente nämlich, tritt auch noch das asce
1835	3	0008	21	tische in demselben sehr stark hervor, ja es über
1835	3	0008	22	wiegt vielleicht das erstere. Keinesweges darf man
1835	3	0008	23	etwa bedeutende wissenschaftliche Untersuchungen
1835	3	0008	24	fiber die christlichen Glaubenslehren in diesem Buche
1835	3	0008	25	erwarten, sondern die ganze Darstellungsweise ist
1835	3	0008	26	mehr im populär-praktischen, der Erbauung die
1835	3	0008	27	nenden Tone gehalten, so daſs es seinem vorherr
1835	3	0008	28	schenden Charakter nach wohl eher in die Reihe der
1835	3	0008	29	„Erbauungs- oder Andachtsbücher" zu stellen ist,
1835	3	0008	30	als in die der wissenschaftlichen. Indessen hielt es
1835	3	0008	31	sich doeh nicht bloſs in dieser ascetischen Sphäre,
1835	3	0008	32	denn nicht allein liegt der Darstellung im Ganzen
1835	3	0008	33	ein Schema wissenschaftlicher Begriffe, gleichsam
1835	3	0008	34	als Knochengerüste zu Grunde, das dann mit dem
1835	3	0008	35	Fleisch und Blut der erbaulichen Rede bekleidet
1835	3	0008	36	wird, sondern auch durch die Darstellungsweise
1835	3	0008	37	selbst zieht sich immer eine Tendenz hindurch, die
1835	3	0008	38	wissenschaftlichen Probleme der christlichen Glau
1835	3	0008	39	benslehre zu lösen. Die Betrachtungen des Vfs be
1835	3	0008	40	gniigen sich nicht bloſs damit, die bereits gewonne
1835	3	0008	41	nen und anerkannten Resultate der Wissenschaft
1835	3	0008	42	dem allgemeinen Verständniſs näher zu bringen und
1835	3	0008	43	im Herzen der Leser zur lebendigen Gesinnung zu
1835	3	0008	44	erregen, sondern sie machen sichtbar auch darauf
1835	3	0008	45	Anspruch, gewisse Ansichten von dem christlichen
1835	3	0008	46	Glauben wissenschaftlich zu begründen, sie streifen
1835	3	0008	47	daher nicht selten in die Tiefen der theologischen
1835	3	0008	48	Gelehrsamkeit oder in die Höhen der Speculation
1835	3	0008	49	leicht hinüber, oder sie gehen in die Streitfragen
1835	3	0008	50	zwischen den theologischen Parteien über die höch
1835	3	0008	51	sten wissenschaftlichen Principien der christlichen
1835	3	0008	52	Glaubenslehre ein. Beide Zwecke, die Erbauung
1835	3	0008	53	und die wissenschaftliche Untersuchung, scheinen
1835	3	0008	54	daher in dem Buche vereinigt zu seyn, in welchem
1835	3	0008	55	Verhältniſs aber der Vf. sie sich gegen einander ge
1835	3	0008	56	dacht habe, und welcher ihm als der wichtigere ge
1835	3	0008	57	A. Z. L. 1835. Dritter Band.
1835	3	0008	58	golten habe, dieſs bleibt um so mehr zweifelhaft, da,
1835	3	0008	59	wenigstens in der vorliegenden Uebersetzung, kein
1835	3	0008	60	Vorwort darüber einige Auskunft giebt, und so
1835	3	0008	61	bleibt es auch für die Beurtheilung zweifelhaft, wel
1835	3	0008	62	cher Maaſsstab eigentlich anzulegen sey, ob der
1835	3	0008	63	ascetische oder der wissenschaftliche.
1835	3	0008	64	Fassen wir zuerst den ascetischen Charakter der
1835	3	0008	65	Schrift, der uns als der vorherrschende in ihr er
1835	3	0008	66	schienen ist, näher in das Auge, beurtheilen wir
1835	3	0008	67	sie noch ganz ohne Rücksicht auf ihren Lehrinhalt,
1835	3	0008	68	nur ihrer ascetischen Form nach, so sind ihr manche
1835	3	0008	69	nicht geringe Vorzüge zuzugestehen. Eine einfache
1835	3	0008	70	und klare, kraftvolle und kernige, lebendige und
1835	3	0008	71	eindringende Sprache umgiebt das Ganze mit einem
1835	3	0008	72	würdigen Kleide und tritt dem Leser wohlthuend
