year	vol	page	line	content
1836	5	0003	1	TTTTTTTT
1836	5	0004	1	Z.
1836	5	0004	2	- - - -
1836	5	0004	3	. A 3
1836	5	0005	1	，
1836	5	0005	2	，
1836	5	0005	3	，
1836	5	0006	1	ALLGEMEINE
1836	5	0006	2	LITERATUR - ZEITUNG
1836	5	0006	3	W O M .J A HI R E
1836	5	0006	4	83 6.
1836	5	0006	5	FÜNF T ER B AN D.
1836	5	0006	6	D I E I N T EL L I GE N Z B L Ä TT E R
1836	5	0006	7	die s es Jahr g a n gs
1836	5	0006	8	ent halten d.
1836	5	0006	9	H A L L E,
1836	5	0006	10	in der Expedition dieser Zeit ung
1836	5	0006	11	bei C. A. Schwetschke und Sohn,
1836	5	0006	12	un d LE I PZ IG,
1836	5	0006	13	in der König l. Sä c h s. privil. Zeitung s – Expedition.
1836	5	0006	14	1 83 6.
1836	5	0007	1	I
1836	5	0007	2	DTUTCX U
1836	5	0007	3	-
1836	5	0007	4	-
1836	5	0007	5	-
1836	5	0007	6	---
1836	5	0007	7	sf
1836	5	0007	8	L
1836	5	0007	9	P
1836	5	0007	10	- *
1836	5	0007	11	G .
1836	5	0007	12	- - * --
1836	5	0007	13	- r: -
1836	5	0007	14	- -
1836	5	0007	15	. ..
1836	5	0007	16	-
1836	5	0007	17	---
1836	5	0007	18	º
1836	5	0007	19	- -
1836	5	0007	20	- -
1836	5	0007	21	- -
1836	5	0007	22	. .
1836	5	0007	23	. . . . !
1836	5	0007	24	- .
1836	5	0007	25	-
1836	5	0007	26	- 2 + ! ..
1836	5	0008	1	- -
1836	5	0008	2	I S. C- -
1836	5	0008	3	zo -s –
1836	5	0008	4	4 / 2 / - *
1836	5	0008	5	– I –
1836	5	0008	6	IN T EL L I GE NZ BLATT
1836	5	0008	7	ID ER
1836	5	0008	8	ALLGEMEINEN LITERATUR - ZEITUNG
1836	5	0008	9	Januar 183 6.
1836	5	0008	10	LI T E R A R I S C H E
1836	5	0008	11	P r e is e.
1836	5	0008	12	Preisaufgaben der Utrechter Societät für
1836	5	0008	13	Künste und Wissenschaften. -
1836	5	0008	14	Die Societät für Künste und Wissenschaften zu Utrecht
1836	5	0008	15	hat in ihrer diesjährigen Versammlung, am 26sten Juni
1836	5	0008	16	1835, folgende Fragen ausgeschrieben, mit Zusage ei
