year	vol	page	line	content
1841	3_5	0003	1	TTWE
1841	3_5	0003	2	Trº
1841	3_5	0003	3	TTE
1841	3_5	0004	1	Z
1841	3_5	0004	2	.
1841	3_5	0004	3	A
1841	3_5	0005	1	~
1841	3_5	0005	2	~
1841	3_5	0005	3	~
1841	3_5	0005	4	~
1841	3_5	0005	5	~
1841	3_5	0005	6	~
1841	3_5	0005	7	~
1841	3_5	0005	8	~
1841	3_5	0005	9	~
1841	3_5	0005	10	~
1841	3_5	0005	11	）
1841	3_5	0005	12	-
1841	3_5	0005	13	-
1841	3_5	0005	14	-
1841	3_5	0005	15	*
1841	3_5	0005	16	*
1841	3_5	0005	17	*
1841	3_5	0005	18	*
1841	3_5	0005	19	•
1841	3_5	0005	20	•
1841	3_5	0005	21	•
1841	3_5	0006	1	AL LG EMI EINE
1841	3_5	0006	2	LITERATUR - ZEITUNG
1841	3_5	0006	3	184 .
1841	3_5	0006	4	D RI T T ER BAND.
1841	3_5	0006	5	S E PT E M BE R bis D EC E M BE R.
1841	3_5	0006	6	== - -
1841	3_5	0006	7	H A L L E,
1841	3_5	0006	8	in der Expedition dieser Zeit ung
1841	3_5	0006	9	bei C. A. Schwetschke und Sohn,
1841	3_5	0006	10	un d LE I PZ I G ,
1841	3_5	0006	11	in der König 1. Sächs. privil. Zeitung s – Expedition.
1841	3_5	0006	12	1 84 1.
1841	3_5	0008	1	Dees
1841	3_5	0008	2	1 see- -
1841	3_5	0008	3	/ - 5 - f.
1841	3_5	0008	4	47c ºf
1841	3_5	0008	5	– 153 –
1841	3_5	0008	6	A L LG E MEINE L IT E R ATUR - ZEITUNG
1841	3_5	0008	7	September 1841.
1841	3_5	0008	8	BIBLIsch E LITERATUR.
1841	3_5	0008	9	Leipzig, b. K. F. Köhler: Hermeneutik des Neuen
1841	3_5	0008	10	Testaments. Von D. H. M. Klausen, ord. Prof.
1841	3_5	0008	11	d. Theol. an der Univ. zu Kopenhagen, Ritter v.
1841	3_5	0008	12	Dannebrog. Aus dem Dänischen übersetzt, von
1841	3_5	0008	13	C. 0. Schmidt – Phiseldek, Cand. d. Theol. zu Ko
1841	3_5	0008	14	penhagen. 1841. XII u. 475 S. gr. 8. C2 Rthlr.
1841	3_5	0008	15	12 gGr.)
1841	3_5	0008	16	Es ist eine gerechte Klage, von welcher der Vf.
1841	3_5	0008	17	dieses Werks ausgeht, dass, während die biblische
1841	3_5	0008	18	Exegese in der neuesten Zeit mit grossem Eifer
1841	3_5	0008	19	betrieben worden ist, die Theorie der Schriftaus
1841	3_5	0008	20	legung keine umfassende und gründliche wissen
1841	3_5	0008	21	schaftliche Bearbeitung erfahren hat. Das letzte
1841	3_5	0008	22	Decennium hat Kommentare, namentlich über das
1841	3_5	0008	23	N. T., in grosser Menge und in den verschieden
1841	3_5	0008	24	sten Richtungen, aber über die Principien und die
1841	3_5	0008	25	Methode der Auslegung Wenig mehr als gelegent
1841	3_5	0008	26	liche und partielle Betrachtungen aufzuweisen. Dies
1841	3_5	0008	27	ist um so mehr zu verwundern und zugleich um so
1841	3_5	0008	28	mehr zu beklagen, da gerade die verschiedenen
1841	3_5	0008	29	Richtungen, die sich in den einzelnen Kommentaren
1841	3_5	0008	30	geltend machten, und die nicht minder verschiede
1841	3_5	0008	31	nen Resultate, zu denen die Verfolgung derselben
1841	3_5	0008	32	führte, am dringendsten hätten auffordern sollen,
1841	3_5	0008	33	die Frage nach dem rechten Princip und der wah
1841	3_5	0008	34	ren Natur der Schriftauslegung einer strengen und
1841	3_5	0008	35	allseitigen Revision zu unterwerfen. Namentlich die
1841	3_5	0008	36	evangelisch-protestantische Kirche muss eine solche
1841	3_5	0008	37	Uutersuchung so sehr in ihrem Interesse finden, dass
1841	3_5	0008	38	sie sich derselben am wenigsten in einer Zeit entzie
1841	3_5	0008	39	hen kann, welche an abnormen, und gleichwohl als
1841	3_5	0008	40	normal angepriesenen Auswüchsen so überfruchtbar
1841	3_5	0008	41	wie die unsrige ist. Was Schleiermucher als opus
1841	3_5	0008	42	posthumum hinterlassen hat, ist, wenn man nicht
1841	3_5	0008	43	etwa Olshausen's einseitiges » Wort über tieferen
1841	3_5	0008	44	Schriftsinn" hieher rechnen will, fast das einzige
1841	3_5	0008	45	aus neuester Zeit; aber wie scharfsinnig es auch
1841	3_5	0008	46	in philosophischer Hinsicht ist, so kann es doch,
1841	3_5	0008	47	wenigstens auf dem Gebiete unserer Kirche, keine
1841	3_5	0008	48	sonderliche theologische Bedeutung ansprechen. Da
1841	3_5	0008	49	zu würde, seine Hermeneutik nur dann berechtigt
1841	3_5	0008	50	seyn, wenn er eben so sehr den evangelischen, als
1841	3_5	0008	51	den protestantischen Charakter festgehalten hätte.
1841	3_5	0008	52	Aber so protestantisch er auch jedem herrischen
1841	3_5	0008	53	Einfluss der Menschensatzung und der kirchlichen
1841	3_5	0008	54	Auktorität abwehrt, so wenig evangelisch ist er
1841	3_5	0008	55	darauf bedacht, bei der Bestimmung des Christli
1841	3_5	0008	56	chen der geschriebenen Urkunde des Christenthu
1841	3_5	0008	57	mes allein die Ehre zu geben, indem er vielmehr,
1841	3_5	0008	58	wie aus seinem „christlichen Glauben" längst be
1841	3_5	0008	59	kannt ist, frommen Erregungen das ungebührliche
1841	3_5	0008	60	Recht einräumt, sich als wissenschaftliches Princip
1841	3_5	0008	61	geltend zu machen. Rechnet man nun vollends
1841	3_5	0008	62	hinzu, wie Hegel's Jünger in unseren Tagen, bald
1841	3_5	0008	63	durch a priori'sche Konstructionen, bald durch die
1841	3_5	0008	64	kühnen Operationen einer angeblich höheren Kritik,
1841	3_5	0008	65	das Christenthum entweder zu Ideen, oder zu My
1841	3_5	0008	66	then verflüchtigen, so durfte der Vf. es um so mehr
1841	3_5	0008	67	für ein zeitgemässes Unternehmen erachten, die Ba
1841	3_5	0008	68	sis des biblischen Christenthums durch eine neue
1841	3_5	0008	69	Bearbeitung der Hermeneutik vor solchen Verirrun
1841	3_5	0008	70	gen und Schwankungen zu sichern.
1841	3_5	0008	71	Ist hiernach die Berechtigung und das Bedürf
1841	3_5	0008	72	niss einer Arbeit, wie die vorliegende, ausser Zwei
1841	3_5	0008	73	fel gestellt, und fragen wir nun, wie der Vf. seine
1841	3_5	0008	74	Aufgabe erfasset und gelöset habe, so tritt uns zu
1841	3_5	0008	75	vörderst in der äusseren Gestaltung des Werkes ein
1841	3_5	0008	76	Missverhältniss entgegen, welches, wenn es gleich
1841	3_5	0008	77	für die Sache selbst nicht eben wesentlich ist, doch
1841	3_5	0008	78	nicht unbesprochen bleiben darf, da bei einer wissen
1841	3_5	0008	79	schaftlichen Arbeit auch der Form ihr Recht gesche
1841	3_5	0008	80	hen muss. Nach einer Einleitung von 76 Seiten folgt
1841	3_5	0008	81	nämlich eine Geschichte der neutestamentlichen Her
1841	3_5	0008	82	meneutik von 261 Seiten, worauf die Hermeneutik
1841	3_5	0008	83	selbst auf 122 Seiten zusammengedrängt ist; so
1841	3_5	0008	84	dass die Ceschichte die bei weitem grössere Hälfte
1841	3_5	0008	85	des ganzen Werkes einnimmt. Wäre das Werk
1841	3_5	0008	86	nun auf dem Titel als »Hermeneutik und Geschichte
1841	3_5	0008	87	derselben", oder als »geschichtliche Darstellung der
1841	3_5	0008	88	Hermeneutik" angekündigt worden, so wäre eine
1841	3_5	0008	89	- solche Vertheilung des alsdann zwiefachen Stoffes
1841	3_5	0008	90	in der Ordnung gewesen. So aber, da nur die Her
1841	3_5	0008	91	4. 1,. Z. 1841. Dritter Bund.
1841	3_5	0008	92	A
1841	3_5	0009	1	3 ALLG. LITERATUR - ZEITUNG 4
1841	3_5	0009	2	meneutik selbst angekündigt war, hätte ihre Ge
1841	3_5	0009	3	schichte nur einen Theil der Einleitung ausmachen,
1841	3_5	0009	4	und dann weit gedrängter behandelt werden müs
1841	3_5	0009	5	sen. Dieses Missverhältniss des theoretischen und
1841	3_5	0009	6	historischen Theiles ist auch dem Vf. selbst nicht
1841	3_5	0009	7	entgangen. Wenn er dasselbe aber durch die Be
1841	3_5	0009	8	merkung (S. VIII) zu entschuldigen sucht: dass
1841	3_5	0009	9	sich im historischen Theile auch - Partieen allge
1841	3_5	0009	10	meineren Inhalts finden, welche ungefähr mit glei
1841	3_5	0009	11	chem Fug ihre Stelle in der theoretischen Unter
1841	3_5	0009	12	suchung hätten einnehmen können", so brauchen
1841	3_5	0009	13	wir dabei nur zu bemerken, dass eben diess ein
1841	3_5	0009	14	triftiger Grund gewesen wäre, solche Partieen dahin
1841	3_5	0009	15	zu verlegen, wo die wissenschaftliche üzgißeta und
1841	3_5	0009	16	eörugia ihnen ihren rechten Platz würde angewiesen
1841	3_5	0009	17	haben. Doch, wie gesagt, betrifft diese Ausstel
1841	3_5	0009	18	lung nur die Form; denn mit der Sache selbst, dass
1841	3_5	0009	19	uns hier eine so ausführliche Geschichte der Her
1841	3_5	0009	20	meneutik gegeben ist, können wir so wenig unzu
1841	3_5	0009	21	frieden seyn, dass wir vielmehr ganz mit dem Vf.
1841	3_5	0009	22	einverstanden sind, wenn er (S. VIII) sagt: - die
1841	3_5	0009	23	Grundsätze für die Behandlung des heiligen Wortes
1841	3_5	0009	24	greifen so tief in die ganze kirchliche Literatur ein,
1841	3_5	0009	25	dass jene (historischen) Sammlungen, durch wis
1841	3_5	0009	26	senschaftliche Ordnung des Stoffes, und durch Zu
1841	3_5	0009	27	sammenziehung der gleichartigen Bestandtheile, so
1841	3_5	0009	28	wie ich sie versucht habe, mir eine sowohl lehr
1841	3_5	0009	29	reiche, als interessante Ausbeute zu geben schei
1841	3_5	0009	30	nen”. Wollte der Vf. sowohl für das materielle
1841	3_5	0009	31	Uebergewicht des historischen Theiles, als für die
1841	3_5	0009	32	den Gedankengang scheinbar zerreissende Hinein
1841	3_5	0009	33	schiebung desselben zwischen die grundlegende Ein
1841	3_5	0009	34	leitung und die vollständige Theorie, eine Entschul
1841	3_5	0009	35	digung geben, so hätte er gewiss eine weit ge
1841	3_5	0009	36	wichtigere finden können, als die oben angeführte;
1841	3_5	0009	37	und diese scheint uns so nahe zu liegen, dass wir
1841	3_5	0009	38	nicht umhin können, ihm dieselbe zu Gute kommen
1841	3_5	0009	39	zu lassen, auch ohne durch sein eigenes Wort dazu
1841	3_5	0009	40	ermächtigt zu seyn. Es erscheint uns nämlich die
1841	3_5	0009	41	hier gewählte Ordnung und Ausführlichkeit als ein
1841	3_5	0009	42	treues Bild der genetischen Entwickelung der Arbeit
1841	3_5	0009	43	bei dem Vf. selbst. Als ein gründlich und tüchtig
1841	3_5	0009	44	durchgebildeter wissenschaftlicher Mann ging er von
1841	3_5	0009	45	der unumstösslichen Wahrheit aus, dass die Ge
1841	3_5	0009	46	schichte, hier wie allenthalben, die beste Lehrerin
1841	3_5	0009	47	und Warnerin ist. Erfüllt von dem Gedanken, die
1841	3_5	0009	48	lange vernachlässigte Hermeneutik wieder zu Ehren
1841	3_5	0009	49	zu bringen, beschäftigte er sich daher mit jahre
1841	3_5	0009	50	langen historischen Vorarbeiten und Sammlungen
1841	3_5	0009	51	(S. VII). Während er so immer tiefer in das bis
1841	3_5	0009	52	pretation, wie sie seyn soll.
1841	3_5	0009	53	her Geleistete eindrang, stellten sich die verschie
1841	3_5	0009	54	denen Interpretatious – Grundsätze und Methoden in
1841	3_5	0009	55	ihrem Verhältnisse zu einander und in ihren ver
1841	3_5	0009	56	schiedenen Wirkungen immer vollständiger heraus;
1841	3_5	0009	57	die Abwege, die zu vermeiden sind, schieden sich
1841	3_5	0009	58	immer schärfer von dem rechten Wege, und so ge
1841	3_5	0009	59	staltete sich in voller Klarheit das Bild der Inter
1841	3_5	0009	60	Ganz natürlich wollte
1841	3_5	0009	61	er nun das so vollendete Bild seinen Lesern nicht
1841	3_5	0009	62	blos als ein fertiges Resultat wiedergeben, sondern
1841	3_5	0009	63	sie auch anleiten, es selbstthätig auf demselben
1841	3_5	0009	64	Wege zu finden und in sich entstehen zu lassen.
1841	3_5	0009	65	Und dieser historisch – genetische Weg zur Vollen
1841	3_5	0009	66	dung der Wissenschaft, meinen wir, bedarf nicht
1841	3_5	0009	67	blos keiner Entschuldigung mehr, sondern verdient
1841	3_5	0009	68	im Gegentheil alle Empfehlung, besonders wo es
1841	3_5	0009	69	gilt, jüngeren Zöglingen der Wissenschaft, die der
1841	3_5	0009	70	Vf, doch gewiss zunächst im Auge hatte, eine An
1841	3_5	0009	71	weisung zum selbstständigen Studium zu geben,
1841	3_5	0009	72	und sie zü geistiger Mündigkeit und Reife hinan
1841	3_5	0009	73	zu führen.
1841	3_5	0009	74	So wie nun Alle, welche die vorliegende Her
1841	3_5	0009	75	meneutik zu ihrer Bildung benutzen werden, dem V.
1841	3_5	0009	76	für diese ausführliche historische Behandlung Dank
1841	3_5	0009	77	wissen müssen, so zeigt sich auch der wohlthätige
1841	3_5	0009	78	Einfluss derselben auf den Geist und die Grundsätze
1841	3_5	0009	79	des Werkes selbst auf die erfreulichste Weise.
1841	3_5	0009	80	Denn vornehmlich dem gründlichen historischen Stu
1841	3_5	0009	81	dium glauben wir es zuschreiben zu müssen, dass
1841	3_5	0009	82	der Vf, sich von den gangbarsten Verirrungen auf
1841	3_5	0009	83	dem theologischen Gebiete frei erhalten hat.
1841	3_5	0009	84	Zu diesen Verirrungen müssen wir, – trotz
1841	3_5	0009	85	den von dieser Seite zu fürchtenden Bannstrahlen
1841	3_5	0009	86	– zuerst und vor allen Dingen die spekulativen
1841	3_5	0009	87	Luftgebäude der Hegel'schen Theosophen rechnen,
1841	3_5	0009	88	deren Bestrebungen, auch die Hermeneutik nach
1841	3_5	0009	89	ihren exotischen Voraussetzungen zu modeln, der
1841	3_5	0009	90	Vf. mit Würde und Entschiedenheit als ungehörig
1841	3_5	0009	91	und unzulässig abweiset. „Die Theologie", sagt er
1841	3_5	0009	92	S. VII, »darf sich nicht von einer Spekulation über
1841	3_5	0009	93	wältigen lassen, die da meint, dass der dialektische
1841	3_5	0009	94	Lebensquell, – manchmal ergiebiger an Sand als
1841	3_5	0009	95	an Wasser, – jeden anderen überflüssig mache;
1841	3_5	0009	96	während sie theologisirenden Gastfreunden mit Wohl
1841	3_5	0009	97	wollen entgegen kommt, darf sie dieselben nicht
1841	3_5	0009	98	Herren im Hause werden lassen". Vielmehr muss
1841	3_5	0009	99	die wahre philosophische Richtung ihre Aufgabe
1841	3_5	0009	100	darin finden, - über das historisch gegebene Chri
1841	3_5	0009	101	stc.thum zu philosophiren, anstatt dasselbe durch
1841	3_5	0009	102	apriorische Konstruktion herauszuphilosophiren."
1841	3_5	0010	1	5 Num. 153. SEPTEMBER 1841. 6
1841	3_5	0010	2	Ernstlich erklärt er sich daher gegen das Verfah
1841	3_5	0010	3	ren, »die evangelische Geschichte durch Hülfe
1841	3_5	0010	4	sinnreicher Kombinationen in eine Symbolisirung all
1841	3_5	0010	5	gemeiner religiöser Ideen aufzulösen, und den di
1841	3_5	0010	6	daktischen Inhalt derselben mit den Resultaten ei
1841	3_5	0010	7	nes dialektischen Begriffssystems zu identificiren."
1841	3_5	0010	8	Vgl. S. 321 ff., wo ausführlicher von der Hegel'schen
1841	3_5	0010	9	Philosophie, und ihrem Verhältnisse zur Schrift
1841	3_5	0010	10	auslegung, die Rede ist.
1841	3_5	0010	11	Eben so ernstlich protestirt der Vf. gegen die
1841	3_5	0010	12	Abhängigkeit der Schrifterklärung von irgend einer
1841	3_5	0010	13	ausser der Schrift gegebenen Norm. Die Bibel darf
1841	3_5	0010	14	den allgemeinen Regeln der Auslegung nicht ent
1841	3_5	0010	15	nommen werden. S. 23. Die Behauptung einer fort
1841	3_5	0010	16	währenden göttlichen Auslegungsgabe als Deposi
1841	3_5	0010	17	tum im Schoosse der Kirche erweiset sich als will
1841	3_5	0010	18	kürliche Fiktion, und wird durch das Zeugniss der
1841	3_5	0010	19	Geschichte widerlegt. S. 43. Eben so wenig aber,
1841	3_5	0010	20	als nach der kirchlichen Tradition im Allgemeinen,
1841	3_5	0010	21	ist die Bibel nach dem sogenannten Apostolischen
1841	3_5	0010	22	Symbolum auszulegen. S. 44. Wohl ist der christ
1841	3_5	0010	23	liche Glaube älter als die Schrift; aber wie ein
1841	3_5	0010	24	Gesetz lange da gewesen und unwillkürlich befolgt
1841	3_5	0010	25	seyn kann, ehe es geschrieben und vorgeschrieben
1841	3_5	0010	26	ward, aber durch den schriftlichen Ausdruck erst
1841	3_5	0010	27	volle Klarheit und Kraft gewinnt: so ist auch das
1841	3_5	0010	28	Daseyn der Kirche nicht erst vom Daseyn der Schrift
1841	3_5	0010	29	an zu datiren; vielmehr ist das Wort Gottes lange
1841	3_5	0010	30	vorhanden gewesen und geglaubt worden, ehe es in
1841	3_5	0010	31	die schriftliche Form gebracht ward. Seitdem diese
1841	3_5	0010	32	aber vorhanden ist, steht sie da als das einzige
1841	3_5	0010	33	sichere und in allen wesentlichen Theilen unverän
1841	3_5	0010	34	derte Zeugniss, und ist derjenige Ausdruck der
1841	3_5	0010	35	christlichen Offenbarung, der allein die christliche
1841	3_5	0010	36	Wahrheit sichern kann, und daher nicht von der
1841	3_5	0010	37	wandelbaren mündlichen Ueberlieferung abhängig
1841	3_5	0010	38	gemacht werden darf. S. 45 ff. Was die Kirchen
1841	3_5	0010	39	väter als regula fidei anpreisen, ist nicht das Apo
1841	3_5	0010	40	stolische Symbolum. Die Apostel haben keine ab
1841	3_5	0010	41	geschlossene Form des Glaubensbekenntnisses hin
1841	3_5	0010	42	terlassen; vielmehr ist das nach ihnen benannte
1841	3_5	0010	43	Symbolum ein nach und nach in der Kirche ent
1841	3_5	0010	44	standenes Dokument dessen, was die Hauptsumme
1841	3_5	0010	45	des mündlich und schriftlich verkündigten und be
1841	3_5	0010	46	kannten Evangeliums ausmachte. S. 54. Wie es
1841	3_5	0010	47	nun schon aus diesem Grunde der Schrift nicht “
1841	3_5	0010	48	übergeordnet werden darf, so kann es um so we
1841	3_5	0010	49	niger als Regel für die Schriftauslegung dienen,
1841	3_5	0010	50	weil es den Erfordernissen einer solchen Regelwe
1841	3_5	0010	51	der nach Inhalt noch Form entspricht; ein Gedanke,
1841	3_5	0010	52	der S. 55 f. mit vorzüglicher Evidenz ausgeführt ist;
1841	3_5	0010	53	worauf der Vf, zu dem unläugbar wahren, aber in
1841	3_5	0010	54	unseren Tagen vielfach verkannten Resultate ge
1841	3_5	0010	55	langt, dass jeder Versuch, die Auslegung auf eine
1841	3_5	0010	56	positive, ausserhalb der Schrift stehende, kirchliche
1841	3_5	0010	57	Auktorität zu stützen, eine katholisirende Richtung
1841	3_5	0010	58	offenbare.
1841	3_5	0010	59	Wie sich nach dem bisher Angeführten schon
1841	3_5	0010	60	erwarten lässt, hält der Vf. unerschütterlich fest an
1841	3_5	0010	61	dem protestantischen Princip von dem Worte Gottes
1841	3_5	0010	62	in der heiligen Schrift, als der einzigen Regel und
1841	3_5	0010	63	Richtschnur christlicher Wahrheit, die unabhängig
1841	3_5	0010	64	aus sich selbst erklärt werden müsse. S. 36f. Die
1841	3_5	0010	65	ses Princip ist kein von den Reformatoren neu erfun
1841	3_5	0010	66	denes; von jeher, so lange das N. T. als Sammlung
1841	3_5	0010	67	vorhanden war, ist der Grundsatz, dass eine christ
1841	3_5	0010	68	liche Lehre sich als biblisch müsse nachweisen las
1841	3_5	0010	69	sen, praktisch festgehalten, wenn auch nicht immer
1841	3_5	0010	70	theoretisch aufgestellt worden, und lange vor der Re
1841	3_5	0010	71	formation ward die Bibel der Tradition entgegenge
1841	3_5	0010	72	stellt; die Reformatoren aber haben das Verdienst,
1841	3_5	0010	73	das Schriftprincip zuerst klar und bestimmt ausge
1841	3_5	0010	74	sprochen und an die Spitze gestellt zu haben. S.38 f.
1841	3_5	0010	75	Gründlich widerlegt der Vf. von S.40 an die Einwen
1841	3_5	0010	76	dungen, die gegen dieses Princip erhoben sind. Von
1841	3_5	0010	77	der späteren Abfassung der Schrift ist oben schon die
1841	3_5	0010	78	Rede gewesen. Die von den kritischen Anfechtungen
1841	3_5	0010	79	hergenommene Instanz wird treffend abgewiesen
1841	3_5	0010	80	durch die Bemerkung, dass die Bibel nicht wie ein
1841	3_5	0010	81	organischer Körper zu betrachten ist, dessen voll
1841	3_5	0010	82	kräftiges Leben von der numerischen Vollständigkeit -
1841	3_5	0010	83	seiner Theile abhängt. S. 48. Die Verschiedenheit
1841	3_5	0010	84	der Auslegung aber auf welche sich die Gegner des
1841	3_5	0010	85	Schriftprincips so oft und laut berufen haben, würde
1841	3_5	0010	86	nur dann ein wirklicher Einwurf seyn, wenn die Ge
1841	3_5	0010	87	meinschaft der Kirche auf Einerleiheit aller Vorstei
1841	3_5	0010	88	lungen beruhte. Mit Recht aber erklärt der Vf, eine
1841	3_5	0010	89	solche Gemeinschaft für eben so unnöthig als unmög
1841	3_5	0010	90	lich, und durch kein Machtgebot zu erzwingen. Die
1841	3_5	0010	91	wahre Gemeinschaft der Kirche beruht auf der Einheit
1841	3_5	0010	92	des Geistes, und auf der Uebereinstimmung in den
1841	3_5	0010	93	über alle Zweifel der Auslegung erhabenen Grund
1841	3_5	0010	94	lehren. Und diese Grundlehren hat der Verfasser
1841	3_5	0010	95	S. 51 in kurzer Uebersicht auf cine Weise zusam
1841	3_5	0010	96	mengestellt, die freilich den krasseu Dogmatikern
1841	3_5	0010	97	sehr verwerflich erscheinen wird, weil sie Nichts
1841	3_5	0010	98	von allen den Erweiterungen und Zusätzen enthält,
1841	3_5	0010	99	welche die Kirche im Laufe der Zeit für nöthig er
1841	3_5	0010	100	achtet hat, die aber eben deshalb von jedem Un
1841	3_5	0011	1	7 A. L. Z. Num. 153. SEPTEMBER 1841. 8
1841	3_5	0011	2	befangenen desto höher geschätzt, und als rein bi
1841	3_5	0011	3	blisch anerkannt werden wird.
1841	3_5	0011	4	Es ergiebt sich aus dem, was wir vernommen
1841	3_5	0011	5	haben, von selbst, dass der Vf. nicht zu denen
1841	3_5	0011	6	gehört, die, wie Dorner, Strauss, und die ganze
1841	3_5	0011	7	Schule, der sie angehören, das Christenthum in
1841	3_5	0011	8	späteren Jahrhunderten objektiv fortgebildet seyn
1841	3_5	0011	9	lassen, und also die späteren Kirchendogmen für
1841	3_5	0011	10	Entwickelungen desselben zu höherer Vollendung
1841	3_5	0011	11	ausgeben. Er hält das Christenthum als historisch
1841	3_5	0011	12	gegebene göttliche Offenbarung, und das N. T. als
1841	3_5	0011	13	die historisch gegebene Urkunde derselben fest,
1841	3_5	0011	14	welche nicht etwa nur rohe Anfänge darbietet, son
1841	3_5	0011	15	dern die reinste Quelle ist, woraus Kenntniss vom
1841	3_5	0011	16	Christenthume, seiner Geschichte und Lehre ge
1841	3_5	0011	17	schöpft werden kann, und zugleich die zuverläs
1841	3_5	0011	18	sigste Regel zur Begründung des Urtheils über christ
1841	3_5	0011	19	liche Wahrheit, wie über das Verhältniss dieses oder
1841	3_5	0011	20	jenes Lehrsatzes zu derselben. S. 73. In dieser Be
1841	3_5	0011	21	ziehung ist die Schrift als eine unzertrennliche Ein
1841	3_5	0011	22	heit zu betrachten, bei der in dem, was wesentlich
1841	3_5	0011	23	christliche Wahrheit ist, kein Widerspruch eintreten
1841	3_5	0011	24	kann. S. 64. Für dieses wesentlich Christliche kann
1841	3_5	0011	25	und darf aber auch nur sie allein maassgebend seyn,
1841	3_5	0011	26	und wie überhaupt nicht von kirchlicher Tradition, so
1841	3_5	0011	27	auch nicht von symbolischen Büchern abhängig ge
1841	3_5	0011	28	macht werden. Von der Zeit der Knechtschaft, in
1841	3_5	0011	29	welcher die protestantische Kirche durch Auferlegung
1841	3_5	0011	30	dieses Joches sich selbst entwürdigte und verläug
1841	3_5	0011	31	nete, heisst es S. 75 sehr wahr: von wissenschaft
1841	3_5	0011	32	licher Schriftauslegung blieb nicht viel mehr, als ein
1841	3_5	0011	33	eitler Name übrig, da sich die Theologen der kirch
1841	3_5	0011	34	lichen Tradition, unter der Form symbolischer Bü
1841	3_5	0011	35	cher, in einem unbedingten Gehorsam unterwarfen,
1841	3_5	0011	36	welchen sie bei den Katholiken in der dem Papste und
1841	3_5	0011	37	den Koncilien dargebrachten Huldigung verdammten.
1841	3_5	0011	38	Das Princip des Protestantismus vom höchsten Anse
1841	3_5	0011	39	hen der Schrift behauptete zwar fortwährend seine
1841	3_5	0011	40	Ehrenstelle in den Systemen. Es war aber ein Figu
1841	3_5	0011	41	riren ohne Bedeutung; denn damit das Princip von der
1841	3_5	0011	42	Schrift zur Anwendung gebracht werde, und auf die
1841	3_5	0011	43	Behandlung der christlichen Lehre Einfluss gewinne,
