year	vol	page	line	content
1809	3	0002	1	II
1809	3	0002	2	3 3433 0665952O 2
1809	3	0008	1	A LL GEM E IN E
1809	3	0008	2	LITERATUR-ZEITUNG
1809	3	0008	3	V O M J A H R E
1809	3	0008	4	T 8 O 0.
1809	3	0008	5	«T
1809	3	0008	6	---
1809	3	0008	7	D R I T T E R B A N D.
1809	3	0008	8	SEPTEMBER bis D EC EM BE R.
1809	3	0008	9	H A L L E,
1809	3	0008	10	in der Expedition dieſer Zeitung,
1809	3	0008	11	un d LE I PZ I G,
1809	3	0008	12	***** König . s . c h ſ privi . zeitungs-Expedition.
1809	3	0008	13	18 o 9.
1809	3	0009	1	-
1809	3	0009	2	- -
1809	3	0009	3	-- - - - -
1809	3	0009	4	(“
1809	3	0009	5	-
1809	3	0009	6	- ---
1809	3	0009	7	-
1809	3	0009	8	- -
1809	3	0009	9	- - -
1809	3	0009	10	- - - - - - - - - - --- -
1809	3	0009	11	---
1809	3	0009	12	- - - - - -
1809	3	0009	13	- - - -
1809	3	0010	1	- - - - ----- r A
1809	3	0010	2	L - * - NJ - - - - -
1809	3	0010	3	- - * - Num.
1809	3	0010	4	- - - -
1809	3	0010	5	-
1809	3	0010	6	- - -
1809	3	0010	7	ALLGEMEINE LITERATUR-zEITUN- - - -
1809	3	0010	8	Freytags, den 1. September 1899. º
1809	3	0010	9	- - w I ss EN scH AF T LICH E wE RK E.
1809	3	0010	10	PHILOSOPHIE,
1809	3	0010	11	Ueber die innere Wahrnehmung.
1809	3	0010	12	, welcher von der Königl. Aka
1809	3	0010	13	demie d. Wiſſenſchaften zu Berlin der Preis von
1809	3	0010	14	50 Ducaten zuerkannt worden iſt, von David
1809	3	0010	15	Theodor Suabediſſen, Lehrer an der Unterrichts
1809	3	0010	16	Anſtalt der reformirten Gemeine zu Lübeck. 1898.
1809	3	0010	17	I89 S. 8. - -
1809	3	0010	18	D philoſophiſche Klaſſe der Königl. Akademie
1809	3	0010	19	der Wiſſenſchaften zu Berlin hatte für das Jahr
1809	3	0010	20	1807. folgende Preisaufgabe bekannt gemacht: Giebt
1809	3	0010	21	es eine unmittelbare innere Wahrnehmung, und worin
1809	3	0010	22	iſt dieſe von der innern Anſchauung und von der bloßen
1809	3	0010	23	Abſtraction der Regeln unſers Denkens und Empfindens
1809	3	0010	24	durch wiederkolte Beobachtung verſchieden? Worin ſind
1809	3	0010	25	die Anſchauungen von der Empfindung, und dem innern
1809	3	0010	26	Gefühle verſchieden? In welcher Beziehung ſtehen dieſe
1809	3	0010	27	Handlungen oder Lagen des Gemiths mit den Begriffen
1809	3	0010	28	und Ideen? – Unſtreitig betrifft dieſe Aufgabe Ge
1809	3	0010	29	BERLIN, b.Ä
1809	3	0010	30	Eine Abhandlun
1809	3	0010	31	genſtände, welche an ſich und in Beziehung auf ihren
1809	3	0010	32	Einfluſs auf die merkwürdigſten Erſcheinungen auf
1809	3	0010	33	dem Gebiete der Philoſophie vor vielen andern ver
1809	3	0010	34	dienten von einer Akademie der Wiſſenſchaften, wel
1809	3	0010	35	cher das Gedeihen und Fortſchreiten der Wiſſenſchaf
1809	3	0010	36	ten, wie es feyn ſoll, am Herzen liegt, dem ange
1809	3	0010	37	ſtrengten abſichtlichen und gemeinſamen Nachfor
1809	3	0010	38	ſchen vorzüglich unbefangener, keiner Partey ange
1809	3	0010	39	hörigen, Denker näher gebracht zu werden. Jedes
1809	3	0010	40	Philöſophiren, jedes wiſſenſchaftliche Denken ent
1809	3	0010	41	ſpringt ja aus dem menſchlichen Geiſte, beruht auf
1809	3	0010	42	ewiſſen Thätigkeiten deſſelben, und die Selbſter
1809	3	0010	43	enntniſs von dieſen Thätigkeiten hat daher unmittel
1809	3	0010	44	bar und mittelbar immer den gröſsten Einfluſs auf die
1809	3	0010	45	Richtung, auf den Erfolg und das Product des Phi
1809	3	0010	46	loſophirens. Aber auch von dieſem Einfluſſe abge
1809	3	0010	47	ſehr hat die Aufgabe ſchon allein in der Rückſicht ein
1809	3	0010	48	groſses Intereſſe, daſs ſie die richtigere und beſtimm
1809	3	0010	49	tere Erkenntniſs der Geiſternatur zum Zwecke hat.
1809	3	0010	50	Die vor uns liegende mit dem Preiſe gekrönte Beant
1809	3	0010	51	wortung iſt dieſer Auszeichnung werth; ſie hat die
1809	3	0010	52	Frage von allen Seiten deutlich und gründlich erör
1809	3	0010	53	tert, die Wahrnehmung, die Anſchauung, die Em
1809	3	0010	54	pfindung, das Gefühl, die Begriffe an ſich betrachtet,
1809	3	0010	55	und ihre Verhältniſſe zu einander beſtimmt, dadurch
1809	3	0010	56	einen ſchätzbaren Beytrag zur Theorie dieſer Aeuſse
1809	3	0010	57	rungen des Gemüths gegeben; manchen noch nicht
1809	3	0010	58	völlig beſtimmten und daher ſchwankenden Begriffen
1809	3	0010	59	. A. L. Z. 1809. Dritter Band.
1809	3	0010	60	einen höhern Grad von Deutlichkeit und Beſtimmt
1809	3	0010	61	heit gegeben, auch davon Anwendung auf mehrere
1809	3	0010	62	in der Philºſophie ſtreitige Gegenſtände gemacht,
1809	3	0010	63	Denn der Vf derſelben betrachtet, die Aufgabe vor,
1809	3	0010	64	züglich von derSeite, als durch ſie die Fragen: was i
1809	3	0010	65	das Urſprüngliche im menſchlichen Gemüthe, und wie
1809	3	0010	66	kann man von demſelben Kunde erhalten ? unabhän
1809	3	0010	67	# von irgend einer beſtimmten Schulphiloſophie der
1809	3	0010	68	ntſcheidung nähergebracht, und vermittelſt derſel5
1809	3	0010	69	ben, die vorhandene Entzweyung in den Principien de
1809	3	0010	70	Philoſophirens aufgehoben werden kann. Sóllte ſich
1809	3	0010	71	auch der Vf, in dem letzten geirrt, und dieſe Ent
1809	3	0010	72	Ä noch von andern Ünterſuchungen abhan
1809	3	0010	73	Ä ſo hat doch die Erörterung der Frage ſelbſt viel
1809	3	0010	74	influſs darauf, und unabhängig davon einen Werth
1809	3	0010	75	an ſich. Mit Unparteylichkeit, unbefangen, ohne
1809	3	0010	76	ſchon vor der Unterſuchung von irgend einer philo
1809	3	0010	77	ſophiſchen Schule eingenommen zu# , hat der Vf
1809	3	0010	78	ſich bemüht, nur allein in der aufmerkſamen Reſe.
1809	3	0010	79	xion auf das menſchliche Gemüth und die Sprache, in
1809	3	0010	80	der genauen Erörterung des Bewuſstſeyns die Data
1809	3	0010	81	zur Beantwortung der Frage, und daher in der Ein
1809	3	0010	82	leitung die Vorurtheile gegen die Reflexion, gegen
1809	3	0010	83	die Anthropologie, die ſeit einiger Zeit ſich verbrei
1809	3	0010	84	tet haben, zu entkräften geſucht. Indeſſen iſt er doch
1809	3	0010	85	nicht ganz frey von aller Anſteckung des Zeitgeiſtes
1809	3	0010	86	Ä und hat bey allem redlichen Eifer für Wahr
1809	3	0010	87	eit doch durch Anſchmiegung an die Terminologie
1809	3	0010	88	der neueſten Philoſophie auch zugleich manche ihrer
1809	3	0010	89	Anſichten undvermeintenEntdeckungen angenommen,
1809	3	0010	90	die ſelbſt noch einer wiſſenſchaftlichen jej *.
1809	3	0010	91	bedürfen. Auch dringt die Unterſuchung nicht alle
1809	3	0010	92	zeit tief genug ein, und verläſst den vorgezeichneten
1809	3	0010	93	richtigen Weg der Erörterung. Doch dieſe Fehler
1809	3	0010	94	werden durch eine Menge von richtigen, feinen und
1809	3	0010	95	treffenden Beſtimmungen der Begriffe, ihrer Ver
1809	3	0010	96	wandtſchaft und Verſchiedenheit, durch viele neue,
1809	3	0010	97	Anſichten und Aufklärungen über die Natur der Aeu
1809	3	0010	98	ſserungen des Gemüths, und viele neue Prob eme zu.
1809	3	0010	99	weiterem Forſchen reichlich aufgewogen. Die Ab
1809	3	0010	100	handlung zerfällt in drey Abſchnitte, die in der Auf
1809	3	0010	101	gabe ſelbſt beſtimmt ſind. Die innere Wahrnehmung,
1809	3	0010	102	ihre Vergleichung mit der Anſchauung und der A5
1809	3	0010	103	ſtraction der Regeln des Denkens und Empfindens
1809	3	0010	104	macht den Inhalt de erſten aus; in dem zweyten wird
1809	3	0010	105	die Natur der Empfindungen und Gefühle, und ihr
1809	3	0010	106	Verhältniſs zu der Wahrnehmung und Anſchauung
1809	3	0010	107	und endlich in dem dritten das Verhältniſs allerdij
1809	3	0010	108	ſer erörterten Gemüthsäuſserungen zu den Begriffen
1809	3	0010	109	und
1809	3	0011	1	3 ALLG. LITERATUR - ZEITUNG 4
1809	3	0011	2	und Ideen unterſucht. Das Ganze beſchlieſsen einige
1809	3	0011	3	Bemerkungen zur Ueberſicht und Erläuterung.
1809	3	0011	4	Es t äußere und innere Wahrnehmung. Der
1809	3	0011	5	vf. umfaſst beide nach ihrem Eigenthümlichen und
1809	3	0011	6	emeinſamen Merkmalen, um dadurch das Weſen der
1809	3	0011	7	ahrnehmung überhaupt, und dann insbeſondere der
1809	3	0011	8	innern richtiger zu beſtimmen. Aeußere Wahrnehmun
1809	3	0011	9	gen ſind die Uranfänge der äuſsern Erfahrung, die
1809	3	0011	10	erſten aufÄ gerichteten Aeuſserungen des
1809	3	0011	11	Gemüths, in welchen wir etwas auffaſſen, ohne Be
1809	3	0011	12	ſtimmung, ohne Begriff und Urtheil. Sie unterſchei
1809	3	0011	13	den ſich daher von der Erfahrung und Erkenntniſs
1809	3	0011	14	als ein Unbeſtimmtes von dem Beſtimmten: es wird
1809	3	0011	15	in ihnen auch nicht eigentlich vorgeſtellt, wenn Vor
1809	3	0011	16	ftellen bedeutet, daſs ſich das Gemüth einen Gegen
1809	3	0011	17	ftand vorhalte. Dagegen iſt die äuſsere Wahrneh
1809	3	0011	18	mung der Anfang, der wahre Inhalt und das Reelle
1809	3	0011	19	der äuſseren Erfahrungs- Erkenntniſs, und es iſt da
1809	3	0011	20	her in ihr Thun und Leiden, das Subjective und Ob
1809	3	0011	21	jective noch innig verſchmolzen. An ſich, als bloſse
1809	3	0011	22	Gemüthslage betrachtet, iſt äuſsere und innere Wahr
1809	3	0011	23	nehmung nicht von einander verſchieden; aber ihre
1809	3	0011	24	Beziehung iſt verſchieden, indem fie, vermöge des
1809	3	0011	25	urſprünglichen Gegenſatzes zwiſchen dem Objectiven
1809	3	0011	26	und Subjectiven, nicht durch einen Schluſs, ſondern
1809	3	0011	27	unmittelbar entweder auf ein dem Subjecte, als dem
1809	3	0011	28	Innern, überhaupt Entgegenſtehendes, ein Aeuſseres,
1809	3	0011	29	dder auf ein im Subjecte ſelbſt Befindliches, alſo In
1809	3	0011	30	neres bezogen wird. Die innern Wahrnehmungen be
1809	3	0011	31	gleiten unmittelbar die Reihe der innern. Veränderun
1809	3	0011	32	en eines beſeelten Weſens, d. h. diejenigen Verän
1809	3	0011	33	Ä, die in ſeinem Daſeyn, ſofern es als für
1809	3	0011	34	fich beſtehend betrachtet wird, vorgehen; die äuſse
1809	3	0011	35	ren begleiten unmittelbar die äuſseren Veränderungen
1809	3	0011	36	des Daſeyns eines beſeelten Weſens, d. h. diejenigen
1809	3	0011	37	Veränderungen, die in ſeinem Daſeyn vorgehen, ſo
1809	3	0011	38	fern es als nur in und mit dem Daſeyn Anderer be
1809	3	0011	39	ftehend angenommen wird. Die inneren und die äu
