year	vol	page	line	content
1839	5	0002	1	B 1 589,
1839	5	0002	2	•c
1839	5	0002	3	r
1839	5	0002	4	：
1839	5	0002	5	C
1839	5	0002	6	）
1839	5	0003	1	-
1839	5	0003	2	oFTHE
1839	5	0004	1	), A. - E
1839	5	0004	2	. AH3
1839	5	0005	1	«-
1839	5	0006	1	AL LG EMI EINE
1839	5	0006	2	LITERATUR - ZEITUNG
1839	5	0006	3	W O M J A HI R E
1839	5	0006	4	1 8 33 9.
1839	5	0006	5	FÜNF T ER BA N D.
1839	5	0006	6	D I E I N T E L L I G E N Z B L Ä T T E R.
1839	5	0006	7	d i e s es J a hr g a n gs
1839	5	0006	8	ent h a 1 t e n d.
1839	5	0006	9	H A L L E,
1839	5	0006	10	in der Expedition dieser Zeit ung
1839	5	0006	11	bei C. A. Schwetschke und Sohn,
1839	5	0006	12	un d LE I P Z I G,
1839	5	0006	13	in der König 1. Sä c h s. privil. Zeit u n gs – Expedition.
1839	5	0006	14	- 1 8 39,
1839	5	0008	1	Z) - - - -
1839	5	0008	2	1 se-ex
1839	5	0008	3	/3 ---
1839	5	0008	4	/- 0 e
1839	5	0008	5	– I –
1839	5	0008	6	IN T E L L I G E N Z B L A TT
1839	5	0008	7	DER
1839	5	0008	8	A L LG EM E IN EN L IT ERATUR - ZEITUNG
1839	5	0008	9	Januar 1839.
1839	5	0008	10	L 1 T E R A R 1 s C H E
1839	5	0008	11	Nekrolog.
1839	5	0008	12	Durch den in der Nacht vom 20sten bis 21sten April
1839	5	0008	13	v. J. erfolgten Tod des Consistorialraths und Protes
1839	5	0008	14	sors der Theologie Ant on Theodor Hartmann
1839	5	0008	15	verlor die theologische Wissenschaft einen freisinni
1839	5	0008	16	gen und hätigen Forscher, die Universität Rostock
1839	5	0008	17	einen ihrer berühmtesten Lehrer und der Unterzeich
1839	5	0008	18	nete einen bewährten Freund und theuern Collegen.
1839	5	0008	19	Er war der Sohn eines Kaufmanns in Düsseldorf, wo
1839	5	0008	20	er am 25sten Junius 1774 geboren wurde. Vorgebil
1839	5	0008	21	det auf den Gymnasien in Osnabrück und Dortmund
1839	5	0008	22	bezog er 1793 die Universität Göttingen, um Theolo
1839	5	0008	23	gie zu studiren. Hier hatte Eichhorn den grössten Ein
1839	5	0008	24	fluss auf seine Richtung und Bildung, dessen Achtung
1839	5	0008	25	und Gunst er schon damals in hohem Grade besass,
1839	5	0008	26	wie ein dem Unterschriebenen vorliegendes, denn sel.
1839	5	0008	27	Hartmann bei seinem Abgange von der Universität
1839	5	0008	28	unter dem 21. Sept. 1796 ausgestelltes, Zeugniss Eich
1839	5	0008	29	horn's beweiset. Immer blieb späterhin H. mit Eich
1839	5	0008	30	horn in Verbindung und erhielt von ihm viele Beweise
1839	5	0008	31	des Wohlwollens und der Freundschaft. Im J. 1797
1839	5	0008	32	wurde H. Conrector in Soest, 1799 Prorector an
1839	5	0008	33	Friedrichsgymnasium in Herford und 1804 Collabora
1839	5	0008	34	tor und dritter Lehrer an dem Gymnasium in Olden
1839	5	0008	35	burg, wo er auch mit seiner nachgelassenen Wittwe,
1839	5	0008	36	geb. Johanna Clausen, die eheliche Verbindung schloss,
1839	5	0008	37	welche er, wie er dem Unterschriebenen oft sagte,
1839	5	0008	38	für das grösste Glück seines Lebens hielt. Aber alle
1839	5	0008	39	diese Aemter konnten unsern Hartmann nicht befrie
1839	5	0008	40	digen. Denn seit seiner Universitätszeit wünschte er
1839	5	0008	41	einer Universität im Fache der biblischen und orienta
1839	5	0008	42	lischen Literatur alle seine Kräfte zu widmen und
1839	5	0008	43	so an einen Ort versetzt zu werden, welcher denn
1839	5	0008	44	Forscher viele literärische Hülfsmittel darböte. Allein
1839	5	0008	45	erst im J. 1811, wo er auf Eichhorn's Empfehlung unter
1839	5	0008	46	dem 29sten Mai zum Herzoglichen ordentlichen Pro
1839	5	0008	47	fessor der Theologie in Rostock an Ziegler's Stelle be
1839	5	0008	48	rufen wurde, ging sein Wunsch in Erfüllung. Im J.
1839	5	0008	49	1813 erwarb er sich hier die theologische Doctorwürde,
