year	vol	page	line	content
1828	2	0002	1	B 1589.927
1828	2	0003	1	IIIIIIII
1828	2	0003	2	U
1828	2	0003	3	NNERSTÄGGY
1828	2	0003	4	Ä
1828	2	0003	5	1
1828	2	0004	1	Z
1828	2	0004	2	Q.
1828	2	0004	3	. AH2
1828	2	0005	1	…
1828	2	0005	2	：
1828	2	0005	3	-
1828	2	0005	4	）
1828	2	0005	5	-
1828	2	0005	6	-
1828	2	0005	7	-
1828	2	0005	8	-
1828	2	0005	9	-
1828	2	0005	10	-
1828	2	0005	11	-
1828	2	0005	12	-
1828	2	0005	13	）
1828	2	0005	14	，
1828	2	0005	15	±
1828	2	0005	16	−
1828	2	0005	17	−
1828	2	0006	1	A L L GE M E I N E
1828	2	0006	2	LITERATUR-ZEITUNG
1828	2	0006	3	V O M J A H R E
1828	2	0006	4	1 8 28.
1828	2	0006	5	zw E Y T E R B AN D.
1828	2	0006	6	M A Y b i 8 A U G U S T.
1828	2	0006	7	HA L L E,
1828	2	0006	8	in der Expedition dieſer Zeitung
1828	2	0006	9	bey C. A. Schwetſchke und Sohn,
1828	2	0006	10	und L E I PZ I G,
1828	2	0006	11	in der König 1. Säch f. privil. Zeitung s • Expedition.
1828	2	0006	12	4 K 9 R
1828	2	0007	1	-
1828	2	0007	2	-
1828	2	0007	3	-
1828	2	0007	4	-
1828	2	0007	5	-
1828	2	0007	6	-
1828	2	0007	7	-
1828	2	0007	8	-
1828	2	0007	9	-
1828	2	0007	10	-
1828	2	0007	11	-
1828	2	0007	12	-
1828	2	0007	13	-
1828	2	0007	14	-
1828	2	0007	15	-
1828	2	0007	16	-
1828	2	0007	17	-
1828	2	0007	18	-
1828	2	0007	19	-
1828	2	0007	20	-
1828	2	0007	21	*
1828	2	0007	22	…
1828	2	0007	23	！
1828	2	0007	24	！
1828	2	0007	25	！
1828	2	0007	26	-
1828	2	0007	27	-
1828	2	0007	28	-
1828	2	0007	29	-
1828	2	0007	30	-
1828	2	0007	31	-
1828	2	0007	32	-
1828	2	0007	33	-
1828	2	0007	34	-
1828	2	0007	35	·
1828	2	0007	36	º
1828	2	0007	37	,
1828	2	0007	38	·
1828	2	0007	39	·
1828	2	0007	40	}
1828	2	0007	41	*
1828	2	0007	42	*
1828	2	0007	43	！
1828	2	0007	44	-
1828	2	0007	45	-
1828	2	0007	46	-
1828	2	0007	47	-
1828	2	0007	48	！
1828	2	0007	49	！
1828	2	0007	50	→
1828	2	0007	51	·
1828	2	0007	52	|
1828	2	0007	53	-
1828	2	0007	54	-
1828	2	0007	55	-
1828	2	0007	56	-
1828	2	0007	57	-
1828	2	0007	58	-
1828	2	0007	59	-
1828	2	0007	60	*
1828	2	0007	61	·
1828	2	0007	62	|
1828	2	0007	63	-
1828	2	0007	64	a
1828	2	0007	65	e
1828	2	0007	66	·
1828	2	0007	67	*
1828	2	0007	68	-
1828	2	0007	69	·
1828	2	0007	70	*
1828	2	0007	71	·
1828	2	0007	72	+
1828	2	0007	73	'
1828	2	0007	74	·
1828	2	0007	75	*
1828	2	0007	76	+
1828	2	0007	77	|
1828	2	0007	78	-
1828	2	0007	79	a
1828	2	0007	80	e
1828	2	0007	81	}
1828	2	0007	82	·
1828	2	0007	83	*
1828	2	0007	84	：
1828	2	0007	85	|
1828	2	0007	86	-
1828	2	0007	87	~
1828	2	0007	88	~
1828	2	0007	89	~
1828	2	0007	90	~
1828	2	0007	91	·
1828	2	0007	92	*
1828	2	0007	93	.
1828	2	0007	94	…
1828	2	0007	95	~
1828	2	0007	96	）
1828	2	0007	97	;
1828	2	0007	98	·
1828	2	0007	99	|
1828	2	0007	100	-
1828	2	0007	101	·
1828	2	0007	102	,
1828	2	0007	103	'
1828	2	0007	104	,
1828	2	0007	105	,
1828	2	0007	106	，
1828	2	0007	107	•
1828	2	0007	108	•
1828	2	0007	109	-
1828	2	0007	110	-
1828	2	0007	111	-
1828	2	0007	112	-
1828	2	0007	113	*
1828	2	0007	114	*
1828	2	0007	115	-
1828	2	0007	116	-
1828	2	0007	117	|
1828	2	0007	118	-
1828	2	0007	119	·
1828	2	0007	120	·
1828	2	0007	121	·
1828	2	0007	122	·
1828	2	0007	123	·
1828	2	0007	124	|
1828	2	0007	125	-
1828	2	0007	126	，
1828	2	0007	127	…
1828	2	0007	128	-
1828	2	0007	129	-
1828	2	0007	130	·
1828	2	0007	131	·
1828	2	0007	132	-
1828	2	0007	133	-
1828	2	0007	134	-
1828	2	0007	135	-
1828	2	0007	136	-
1828	2	0007	137	~
1828	2	0007	138	~
1828	2	0007	139	~
1828	2	0007	140	!
1828	2	0007	141	:
1828	2	0007	142	|
1828	2	0007	143	-
1828	2	0007	144	·
1828	2	0007	145	|
1828	2	0007	146	-
1828	2	0007	147	,
1828	2	0007	148	-
1828	2	0007	149	-
1828	2	0007	150	*
1828	2	0007	151	-
1828	2	0007	152	*
1828	2	0007	153	（
1828	2	0007	154	-
1828	2	0007	155	）
1828	2	0007	156	a
1828	2	0007	157	e
1828	2	0007	158	*
1828	2	0007	159	•
1828	2	0007	160	•
1828	2	0007	161	•
1828	2	0007	162	•
1828	2	0007	163	-
1828	2	0007	164	-
1828	2	0007	165	-
1828	2	0007	166	-
1828	2	0007	167	·
1828	2	0007	168	！
1828	2	0007	169	|
1828	2	0007	170	-
1828	2	0007	171	|
1828	2	0007	172	-
1828	2	0007	173	·
1828	2	0007	174	·
1828	2	0007	175	*
1828	2	0007	176	*
1828	2	0007	177	*
1828	2	0007	178	,
1828	2	0007	179	！
1828	2	0007	180	-
1828	2	0007	181	-
1828	2	0007	182	-
1828	2	0007	183	-
1828	2	0007	184	-
1828	2	0007	185	，
1828	2	0007	186	，
1828	2	0007	187	.
1828	2	0007	188	-
1828	2	0007	189	·
1828	2	0007	190	|
1828	2	0007	191	-
1828	2	0007	192	|
1828	2	0007	193	-
1828	2	0007	194	·
1828	2	0007	195	-
1828	2	0007	196	*
1828	2	0007	197	|
1828	2	0007	198	-
1828	2	0007	199	|
1828	2	0007	200	-
1828	2	0007	201	|
1828	2	0007	202	-
1828	2	0007	203	|
1828	2	0007	204	-
1828	2	0007	205	|
1828	2	0007	206	-
1828	2	0007	207	！
1828	2	0007	208	•
1828	2	0007	209	•
1828	2	0007	210	•
1828	2	0007	211	:
1828	2	0007	212	*
1828	2	0007	213	·
1828	2	0007	214	*
1828	2	0007	215	·
1828	2	0007	216	·
1828	2	0007	217	·
1828	2	0007	218	|
1828	2	0007	219	-
1828	2	0007	220	·
1828	2	0007	221	-
1828	2	0007	222	-
1828	2	0007	223	-
1828	2	0007	224	-
1828	2	0007	225	:
1828	2	0007	226	|
1828	2	0007	227	-
1828	2	0007	228	-
1828	2	0007	229	-
1828	2	0007	230	-
1828	2	0007	231	-
1828	2	0007	232	-
1828	2	0007	233	|
1828	2	0007	234	-
1828	2	0007	235	|
1828	2	0007	236	-
1828	2	0007	237	-
1828	2	0007	238	-
1828	2	0007	239	-
1828	2	0007	240	-
1828	2	0007	241	·
1828	2	0007	242	…
1828	2	0007	243	·
1828	2	0007	244	·
1828	2	0007	245	·
1828	2	0007	246	·
1828	2	0007	247	-
1828	2	0007	248	·
1828	2	0007	249	|
1828	2	0007	250	-
1828	2	0007	251	-
1828	2	0007	252	-
1828	2	0007	253	-
1828	2	0007	254	|
1828	2	0007	255	-
1828	2	0007	256	·
1828	2	0007	257	|
1828	2	0007	258	-
1828	2	0007	259	·
1828	2	0007	260	·
1828	2	0007	261	*
1828	2	0007	262	~
1828	2	0007	263	~
1828	2	0007	264	~
1828	2	0007	265	|
1828	2	0007	266	-
1828	2	0007	267	*
1828	2	0007	268	·
1828	2	0007	269	·
1828	2	0007	270	•
1828	2	0007	271	-
1828	2	0007	272	-
1828	2	0007	273	-
1828	2	0007	274	-
1828	2	0007	275	*
1828	2	0007	276	-
1828	2	0007	277	-
1828	2	0007	278	-
1828	2	0007	279	-
1828	2	0007	280	|
1828	2	0007	281	-
1828	2	0007	282	'
1828	2	0007	283	+
1828	2	0007	284	（
1828	2	0007	285	~
1828	2	0007	286	·
1828	2	0007	287	-
1828	2	0007	288	-
1828	2	0007	289	-
1828	2	0007	290	-
1828	2	0007	291	·
1828	2	0007	292	|
1828	2	0007	293	-
1828	2	0007	294	:
1828	2	0007	295	-
1828	2	0007	296	-
1828	2	0007	297	-
1828	2	0007	298	-
1828	2	0007	299	-
1828	2	0007	300	·
1828	2	0007	301	*
1828	2	0008	1	-
1828	2	0008	2	-
1828	2	0008	3	-
1828	2	0008	4	C --
1828	2	0008	5	1 /. - - - -
1828	2	0008	6	-
1828	2	0008	7	» -
1828	2	0008	8	-– 107 »---- 2
1828	2	0008	9	A LL GE MEINE LITE RAT UR - z E IT U N G
1828	2	0008	10	T T
1828	2	0008	11	May 1828.
1828	2	0008	12	RELIGIONS GESCHICHT E.
1828	2	0008	13	LEIrzro, b. Brockhaus: Ueber religiöſe Bildung,
1828	2	0008	14	Mythologie und Philoſophie der Hindus, mit
1828	2	0008	15	Rückſicht auf ihre älteſte Geſchichte. Von Dr.
1828	2	0008	16	J. G. Rhode. 1827. Erſter Band. XVI. u.458 S.
1828	2	0008	17	mit 32 Steindrucktafeln; zweyter Band. 655 S.
1828	2	0008	18	mit einer Tafel. 8. (6 Rthlr. 8 gGr.)
1828	2	0008	19	Der verſtorbene Rhode, deſſen letztes Werk wir
1828	2	0008	20	hier der Beurtheilung unterwerfen, hat ſich durch
1828	2	0008	21	mehrere antiquariſche Schriften über Aſien bekannt
1828	2	0008	22	gemacht, die durch ruhige Klarheit, durch Fleiſs
1828	2	0008	23	und warme Liebe zum Gegenſtande ſich vortheil
1828	2	0008	24	haft auszeichnen und gewiſs mehr Anerkennung
1828	2	0008	25	und Eingang gefunden hätten, wenn nicht vorge
1828	2	0008	26	faſste Mieinüñgen ſie trübten und Hypotheſen in
1828	2	0008	27	denſelben verfochten würden, die vor einer gründ–
1828	2	0008	28	lichen Kritik als unhaltbar befunden werden. Ge
1828	2	0008	29	wöhnlich fallen zwar, wie ſich bemerken läſst, dieſe
1828	2	0008	30	Ä Vorausſetzungen nicht ihm, ſondern
1828	2	0008	31	ndern zur Laſt: früher verleitete ihn Dupuis ein
1828	2	0008	32	ſechszehntauſendjähriges Alter des Thierkreiſes zu
1828	2	0008	33	lauben; Bailly hat nicht geringen Antheil an dem
1828	2	0008	34	Äie welches in des Vfs. beſter Schrift: über
