year	vol	page	line	content
1830	1	0003	1	#Tºººººº #
1830	1	0003	2	EEL. D E- ÄLTE
1830	1	0003	3	ÄÄ
1830	1	0003	4	-
1830	1	0003	5	WUTUTUI
1830	1	0003	6	of THE HLIBRARY
1830	1	0003	7	SITYOFMICIe EH
1830	1	0003	8	Ä ÄN
1830	1	0003	9	NFE
1830	1	0003	10	-
1830	1	0003	11	-
1830	1	0005	1	_
1830	1	0005	2	）
1830	1	0005	3	~
1830	1	0005	4	~
1830	1	0005	5	~
1830	1	0005	6	~
1830	1	0005	7	~
1830	1	0005	8	~
1830	1	0005	9	~
1830	1	0005	10	a
1830	1	0005	11	e
1830	1	0005	12	—
1830	1	0005	13	！
1830	1	0006	1	A L L GE M E I N E
1830	1	0006	2	LITERATUR-ZEITUNG
1830	1	0006	3	V O M J A H P E
1830	1	0006	4	1 8 3 0.
1830	1	0006	5	-
1830	1	0006	6	E R ST ER B A N D.
1830	1	0006	7	J. A N U A R bis A P PR I L.
1830	1	0006	8	/ODE. -
1830	1	0006	9	ATHTTR.Sai.
1830	1	0006	10	iBLIOTHEK
1830	1	0006	11	«-
1830	1	0006	12	--
1830	1	0006	13	H A L L E,
1830	1	0006	14	in der Expedition dieser Zeitung
1830	1	0006	15	bey C. A. Schwetschke und Sohn,
1830	1	0006	16	un d LE I PZ I G,
1830	1	0006	17	in der König 1. Sächs. privi I. Zeitung s – Expedition.
1830	1	0006	18	1 8 3 0.
1830	1	0007	1	~
1830	1	0007	2	~
1830	1	0007	3	·
1830	1	0007	4	-
1830	1	0007	5	-
1830	1	0007	6	-
1830	1	0007	7	-
1830	1	0007	8	-
1830	1	0007	9	-
1830	1	0007	10	-
