year	vol	page	line	content
1832	3	0002	1	3 1 589
1832	3	0002	2	|
1832	3	0002	3	-
1832	3	0002	4	-
1832	3	0002	5	-
1832	3	0002	6	-
1832	3	0002	7	-
1832	3	0002	8	c
1832	3	0002	9	a
1832	3	0002	10	e
1832	3	0003	1	THIE
1832	3	0004	1	* - - - -
1832	3	0004	2	. A 12
1832	3	0005	1	.
1832	3	0005	2	.
1832	3	0005	3	.
1832	3	0005	4	.
1832	3	0005	5	…
1832	3	0005	6	-
1832	3	0005	7	-
1832	3	0005	8	~
1832	3	0005	9	~
1832	3	0005	10	~
1832	3	0005	11	<
1832	3	0005	12	-
1832	3	0005	13	-
1832	3	0005	14	~
1832	3	0005	15	~
1832	3	0005	16	-
1832	3	0005	17	-
1832	3	0005	18	~
1832	3	0005	19	~
1832	3	0005	20	~
1832	3	0005	21	~
1832	3	0005	22	）
1832	3	0005	23	;
1832	3	0006	1	LITERATUR-ZEITUNG
1832	3	0006	2	V O M JA H PR E
1832	3	0006	3	1 8 3 2.
1832	3	0006	4	D R I T T ER B A N D.
1832	3	0006	5	SE PT E M BE R bis D EC E M BE P.
1832	3	0006	6	H A L L E,
1832	3	0006	7	in der Expedition dieser Zeit ung
1832	3	0006	8	bey C. A. Schwetschke und Sohn,
1832	3	0006	9	- un d LE I PZ I G,
1832	3	0006	10	in der König 1. Sä c h s. privil. Zeitung s – Expedition.
1832	3	0006	11	1 8 3 2.
1832	3	0007	1	=
1832	3	0007	2	-
1832	3	0007	3	~
1832	3	0007	4	~
1832	3	0007	5	~
1832	3	0007	6	~
1832	3	0007	7	=
1832	3	0007	8	=
1832	3	0007	9	=
1832	3	0007	10	-
1832	3	0007	11	-
1832	3	0007	12	~
1832	3	0007	13	）
1832	3	0007	14	_
1832	3	0007	15	_
1832	3	0007	16	_
1832	3	0007	17	_
1832	3	0007	18	_
1832	3	0007	19	-
1832	3	0007	20	-
1832	3	0007	21	-
1832	3	0007	22	-
1832	3	0007	23	-
1832	3	0007	24	-
1832	3	0007	25	-
1832	3	0007	26	-
1832	3	0007	27	-
1832	3	0007	28	-
1832	3	0007	29	-
1832	3	0007	30	-
1832	3	0007	31	-
1832	3	0007	32	-
1832	3	0007	33	-
1832	3	0007	34	-
1832	3	0007	35	-
1832	3	0007	36	-
1832	3	0007	37	-
1832	3	0007	38	-
1832	3	0007	39	-
1832	3	0007	40	-
1832	3	0007	41	-
1832	3	0007	42	-
1832	3	0007	43	-
1832	3	0007	44	-
1832	3	0007	45	*
1832	3	0007	46	*
1832	3	0007	47	*
1832	3	0007	48	-
1832	3	0007	49	-
1832	3	0007	50	-
1832	3	0007	51	-
1832	3	0007	52	-
1832	3	0007	53	-
1832	3	0007	54	-
1832	3	0007	55	-
1832	3	0007	56	-
1832	3	0007	57	-
1832	3	0007	58	-
1832	3	0007	59	-
1832	3	0007	60	-
1832	3	0007	61	_
1832	3	0007	62	_
1832	3	0007	63	_
1832	3	0007	64	_
1832	3	0007	65	_
1832	3	0007	66	_
1832	3	0007	67	.
1832	3	0008	1	- 4
1832	3	0008	2	DL - - - -
1832	3	0008	3	1 S - -
1832	3	0008	4	– 5-4 "
1832	3	0008	5	% / 2
1832	3	0008	6	--- 161 *-- - 2
1832	3	0008	7	A LL GEM E IN E LI T ER A TUR - ZEITUNG
1832	3	0008	8	September 1832.
1832	3	0008	9	ORIENT AL 1 SCHE LITERATU R.
1832	3	0008	10	HALLE, b. Schwetschke u. Sohn: Georgii Wilhelmi
1832	3	0008	11	Freytagii Lexicon arabicola t i n um prae
1832	3	0008	12	sertim ex Djeuharii Firuzabadiique et aliorum
1832	3	0008	13	Arabum operibus adhibitis Golii quoque et alio
1832	3	0008	14	rum libris confectum. Tomusprimus. 1830. XVI
1832	3	0008	15	u.544 S. Enthaltend ſ–Z Tomi secundi sectio
1832	3	0008	16	prior. 1832. 368 S. Enthaltend -P–
1832	3	0008	17	Ä auf Schreibpap. 20 Rthlr. Ausg
1832	3	0008	18	FÄ - Schreibpap. mit breitem Rande 40Rthlr.
1832	3	0008	19	rachtausg: auf Imperial-Velinpap. mit breitem
1832	3	0008	20	Rande 80 Rthlr.)
1832	3	0008	21	4 maj.
1832	3	0008	22	. auf Im
1832	3	0008	23	Neht konnte für das Studium der arabischen Li
1832	3	0008	24	teratur jetzt dringenderes Bedürfniſs seyn, als die
1832	3	0008	25	Ausarbeitung eines neuen Lexicons, da seit Golius
