year	vol	page	line	content
1842	4	0002	1	l
1842	4	0002	2	a
1842	4	0002	3	e
1842	4	0002	4	，
1842	4	0002	5	-|
1842	4	0002	6	-
1842	4	0002	7	©©E
1842	4	0002	8	n
1842	4	0002	9	.
1842	4	0002	10	|
1842	4	0002	11	-
1842	4	0002	12	-
1842	4	0002	13	-
1842	4	0002	14	-
1842	4	0002	15	-
1842	4	0002	16	-
1842	4	0003	1	ED
1842	4	0003	2	ºWº THE WATTWE
1842	4	0003	3	DIU T- F
1842	4	0003	4	FÄF) F
1842	4	0003	5	IBRÄFEDEDYoFTHE
1842	4	0003	6	A-Dr ...
1842	4	0003	7	-----
1842	4	0003	8	-
1842	4	0003	9	IIIIIIE STIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
1842	4	0004	1	22.25
1842	4	0004	2	A 2
1842	4	0005	1	r
1842	4	0006	1	ALLGEMEINE
1842	4	0006	2	LITERATUR - ZEITUNG
1842	4	0006	3	84 2.
1842	4	0006	4	W I E R T ER BA N D.
1842	4	0006	5	D I E E R GÄ N ZU N GS B L Ä T T E R
1842	4	0006	6	die s es Jahr g a ng s
1842	4	0006	7	ent halten d.
1842	4	0006	8	H A L L E,
1842	4	0006	9	in der Expedition dieser Zeit ung
1842	4	0006	10	bei C. A. Schwetschke und Sohn,
1842	4	0006	11	un d LE I PZ I G,
1842	4	0006	12	in der König l. Sächs. privil. Zeitung s – Expe d i t i on.
1842	4	0006	13	1 842.
1842	4	0007	1	•
1842	4	0007	2	•
1842	4	0007	3	•
1842	4	0007	4	•
1842	4	0007	5	•
1842	4	0007	6	•
1842	4	0007	7	•
1842	4	0007	8	•
1842	4	0007	9	•
1842	4	0007	10	•
1842	4	0007	11	*
1842	4	0007	12	a
1842	4	0007	13	*
1842	4	0007	14	•
1842	4	0007	15	•
1842	4	0007	16	•
1842	4	0007	17	•
1842	4	0007	18	•
1842	4	0007	19	•
1842	4	0007	20	-
1842	4	0007	21	•
1842	4	0007	22	•
1842	4	0007	23	•
1842	4	0007	24	•
1842	4	0007	25	•
1842	4	0007	26	•
