year	vol	page	line	content
1837	4	0002	1	，|
1837	4	0002	2	-
1837	4	0002	3	∞C
1837	4	0002	4	）
1837	4	0002	5	C
1837	4	0002	6	：
1837	4	0002	7	L
1837	4	0002	8	a
1837	4	0002	9	e
1837	4	0002	10	|
1837	4	0002	11	-
1837	4	0002	12	.
1837	4	0002	13	…
1837	4	0002	14	…
1837	4	0003	1	Ä - W##
1837	4	0003	2	IBRÄFEDEYoFTHE
1837	4	0003	3	IVERSITY OFMICH:
1837	4	0003	4	Ä GAN
1837	4	0003	5	-
1837	4	0003	6	ſº TIIIIIIIIIIIIIIIIII
1837	4	0004	1	Ä-ANS
1837	4	0004	2	. A - 2.
1837	4	0006	1	ALLGEMEINE
1837	4	0006	2	LITERATUR - ZEITUNG
1837	4	0006	3	v. o M JAH R E
1837	4	0006	4	1 8 337.
1837	4	0006	5	V I E R T E R B A ND.
1837	4	0006	6	D I E E R GÄN z U N GS BL Ä T T ER
1837	4	0006	7	die s es Jahr g an gs
1837	4	0006	8	ent halten d.
1837	4	0006	9	H A L L E,
1837	4	0006	10	in der Expedition dieser Zeit ung
1837	4	0006	11	bei C. A. Schwetschke und Sohn,
1837	4	0006	12	un d LE I PZ I G,
1837	4	0006	13	in der König . Sä eh s. privi . Zeitung s – Expedition.
1837	4	0006	14	1 8 37.
1837	4	0008	1	- -- L: 1 C - - 2I . – I –
1837	4	0008	2	4) -- - - - - -
1837	4	0008	3	os E R GÄ N ZU N GS BL AT T E R
1837	4	0008	4	Z U R.
1837	4	0008	5	ALLGEM EIN EN LITERATUR-ZEITUNG
1837	4	0008	6	Januar 1837.
1837	4	0008	7	-
1837	4	0008	8	THEOLOGIE.
1837	4	0008	9	CöLN, b. Dumont-Schauberg: De Arcani Disci
1837	4	0008	10	plina, quae antiqua in ecclesia fuit in usu... Dis
1837	4	0008	11	sertatio historico – theologica. Scripsit Joh.
1837	4	0008	12	Andr. Toklot, SS. Theol. Doctor atque Coloniae
1837	4	0008	13	Agrippinaead Divae Virginis Assümtae Paro
1837	4	0008	14	chus. " 1836. VI u. 223 S. (16 gGr.)
1837	4	0008	15	E. ist hekannt, daſs die Frage über die sogenann
1837	4	0008	16	te disciplina arcani immer einen vorzüglichen Contro
1837	4	0008	17	vers – Punkt zwischen der katholischen und prote
1837	4	0008	18	stantischen Kirche abgegeben hat. Denn wo die er
1837	4	0008	19	stere in den Fall kam, ihr Dogma, insofern sich
1837	4	0008	20	dessen Geltung nicht durch ausdrückliche Zeugnisse
1837	4	0008	21	der ältesten Kirche beweisen lieſs, doch als aposto
1837	4	0008	22	lisch und durch ununterbrochene Tradition überlie
1837	4	0008	23	fert vertheidigen zu müssen, da muſste es ihr äu
1837	4	0008	24	ſserst willkommen seyn, durch Berufung auf jenes
1837	4	0008	25	Institut der Arcan - Disciplin die Behauptung stü
1837	4	0008	26	tzen zu können, daſs diejenigen katholischen Lehren
1837	4	0008	27	und Gebräuche, die eines "Ä Ursprungs zu
1837	4	0008	28	seyn schienen, in der ältesten Kirche von der aposto
1837	4	0008	29	lischen Zeit an als Geheimnisse nur mündlich fortge
1837	4	0008	30	pflanzt worden seyen. Dagegen wurde von prote
1837	4	0008	31	stantischer Seite immer in der Weise Widerspruch
1837	4	0008	32	eingelegt, daſs man zwar den Bestand einer Arcan
1837	4	0008	33	Disciplin in der alten Kirche nicht in Zweifel zog,
1837	4	0008	34	aber theils den Ursprung derselben aus der aposto
1837	4	0008	35	lischen Zeit leugnete, theils behauptete, daſs sie
1837	4	0008	36	sich nicht auf christliche Dogmen, sondern nur auf
1837	4	0008	37	die Feier der Sacramente und auf die heiligen Ge
1837	4	0008	38	bräuche bezogen habe. Es muſste dieser Punkt
1837	4	0008	39	hauptsächlich in dem Streite über die Transsubstan
1837	4	0008	40	tiationslehre zwischen den beiden Kirchen zur Spra
1837	4	0008	41	che kommen, und ward zuerst am ausführlichsten
1837	4	0008	42	verhandelt in den zwischen Schelstrate und Tentzel
1837	4	0008	43	in der 2ten Hälfte des 17ten Jahrh. gewechselten
1837	4	0008	44	Streitschriften über diesen Gegenstand. Um diese
