year	vol	page	line	content
1837	3	0002	1	·n
1837	3	0002	2	º
1837	3	0002	3	c
1837	3	0002	4	a
1837	3	0002	5	e
1837	3	0002	6	，?-
1837	3	0002	7	-
1837	3	0002	8	-
1837	3	0002	9	-
1837	3	0002	10	，
1837	3	0003	1	-
1837	3	0003	2	- -
1837	3	0003	3	- - - - -
1837	3	0003	4	-
1837	3	0003	5	-
1837	3	0003	6	# - WÄ
1837	3	0003	7	ÄH
1837	3	0003	8	- - - -
1837	3	0003	9	IIIIIIIIIIIIIIIII“ - -
1837	3	0003	10	---------º
1837	3	0003	11	-
1837	3	0004	1	A A –S
1837	3	0004	2	- A H 3
1837	3	0004	3	.
1837	3	0004	4	…
1837	3	0004	5	…
1837	3	0004	6	…
1837	3	0004	7	…
1837	3	0004	8	…
1837	3	0004	9	…
1837	3	0004	10	…
1837	3	0004	11	…
1837	3	0004	12	…
1837	3	0004	13	…
1837	3	0004	14	…
1837	3	0004	15	…
1837	3	0004	16	…
1837	3	0004	17	•
1837	3	0004	18	•
1837	3	0004	19	•
1837	3	0004	20	•
1837	3	0004	21	•
1837	3	0004	22	•
1837	3	0004	23	•
1837	3	0004	24	•
1837	3	0004	25	•
1837	3	0004	26	•
1837	3	0004	27	•
1837	3	0004	28	•
1837	3	0004	29	•
1837	3	0004	30	•
1837	3	0004	31	…
1837	3	0004	32	-
1837	3	0004	33	_
1837	3	0004	34	-
1837	3	0004	35	-
1837	3	0004	36	_
1837	3	0004	37	-
1837	3	0004	38	-
1837	3	0004	39	-
1837	3	0004	40	-
1837	3	0004	41	-
1837	3	0004	42	-
1837	3	0004	43	-
1837	3	0004	44	-
1837	3	0004	45	-
1837	3	0004	46	-
1837	3	0004	47	-
1837	3	0004	48	-
1837	3	0004	49	-
1837	3	0004	50	-
1837	3	0004	51	~
1837	3	0004	52	~
1837	3	0006	1	A L LG EM EINE
1837	3	0006	2	LITERATUR - ZEITUNG
