year	vol	page	line	content
1849	IB	0494	1	– 1 – 2
1849	IB	0494	2	I N T E L L I G E N Z B IA A T T
1849	IB	0494	3	ZU R
1849	IB	0494	4	A LL GE ME IN EN L IT E RATUR - ZEITUNG
1849	IB	0494	5	Monat Januar. 1849.
1849	IB	0494	6	Halle, in der Expedition
1849	IB	0494	7	der Allg. Lit. Zeitung.
1849	IB	0494	8	L I T E R A R I S C H E N A C H R I C H T E N.
1849	IB	0494	9	Literarischer Nachlass des am 3. Septbr. 1848
1849	IB	0494	10	in Berlin verstorbenen
1849	IB	0494	11	Prof. Dr. MIOritz GOtthilf Schwartze.
1849	IB	0494	12	Die orientalische Philologie hat durch den so uner
1849	IB	0494	13	warteten Tod des Prof. Schwartze einen harten Ver
1849	IB	0494	14	lust erlitten, welcher um so tiefer empfunden werden
1849	IB	0494	15	muss, wenn man bedenkt, wie er mitten in seiner
1849	IB	0494	16	Laufbahn der Welt entrissen wurde, als er eben in
1849	IB	0494	17	Begriff stand, die in den Bibliotheken Englands ge
1849	IB	0494	18	sammelten wichtigen Schätze der koptischen Litteratur
1849	IB	0494	19	zu veröffentlichen, und sein Zweck wie seine Aufgabe
1849	IB	0494	20	war, nächstdem auch die anderwärts, namentlich in
1849	IB	0494	21	Paris und in den Bibliotheken Italiens vergrabenen
1849	IB	0494	22	koptischen Werke zu copiren, und durch den Druck
1849	IB	0494	23	bekannt zu machen. Ein in seinem Nachlass gefunde
1849	IB	0494	24	ner Bericht über seine Thätigkeit in England, welcher
1849	IB	0494	25	uns durch die Güte seiner trauernden Wittwe zuge
1849	IB	0494	26	kommen ist, verdient um so mehr die allgemeine Be
1849	IB	0494	27	achtung, als er einen wenn auch nur flüchtigen Blick
1849	IB	0494	28	auf die Bedeutsamkeit seiner Leistungen gestattet.
1849	IB	0494	29	Wir theilen denselben nach den eigenen Worten des
1849	IB	0494	30	Verewigten mit, und fügen nur noch einige Data aus
1849	IB	0494	31	seinem frühern Leben hinzu.
1849	IB	0494	32	Dr. Moritz Gotthilf Schwartze, ausserordent
1849	IB	0494	33	licher Professor der koptischen Sprache und Litteratur
1849	IB	0494	34	an der Königl. Friedrich-Wilhelms-Universität zu Ber
1849	IB	0494	35	lin, wurde den 24. Februar 1803 zu Weissenfels ge
1849	IB	0494	36	boren. Er besuchte die Klosterschule zu Rossleben,
1849	IB	0494	37	studirte sodann in Leipzig Theologie, Philologie und
1849	IB	0494	38	Philosophie, und erlangte die philosophibche Doctor
1849	IB	0494	39	würde zu Halle. Im J. 1833 habilirte er sich an der
1849	IB	0494	40	Berliner Universität, und schrieb dazu „Prolegomena
1849	IB	0494	41	in religionem veterum Aegyptiorum. Berol. 1833. 8.
1849	IB	0494	42	260 S.” – Sein grösstes Werk „Das alte Aegypten,
1849	IB	0494	43	Darstellung und Beurtheilung der vornehmsten Entzif
1849	IB	0494	44	ferungssysteme der drei altägyptischen Schriftarten,
1849	IB	0494	45	zwei, beinahe 2200 Seiten starke Bände in Grossquart,
1849	IB	0494	46	erschien zu Leipzig 1843 bei Joh. Ambros. Barth.
1849	IB	0494	47	Gleich darauf: Psalterium in dialectum Copticae lin
1849	IB	0494	48	guae Memphiticam translatum, Leipzig 1843.
1849	IB	0494	49	Im J. 1844 erhielt er die ausserordentliche Pro
1849	IB	0494	50	fessur der koptischen Sprache und Litteratur an der
1849	IB	0494	51	Universität zu Berlin, und gab sodann die beiden er
1849	IB	0494	52	sten Bände des Koptisch-Memphitischen Neuen Testa
1849	IB	0494	53	mentes heraus, unter dem Titel: Quatuor evangelia in
1849	IB	0494	54	dialecto linguae Copticae Memphitica perscripta ad
1849	IB	0494	55	codd. mss. Copticorum in regia biblioth. Berol. adser
1849	IB	0494	56	vatorum nec non libri a Wilkinsio emissi fidem edidit,
1849	IB	0494	57	emendavit, adnotationibus criticis et grammaticis, va
1849	IB	0494	58	riantibus lectionibus expositis atque textu Coptico cum
1849	IB	0494	59	Graeco comparato instruxit M. G. Schwartze, Leipzig
1849	IB	0494	60	1846 u. 1847. 4.
1849	IB	0494	61	Am 9. Juli 1847 trat er im Auftrag der Königl.
1849	IB	0494	62	Preussischen Regierung seine wissenschftliche Reise
1849	IB	0494	63	nach England an. Die ihm für diese Reise auf ein
1849	IB	0494	64	Jahr gestellte genauere Aufgabe umfasst
1849	IB	0494	65	1. Die Gewinnung der in England befindlichen kop
1849	IB	0494	66	tischen Manuscripte der gnostischen Philosophie.
1849	IB	0494	67	2. Die Vergleichung der daselbst befindlichen kop
1849	IB	0494	68	tischen Handschriften des Neuen Testaments be
1849	IB	0494	69	huſs der Fortsetzung der von ihm veranstalteten
1849	IB	0494	70	Ausgabe.
1849	IB	0494	71	3. Die Abschrift der angeblich in England befindli
1849	IB	0494	72	chen Codices der koptischen Bücher des Alten
1849	IB	0494	73	Testaments.
1849	IB	0494	74	Nach seiner Ankunft in England ergab es sich, dass
1849	IB	0494	75	ein beträchtlicher Theil des einzusammelnden Mate
1849	IB	0494	76	rials nicht in dem Besitze öffentlicher Bibliotheken,
1849	IB	0494	77	sondern in den Händen von Privatpersonen, nament
1849	IB	0494	78	lich des Dr. Tattam zu Bedford sich befinde, welcher
1849	IB	0494	79	durch zweimalige Bereisung von Aegypten eine Samm
1849	IB	0494	80	lung von 70–80 koptischen Handschriften gewonnen
1849	IB	0494	81	hatte, dieselbe jedoch, wie es hiess, selbst für die
1849	IB	0494	82	Wissenschaft zu benutzen gedachte. Nicht minder er
1849	IB	0494	83	gab es sich, dass von den noch nicht veröffentlichten
1849	IB	0494	84	memphitischen Büchern des Alten Testaments nur ein
1849	IB	0494	85	beschränkter Theil (grosse Propheten, Proverbia),
1849	IB	0494	86	und zwar in der Tattam'schen Sammlung vorhanden
1849	IB	0494	87	sei. Dagegen stellte sich heraus, dass für das mem
1849	IB	0494	88	phitische Neue Testament, vornehmlich aber für die
1849	IB	0494	89	Schriften, desgleichen für andere Gebiete der kopti
1849	IB	0494	90	schen Litteratur zahlreiche, bisher nicht gekannte,
1849	IB	0494	91	und noch weniger für die Wissenschaft benutzte Schätze
1849	IB	0494	92	vorhanden waren. Es gelang dem Prof. Schwartze,
1849	IB	0494	93	sich nicht nur die Bekanntschaft, sondern theilweise auch
