year	vol	page	line	content
1837	5	0002	1	-
1837	5	0002	2	-
1837	5	0002	3	-
1837	5	0002	4	-
1837	5	0002	5	n
1837	5	0002	6	º
1837	5	0002	7	c
1837	5	0002	8	a
1837	5	0002	9	e
1837	5	0002	10	©C
1837	5	0002	11	：
1837	5	0002	12	L
1837	5	0002	13	a
1837	5	0002	14	e
1837	5	0002	15	-
1837	5	0002	16	-
1837	5	0002	17	-
1837	5	0002	18	-
1837	5	0002	19	，
1837	5	0003	1	"ofTHE
1837	5	0004	1	W. - -5
1837	5	0004	2	AH2
1837	5	0006	1	A L LG EM EINE
1837	5	0006	2	LITERATUR - ZEITUNG
1837	5	0006	3	W O M J A HI R E
1837	5	0006	4	1 8 337.
1837	5	0006	5	F ÜN F T E R B AN D.
1837	5	0006	6	D I E I N T E L L I GE N Z B L Ä T T E R
1837	5	0006	7	d i es e s Ja h r g an gs
1837	5	0006	8	ent halt e n d.
1837	5	0006	9	H A L L E,
1837	5	0006	10	in der Expedition dieser Zeit ung
1837	5	0006	11	bei C. A. Schwetschke und Sohn,
1837	5	0006	12	un d LE I PZ I G ,
1837	5	0006	13	in der König 1. Sä c h s. privil. Zeitung s – Expedit * ".
1837	5	0006	14	1 8 37.
1837	5	0007	1	*
1837	5	0007	2	-
1837	5	0007	3	|
1837	5	0007	4	-
1837	5	0007	5	،
1837	5	0007	6	•
1837	5	0007	7	•
1837	5	0007	8	•
1837	5	0007	9	•
1837	5	0007	10	·
1837	5	0007	11	•
1837	5	0007	12	×
1837	5	0007	13	•
1837	5	0007	14	!
1837	5	0007	15	·
1837	5	0007	16	·
1837	5	0007	17	·
1837	5	0007	18	ſ
1837	5	0007	19	e
1837	5	0007	20	|
1837	5	0007	21	-
1837	5	0007	22	·
1837	5	0007	23	*
1837	5	0007	24	*
1837	5	0007	25	+
1837	5	0007	26	|
1837	5	0007	27	！
1837	5	0007	28	•
1837	5	0007	29	"
1837	5	0007	30	|
1837	5	0007	31	*
1837	5	0007	32	_
1837	5	0007	33	·
1837	5	0007	34	：
1837	5	0008	1	– I –
1837	5	0008	2	ALLGEMEINEN
1837	5	0008	3	IN T E L L 1 GE N zB LA TT
1837	5	0008	4	- - - - - - D E R - , 4
1837	5	0008	5	LITERATUR -z
1837	5	0008	6	-
1837	5	0008	7	! .
1837	5	0008	8	EITUNG
1837	5	0008	9	- T – – - - - –
1837	5	0008	10	- - - - lt. . . . . - - - - - - -
1837	5	0008	11	L Januar 183 7. - - - - - - - -
1837	5	0008	12	- - -
1837	5	0008	13	- - - - - -
1837	5	0008	14	-
1837	5	0008	15	– – –
1837	5	0008	16	- - -
1837	5	0008	17	- - +++ - - 7 - - - - - - - - - - - -
1837	5	0008	18	Preise. . . . . II. Auf die Frage Nrº des Programms von 18ss:
1837	5	0008	19	- - „Da die Societät in früheren Jahren keihe genü
1837	5	0008	20	Programm - gende Antwort erhalten hat auf die Frage in Be
1837	5	0008	21	der . treff der heilweisen Zusammensetzung und Berei
1837	5	0008	22	- - S nºi a + i- tung des Schieſspulvers, seiner Bewahrung in Frie
1837	5	0008	23	- Utre c h t er S 0 c iet ät – denszeit undÄÄ und
1837	5	0008	24	für
1837	5	0008	25	Künste und Wissenschaften,
1837	5	0008	26	für das Jahr 1836. -
1837	5	0008	27	Donnerstag den 16. Juni und Sonnabend den 18. Juni
1837	5	0008	28	1836 ward die drei und sechzigste jährliche allgemeine
1837	5	0008	29	Versammlung von den Mitgliedern der Gesellschaft
1837	5	0008	30	Vormittags um 10 Uhr in der Kirche der Remon
1837	5	0008	31	stranten – Gemeine zu Utrecht, und somit in jenenTa
1837	5	0008	32	gen gehalten als das zweite Sekularfest der Utrechter
1837	5	0008	33	Universität feierlich begangen wurde. Die Vereini
1837	5	0008	34	ung der Mitglieder war sehr zahlreich, da auch dürch
1837	5	0008	35	Ä freundlich-sorgende Anordnung der Curatoren die
1837	5	0008	36	ser Universität und der Regierung der Stadt Utrecht,
1837	5	0008	37	den anwesenden Gliedern Einlaſskarten zum Beiwoh
1837	5	0008	38	nen der akademischen Rede, der Promotionen mit dem
1837	5	0008	39	Doctorhute, der Cantate, wie auch des Festmahles,
1837	5	0008	40	welches Freitag den 17. Juni von der Stadtregierung
1837	5	0008	41	gegeben wurde, verabreicht waren -“ -
1837	5	0008	42	- Professor J. Kops eröffnete als Präsident die Ver
1837	5	0008	43	sammlung mit einer zweckmäſsigen Rede, in welcher
1837	5	0008	44	er von dem gegenwärtigeu Zustande des Vereins einen
1837	5	0008	45	allgemeinen Bericht abstattete. Insbesondere wurden
1837	5	0008	46	die Verdienste und wissenschaftlichen Arbeiten der
1837	5	0008	47	Mitglieder geschildert, die während des gesellschaft
1837	5	0008	48	lichen Jahres mit Tode abgegangen waren. Hierauf
1837	5	0008	49	ertheilte der Secretär Bericht von den Preisschriften,
1837	5	0008	50	die während des gesellschaftlichen Jahres eingesandt
1837	5	0008	51	wurden. - - - - A
1837	5	0008	52	» . :
1837	5	0008	53	I. Von den Gedichten, welche, zufolge der im
1837	5	0008	54	Programm vom Jahre 1835 eingerückten Einladung,
1837	5	0008	55	an die Niederländischen Dichter eingeschickt waren.
1837	5	0008	56	(Diese Frage, als einzig bestimmt für Niederländi
1837	5	0008	57	sche Dichter, ist im Programm vom vorigen Jahre,
1837	5	0008	58	wie wir es im Intelligenzblatt dieser Zeitung 1836.
1837	5	0008	59	Mr.1. mittheilten, nicht angegeber, weshalb wir,
1837	5	0008	60	: uns denn auch jetzt des Berichtes über die, darauf
1837	5	0008	61	- eingegangenen Antworten überheben.) . . . . . .
1837	5	0008	62	. . !
1837	5	0008	63	Bereitung während des Krieges, ohne Unglüc
1837	5	0008	64	fälle zu verursachen, so fragtÄcÄ Ä.
1837	5	0008	65	welche zweckdienlicheVeränderungen gemacht und
1837	5	0008	66	in Anwendung gebracht werden könnten, sowohl
1837	5	0008	67	hinsichtlich der bombefreien und nicht bombefreien
1837	5	0008	68	- Magazine, als hinsichts der Gefäſse ünd Kisten, in
1837	5	0008	69	welchen das Pulver bis jetzt transportirt und be
1837	5	0008	70	wahrt wird, zur Verhütung der Feuchtigkeit, des
1837	5	0008	71	Klunckerens und Verderbens des Pulvers und der
1837	5	0008	72	hieraus sich ergebenden Nothwendigkeit, dasselbe
1837	5	0008	73	- von Zeit zu Zeit zu untersuchen, zu verarbeiten
1837	5	0008	74	und zu transportiren, bei welcher Gelegenheit mei
1837	5	0008	75	-stens alle Unglücke, einer zernichtenden Explosion
1837	5	0008	76	Stattfinden?" : .. -
1837	5	0008	77	war eine Abhandlung eingekommen mit dem Spruche:
1837	5	0008	78	„Bei der unbedingten Wichtigkeit des Pulvers
1837	5	0008	79	darf man nichts unterlassen, um den in der Fe
1837	5	0008	80	stung befindlichen Vorrath gegen jeden Zufall
1837	5	0008	81	-- zu sichern.” (Hoyer.)
1837	5	0008	82	Die Versammlung erkannte die Verdienste dieser Ab
1837	5	0008	83	handlung, die von der Kehntniſs, Geschicklichkeit und
1837	5	0008	84	dem Fleiſse ihres Verfassers Zeugniſs abgiebt. Sie hat
1837	5	0008	85	es indessen nicht gewagt, ihr den ausgesetzten Preis
1837	5	0008	86	zuzuerkennen, der wichtigen Anmerkungen wegen,
1837	5	0008	87	die die HHrn Beurtheiler machten. Sie beschloſs also
1837	5	0008	88	den Hrn. Verfasser zu ersuchen, seine Abhandlung zu
1837	5	0008	89	vervollkommnen und bei der weitern Ausarbeitung
1837	5	0008	90	derselben diese Anmerkungen zu beachten, und die
1837	5	0008	91	also, veränderte Abhandlung der Societät zurückzu
1837	5	0008	92	schicken, indem sodann in der folgenden allgemeinen
1837	5	0008	93	Versammlung über die allenfallsige Preisertheilung ge
1837	5	0008	94	handelt werden wird. Möchte der Verfasser diesen
1837	5	0008	95	Beschluſs billigen, so sollen ihm diese Anmerkungen
1837	5	0008	96	mitgetheilt werden. . . . . - -
1837	5	0008	97	1 - -_ / _ . .- *** - - - - - - -
1837	5	0008	98	III. Zur Beantwortung der neunzehnten Preis
1837	5	0008	99	frage desselben Programma:
1837	5	0008	100	„Eine allgemeine Uebersicht der gerichtlichen In
1837	5	0008	101	stitutionen in den Niederlanden, während der Zeit
1837	5	0008	102	1 - - - - - - - - - - - - der
1837	5	0009	1	3
1837	5	0009	2	--
1837	5	0009	3	-
1837	5	0009	4	der Republik, nebst einer rechtsgelehrten und po-... Diese Antwort, obgleich einige gute Anmerkungen
1837	5	0009	5	litischen Betrachtung ihres Werthes.” - -
1837	5	0009	6	war eine Abhandlung mit dem Spruche eingereicht:
1837	5	0009	7	Retrahores ad rerum ipsarum institutionem.
1837	5	0009	8	Dem allgemeinen Urtheile der HHrn. Berichterstatter
1837	5	0009	9	gemäſs zeugt diese Abhandlung von groſsem Fleiſse
1837	5	0009	10	und Thätigkeit ihres Verfassers,- wie auch von eiºr–folg
1837	5	0009	11	umfassenden Kenntniſs der altvorderlichen Institutio
1837	5	0009	12	nen, enthaltend daneben tüchtige Materialien. Indessen
1837	5	0009	13	sind diese Materialien an sich zu wenig verarbeitet und
1837	5	0009	14	nicht genug genau–kritische Resultate daraus herge
1837	5	0009	15	leitet. Auch ist vieles zusammengestellt, welches
1837	5	0009	16	weniger zum Gegenstand der Untersuchung gehörte,
1837	5	0009	17	wodurch also die Abhandlung weitschweifig wurde.
1837	5	0009	18	Die Versammlung urheilte daher, daſs die Ab
1837	5	0009	19	handlung dem Zwecke nicht hinreichend entspreche
1837	5	0009	20	und ihr also der Preis nicht zuerkannt werden könne.
1837	5	0009	21	IV. Auf die ein und zwanzigste Frage dess.
1837	5	0009	22	Progr., wobei eine kritische Abhandlung über die Ver
1837	5	0009	23	dienste des Lambertus Hortensius, von Montfoort, als
1837	5	0009	24	Geschichtschreiber und zwar in seinem vorzüglichsten
1837	5	0009	25	Ä Secessionum Ultrajectinarium libri, war eine
1837	5	0009	26	ntwort eingekommen in holländischer Sprache, mit
1837	5	0009	27	dem Motto: „ ergo superstes ero", wobei auch eine
1837	5	0009	28	Uebersetzung des vorbenannten Werkes des Horten
1837	5	0009	29	sius, init vielen interessanten Bemerkungen.
1837	5	0009	30	Diese Abhandlung, die mit vorzüglichem Fleiſse
1837	5	0009	31	und GenauigkeitÄ ist, und wichtige Erläute
1837	5	0009	32	rungen und Thatsachen in Bezug auf Hortensius und
1837	5	0009	33	seine Schriften enthält, ward des goldenen Ehren
1837	5	0009	34	preises allgemein würdig erkannt. – “
