year	vol	page	line	content
1830	2	0002	1	UC-NRLF
1830	2	0002	2	B 4 5DD 42
1830	2	0003	1	BER KEL EY
1830	2	0003	2	LIBRARY
1830	2	0003	3	UNIvERSITY OF
1830	2	0003	4	CALIFORNIA
1830	2	0004	1	*
1830	2	0004	2	-
1830	2	0004	3	-
1830	2	0004	4	-
1830	2	0004	5	-
1830	2	0004	6	-
1830	2	0004	7	-
1830	2	0004	8	-
1830	2	0004	9	-
1830	2	0004	10	-
1830	2	0004	11	*
1830	2	0004	12	*
1830	2	0004	13	*
1830	2	0004	14	—
1830	2	0004	15	—
1830	2	0004	16	—
1830	2	0004	17	—
1830	2	0004	18	—
1830	2	0004	19	—
1830	2	0004	20	—
1830	2	0004	21	—
1830	2	0004	22	—
1830	2	0004	23	—
1830	2	0004	24	^
1830	2	0004	25	-
1830	2	0004	26	-
1830	2	0004	27	-
1830	2	0004	28	-
1830	2	0005	1	=
1830	2	0005	2	=
1830	2	0005	3	~
1830	2	0005	4	~
1830	2	0005	5	~
1830	2	0005	6	~
1830	2	0005	7	-
1830	2	0005	8	-
1830	2	0005	9	-
1830	2	0005	10	-
1830	2	0005	11	-
1830	2	0005	12	-
1830	2	0005	13	-
1830	2	0005	14	-
1830	2	0005	15	-
1830	2	0005	16	-
1830	2	0005	17	~
1830	2	0005	18	~
1830	2	0005	19	~
1830	2	0005	20	~
1830	2	0005	21	~
1830	2	0005	22	.
1830	2	0006	1	A LL GE ME IN E
1830	2	0006	2	LITERATUR ZEITUNG
1830	2	0006	3	-
1830	2	0006	4	*-
1830	2	0006	5	V O M J A H P. E
1830	2	0006	6	1 8 30.
1830	2	0006	7	-"
1830	2	0006	8	zw E Y T E R B AN D.
1830	2	0006	9	H A L L E,
1830	2	0006	10	in der Expedition dieser Zeit ung
1830	2	0006	11	bey C. A. Schwetschke und Sohn,
1830	2	0006	12	- un d LE I PZ I G,
1830	2	0006	13	in der König I. Sä c b s. privil. Zeitung s – Exped it ion.
1830	2	0006	14	- 1 8 3 0.
1830	2	0008	1	–-- 81 --- 2
1830	2	0008	2	A LL GEM E IN E LI T E RA TUR - ZEITUNG
1830	2	0008	3	Z/doT.
1830	2	0008	4	A+-
1830	2	0008	5	F SOA
1830	2	0008	6	Cºntºr
1830	2	0008	7	die Natur der Sache mit sich bringt, von denen ge-Begut
1830	2	0008	8	braucht, welche einer groſsen und augenscheinli
1830	2	0008	9	May 1830.
1830	2	0008	10	BIBLISCHE LITERATUR.
1830	2	0008	11	1) Leipzig, b. Barth: Lexicon manuale graeco
