year	vol	page	line	content
1831	4	0002	1	B 1589 943
1831	4	0002	2	-
1831	4	0003	1	III
1831	4	0003	2	Ä
1831	4	0003	3	ETF
1831	4	0003	4	oFTHE
1831	4	0004	1	- - A-5
1831	4	0004	2	. Ä 12
1831	4	0005	1	-
1831	4	0005	2	-
1831	4	0005	3	-
1831	4	0005	4	-
1831	4	0005	5	|
1831	4	0005	6	-
1831	4	0005	7	-
1831	4	0005	8	a
1831	4	0005	9	e
1831	4	0005	10	+
1831	4	0005	11	-
1831	4	0005	12	a
1831	4	0005	13	*
1831	4	0005	14	：
1831	4	0005	15	*
1831	4	0005	16	！
1831	4	0005	17	！
1831	4	0005	18	！
1831	4	0005	19	•
1831	4	0005	20	•
1831	4	0005	21	•
1831	4	0005	22	~
1831	4	0005	23	~
1831	4	0006	1	A L L GE M E I NE
1831	4	0006	2	LITERATUR-ZEITUNG
1831	4	0006	3	V O M J A H P E
1831	4	0006	4	1 8 31.
1831	4	0006	5	V I E R T E R B A N D.
1831	4	0006	6	D I E E R G Ä N ZU N G S B L Ä T T E R
1831	4	0006	7	d i es e s Jahr g an gs
1831	4	0006	8	ent h a I t e n d.
1831	4	0006	9	H A L L E,
1831	4	0006	10	in der Expedition dieser Zeitung
1831	4	0006	11	bey C. A. Schwetschke und Sohn,
1831	4	0006	12	un d LE I PZ I G,
1831	4	0006	13	in der König . Säch s. privi l. Zeitung s – Expedition.
1831	4	0006	14	1 8 3 1.
1831	4	0007	1	•
1831	4	0007	2	•
1831	4	0007	3	•
1831	4	0007	4	•
1831	4	0007	5	•
1831	4	0007	6	•
1831	4	0007	7	=
1831	4	0007	8	<
1831	4	0007	9	！
1831	4	0007	10	-
1831	4	0007	11	-
1831	4	0007	12	*
1831	4	0007	13	*
1831	4	0007	14	*
1831	4	0007	15	*
1831	4	0007	16	*
1831	4	0007	17	*
1831	4	0007	18	*
1831	4	0007	19	*
1831	4	0007	20	*
1831	4	0007	21	•
1831	4	0007	22	•
1831	4	0007	23	•
1831	4	0007	24	•
1831	4	0007	25	•
1831	4	0007	26	•
1831	4	0007	27	•
1831	4	0007	28	•
1831	4	0007	29	•
1831	4	0007	30	•
1831	4	0007	31	•
1831	4	0007	32	•
1831	4	0007	33	•
1831	4	0007	34	•
1831	4	0007	35	-
1831	4	0007	36	-
1831	4	0007	37	-
1831	4	0007	38	-
1831	4	0007	39	-
1831	4	0007	40	-,
1831	4	0007	41	^
1831	4	0007	42	—
1831	4	0007	43	—
1831	4	0007	44	—
1831	4	0007	45	—
1831	4	0007	46	—
1831	4	0007	47	—
1831	4	0007	48	—
1831	4	0007	49	—
1831	4	0007	50	—
1831	4	0007	51	—
1831	4	0007	52	—
1831	4	0007	53	-
1831	4	0007	54	-
1831	4	0007	55	-
1831	4	0007	56	-
1831	4	0007	57	-
1831	4	0007	58	-
1831	4	0007	59	-
1831	4	0007	60	-
1831	4	0007	61	-
1831	4	0007	62	-
1831	4	0007	63	-
1831	4	0007	64	*
1831	4	0008	1	L» -- 1.–
1831	4	0008	2	3. - -
1831	4	0008	3	-
1831	4	0008	4	- d -
1831	4	0008	5	47./ E R. G A Nz U N G s B L ÄT T ER
1831	4	0008	6	z. UR
1831	4	0008	7	ALLGEMEIN EN LITERATUR - ZEITUNG
1831	4	0008	8	Januar 1 831.
1831	4	0008	9	THEOLOGIE. -
1831	4	0008	10	b. Hartknoch: Summa Theologia ch
1831	4	0008	11	Ä. Scripsit Christoph.rider.de Ammäh,
1831	4	0008	12	Editio quarta perdensis.
1831	4	0008	13	D. Theologus Dresde 1830. XVIll u.
1831	4	0008	14	etuis curis castigata et ºcta.
1831	4	0008	15	Ä S. 8. (1 Rthlr. 16 gGr.)
1831	4	0008	16	Zum achten Male theilt hier der berühmte Vf, die
1831	4	0008	17	Rjatº seiner gelehrten Forschungen Ä die
1831	4	0008	18	jche Glaubenslehre dem gröſse" Publicum
1831	4	0008	19	in einer sorgfältig ausgearbeiteten Schrift mit. Denn
1831	4	0008	20	wenn man zu denÄ der Summa noch die
1831	4	0008	21	zweymal aufgelegte, biblºc Theologie (Erlangen
1831	4	0008	22	79 und 180i), ingleichen, den Entºurf el/167" 14'lS
1831	4	0008	23	senschaftlich-practisehen Theºlºgie (Göttingen 1797)
1831	4	0008	24	und den ausführlichen Unterricht in der christlichen
1831	4	0008	25	Glaubenslehre (Nürnberg 1807) rechnet.» Sº sº diese
1831	4	0008	26	ierte Auflage der Summa allerdings: Ä auch in
1831	4	0008	27	der Vorrede (S. X11) bemerkt wird, octava reCensl0
1831	4	0008	28	Dieſs berechtigt, hier nur Gediegenes zu erwarten,
1831	4	0008	29	- ein genau bezeichnetes, wohlbegründetes und allent
1831	4	0008	30	halben genau zusammenstimmendes System. Was
1831	4	0008	31	jan in den frühern Recensionen vermiſste» wird
1831	4	0008	32	j in der recensio oct ava perpetuis curis ºst
1831	4	0008	33	-gata et aucta zu finden, was man dort mit Recht
1831	4	0008	34	adelte, hier verbessert zu sehen erwarten. Hr. D.
1831	4	0008	35	jAmmon bekennt sich, wie unsere Leser wissen,
1831	4	0008	36	-Äsjpernaturalismus, leitet die Schriftlehre vº
1831	4	0008	37	unmittelbaren göttlichen Offenbarºnge º', und
1831	4	0008	38	bekämpft den Kationalismus, der S. 71 in Ueber
1831	4	0008	39	einstimmung mit Hase, aber unzureichen , als
1831	4	0008	40	dasjenige theologische Syste bezeichnet wird, wel
1831	4	0008	41	che, die allgemeine Menschenkraft zu", religiºn
1831	4	0008	42	Leben für zureichend erklärt. Sein Glaubensbe
1831	4	0008	43	kenntniſs hierüber legt der Vf, gleich in der Vor
1831	4	0008	44	rede ab, und mehrere, bloſs dieser Ausgabe eigenen,
1831	4	0008	45	Paragraphen, namentlich § 4- 19 Theoria reve
1831	4	0008	46	latioñis, § 20: de vaticiniis Messianis, § 36: de ra
1831	4	0008	47	tionalismo, § 37: deÄ in universum,
1831	4	0008	48	geben ausführlichere Erörterungen dieſes Haupt
1831	4	0008	49	unktes. Bey diesem muſs Rec: zunächst verwei
1831	4	0008	50	en, da es ihm ja obliegt, das in der neuesten Ausga
1831	4	0008	51	be Hinzugekommene besonders zu berücksichtigen,
1831	4	0008	52	und da es den Lesern nicht anders als willkommen
1831	4	0008	53	seyn kann, das Neueste, was Hr. v. A. hierüber giebt,
1831	4	0008	54	in der Kürze zu erfahren. Rec. hält für seine Per
1831	4	0008	55	son auch fest an dem Supernaturalismus purus. et
1831	4	0008	56	rationalis, wie der Vf, ihn § 39 nennt. Das heiſst:
1831	4	0008	57	Ergänz. Bl. zur.A.L. Z. 1831.
1831	4	0008	58	er nimmt das Christenthum so, wie es sich giebt,
1831	4	0008	59	als eine aus unmittelbarer Offenbarung stammende
1831	4	0008	60	öttliche Belehrung, und sieht sich hierzu durch
1831	4	0008	61	ernunftgründe genöthigt. Denn seine Vernunft
1831	4	0008	62	müſste er verläugnen, wenn er von dem Erlöser
1831	4	0008	63	und dessen Verhältniſs zu Gott anders urtheilen
1831	4	0008	64	wollte, als die Schrift lehrt. Da ihm nun dieſs
1831	4	0008	65	nicht möglich ist, so sind ihm auch, schon um
1831	4	0008	66	Christi willen, die Apostel und Propheten göttlich
1831	4	0008	67	gesandte Männer, die genau so, wie es die Bibel
1831	4	0008	68	sagt, in dem Lichte höherer Offenbarungen wan
1831	4	0008	69	delten. Sehr begierig war er daher auf die neue
1831	4	0008	70	Ausgabe der Summa, in welcher er neue Regrün
1831	4	0008	71	dungen des Offenbarungsglaubens und schlagende
1831	4	0008	72	Zurechtweisungen der Rationalisten zu finden hoffte.
1831	4	0008	73	Zu seinem groſsen Bedauern ist diese Forderung
1831	4	0008	74	nicht erfüllt worden. Denn Hr. v. A. giebt die
1831	4	0008	75	Hauptbeweise für den biblischen Offenbarungsglau
1831	4	0008	76	ben auf, er kämpft dafür mit sehr unstatthaften
1831	4	0008	77	Gründen; was er gegen den Rationalismus ein
1831	4	0008	78	wendet, sind meistens nur Luftstreiche, sind Ar
1831	4	0008	79	umente, die man in der Schrift eines solchen
1831	4	0008	80	Ä nicht ohne groſses Befremden liest, und in
1831	4	0008	81	den Hauptresultaten trifft der Vf. ganz gewöhnlich
1831	4	0008	82	mit den Rationalisten deswegen genau zusammen,
1831	4	0008	83	weil er, wie sie, nach Vernunftgründen entschei
1831	4	0008	84	det, anstatt unläugbare Bibellehren darum gelten zu
1831	4	0008	85	lassen, weil sie in der Bibel stehen. Was also Rec.
1831	4	0008	86	in der kleinen Schrift: Rein / ard und Ammon
1831	4	0008	87	als Dogmatiker (Leipz. 1813) über die zweyte Aus
1831	4	0008	88	gabe der Summa gesagt hat, das gilt in der Haupt
1831	4	0008	89	sache auch von der vierten Ausgabe. Folgendes möge
1831	4	0008	90	zum Beweise dienen.
1831	4	0008	91	Der Offenbarungsgläubige in dem angegebenen»
1831	4	0008	92	auch von Hn. v. A. festgehaltenen Sinne, muſs sei
1831	4	0008	93	nen Glauben auf äuſsere Beweise stützen, auf Wun
1831	4	0008	94	der und Weissagungen. Denn die innere Vortreff
1831	4	0008	95	lichkeit des Christenthums kann ja nimmermehr
1831	4	0008	96	beweisen, es sey wirklich des Ursprungs, welchen
1831	4	0008	97	es sich beylegt. Daſs die christliche Lehre sich
1831	4	0008	98	durch ihren ganzen Inhalt so sehr empfiehlt, daſs
1831	4	0008	99	sie sich als eine seligmachende Gotteskraft an den
1831	4	0008	100	Gläubigen verherrlicht, zeigt nur, daſs sie unmit
1831	4	0008	101	telbar von Gott stammen könne; aber daſs dieſs in
1831	4	0008	102	der That der Fall sey, darf nur dann angenommen
1831	4	0008	103	werden, wenn Gott selbst es durch unläegbare
1831	4	0008	104	äuſsere Thatsachen bestätigt hat. Solche Thatsa
1831	4	0008	105	chen sind nun eben die Wunder und JWeissagungen;
1831	4	0008	106	auf sie berufen der Erlöser und die Apostel sich
1831	4	0008	107	A allent
1831	4	0009	1	Z ERGÄNZUNGSBLÄTTER ZUR A- L. Z. 4
1831	4	0009	2	allenthalben, wenn von dem übernatürlichen Ur
1831	4	0009	3	sprunge des Evangelii die Rede ist, und die histo
1831	4	0009	4	rischen Bücher des N. T. bezeugen, daſs die Gläubi
1831	4	0009	5	ender christlichen Urzeitmeistens durch die äuſsern
1831	4	0009	6	eweise zum Glauben bewogen worden. Gründ
1831	4	0009	7	lich hat jenes der gelehrte Veteran Weber in seinen
1831	4	0009	8	opuscc. academm. apologett. (Leipz. 1828), nament
1831	4	0009	9	lich in der 7ten, 8ten, 9ten und 10ten Abhandlung
1831	4	0009	10	gezeigt. Läſst sich nun der Wunderbeweis gegen
1831	4	0009	11	die Rationalisten nicht halten, so muſs der bibli
1831	4	0009	12	sche Offenbarungsglaube aufgegeben werden.
1831	4	0009	13	Hr. v. A. giebt diesen Beweis Preis. Er schreibt
1831	4	0009	14	§ 19: in universum autem, quomodo divinitas
1831	4	0009	15	doctrina e cohaereat cum veritate or a culi post
1831	4	0009	16	longum aevi decursum unice probanda, sagacioribus
1831	4	0009	17	non facile patebit. Diese Bemerkung verrückt den
1831	4	0009	18	anzen Streitpunkt. Weil ein Prophet geweissagt
1831	4	0009	19	Ä darum soll seine Lehre nicht wahr seyn. Die
1831	4	0009	20	Wahrheit einer religiösen Behauptung kann überall
1831	4	0009	21	nur auf innern Gründen beruhen, nicht auf äuſsern
1831	4	0009	22	Thatsachen; allein die Thatsache, daſs die Gott
1831	4	0009	23	heit sich dem Propheten offenbare, daſs also, was
1831	4	0009	24	er uns sagt, und dessen Glaubwürdigkeit aus ver
1831	4	0009	25	nünftigen Gründen uns einleuchtet, aus höherer
1831	4	0009	26	Offenbarung stamme, – dieſs nur soll das Factum
1831	4	0009	27	einer Weissagung darthun, und die Natur der Sa
1831	4	0009	28	che bringt es mit sich, daſs die volle Beweiskraft
1831	4	0009	29	der Weissagungen erst eintreten kann, wenn sie
1831	4	0009	30	erfüllt sind. Haben wir nun von dem Erlöser genau
1831	4	0009	31	in Erfüllung gegangene Weissagungen, so ist, was
1831	4	0009	32	er uns über seine Verbindung mit Gott sagt, factisch
1831	4	0009	33	bestätigt. Hr. v.-. macht dagegen sehr unstatthafte
1831	4	0009	34	Einwendungen. Praedictionum mirabilium, sagt er,
1831	4	0009	35	quas Christus ipse regusat (Matth. 29, 36. Act. 1, 7)
1831	4	0009	36	in utriusque Foederis libris numerus admodum ex
