year	vol	page	line	content
1841	4	0004	1	\
1841	4	0004	2	，
1841	4	0004	3	\
1841	4	0004	4	!
1841	4	0004	5	.
1841	4	0004	6	^
1841	4	0004	7	k
1841	4	0004	8	º
1841	4	0004	9	ſ
1841	4	0004	10	Œ
1841	4	0004	11	œ
1841	4	0004	12	€
1841	4	0004	13	）
1841	4	0004	14	i
1841	4	0004	15	_
1841	4	0004	16	■
1841	4	0004	17	*
1841	4	0004	18	-
1841	4	0006	1	ALLGEMEINE
1841	4	0006	2	LITERATUR - ZEITUNG
1841	4	0006	3	184 .
1841	4	0006	4	V I E R T ER BA N D.
1841	4	0006	5	D I E E R G Ä N ZU N G S B L Ä T T E R
1841	4	0006	6	di e s es Jahr g a ng s
1841	4	0006	7	ent halt e n d.
1841	4	0006	8	H A L L E,
1841	4	0006	9	in der Expedition dieser Zeit ung
1841	4	0006	10	bei C. A. Schwetschke und Sohn,
1841	4	0006	11	und LE I P ZIG,
1841	4	0006	12	in der König l. Säch s. privil. Zeit u n gs – Expedition.
1841	4	0006	13	1 84 1.
1841	4	0007	1	*
1841	4	0007	2	-
1841	4	0007	3	*
1841	4	0007	4	*
1841	4	0007	5	*
1841	4	0007	6	•
1841	4	0007	7	•
1841	4	0007	8	*
1841	4	0007	9	•
1841	4	0007	10	•
1841	4	0007	11	·
1841	4	0007	12	*
1841	4	0007	13	~
1841	4	0007	14	~
1841	4	0007	15	-
1841	4	0007	16	-
1841	4	0007	17	-
1841	4	0007	18	-
1841	4	0007	19	|
1841	4	0007	20	-
1841	4	0007	21	→
1841	4	0007	22	·
1841	4	0007	23	|
1841	4	0007	24	-
1841	4	0007	25	*
1841	4	0007	26	|
1841	4	0007	27	-
1841	4	0007	28	*
1841	4	0007	29	*
1841	4	0007	30	*
1841	4	0007	31	*
1841	4	0007	32	-
1841	4	0007	33	*
1841	4	0007	34	*
1841	4	0007	35	*
1841	4	0007	36	！
1841	4	0007	37	*
1841	4	0007	38	*
1841	4	0007	39	-
1841	4	0007	40	-
1841	4	0007	41	-
1841	4	0007	42	-
1841	4	0007	43	...
1841	4	0007	44	•
1841	4	0007	45	•
1841	4	0007	46	•
1841	4	0007	47	•
1841	4	0007	48	|
1841	4	0007	49	-
1841	4	0007	50	·
1841	4	0007	51	·
1841	4	0007	52	·
1841	4	0007	53	·
1841	4	0007	54	·
1841	4	0007	55	·
1841	4	0007	56	•
1841	4	0007	57	•
1841	4	0007	58	•
1841	4	0007	59	…
1841	4	0007	60	|
1841	4	0007	61	-
1841	4	0007	62	|
1841	4	0007	63	-
1841	4	0007	64	:
1841	4	0007	65	*
1841	4	0007	66	|
1841	4	0007	67	-
1841	4	0007	68	|
1841	4	0007	69	-
1841	4	0007	70	|
1841	4	0007	71	-
1841	4	0007	72	•
1841	4	0007	73	*
1841	4	0007	74	…
1841	4	0007	75	-
1841	4	0007	76	-
1841	4	0007	77	-
1841	4	0007	78	-
1841	4	0007	79	•
1841	4	0007	80	|
1841	4	0007	81	-
1841	4	0007	82	|
1841	4	0007	83	-
1841	4	0007	84	+
1841	4	0007	85	*
1841	4	0007	86	-
1841	4	0007	87	,
1841	4	0007	88	-
1841	4	0007	89	-
1841	4	0007	90	-
1841	4	0007	91	-
1841	4	0007	92	*
1841	4	0007	93	…
1841	4	0007	94	•
1841	4	0007	95	（
1841	4	0007	96	~
1841	4	0007	97	·
1841	4	0007	98	|
1841	4	0007	99	-
1841	4	0007	100	·
1841	4	0007	101	•
1841	4	0007	102	*
1841	4	0007	103	*
1841	4	0007	104	*
1841	4	0007	105	|
1841	4	0007	106	-
1841	4	0007	107	|
1841	4	0007	108	-
1841	4	0007	109	·
1841	4	0007	110	-
1841	4	0007	111	*
1841	4	0007	112	:
1841	4	0007	113	|
1841	4	0007	114	~
1841	4	0007	115	·
1841	4	0007	116	·
1841	4	0007	117	·
1841	4	0007	118	·
1841	4	0007	119	·
1841	4	0007	120	·
1841	4	0007	121	·
1841	4	0007	122	-
1841	4	0007	123	-
1841	4	0007	124	-
1841	4	0007	125	-
1841	4	0007	126	z
1841	4	0007	127	*
1841	4	0007	128	.
1841	4	0007	129	→
1841	4	0007	130	*
1841	4	0007	131	-
1841	4	0007	132	！
1841	4	0007	133	-
1841	4	0007	134	|
1841	4	0007	135	-
1841	4	0007	136	·
1841	4	0007	137	*
1841	4	0007	138	-
1841	4	0007	139	-
1841	4	0007	140	-
1841	4	0007	141	-
1841	4	0007	142	-
1841	4	0007	143	-
1841	4	0007	144	|
1841	4	0007	145	-
1841	4	0007	146	）
1841	4	0007	147	·
1841	4	0007	148	·
1841	4	0007	149	*
1841	4	0007	150	*
1841	4	0007	151	*
1841	4	0007	152	-
1841	4	0007	153	|
1841	4	0007	154	-
1841	4	0007	155	*
1841	4	0007	156	-
1841	4	0007	157	-
1841	4	0007	158	-
1841	4	0007	159	-
1841	4	0007	160	|
1841	4	0007	161	-
1841	4	0007	162	|
1841	4	0007	163	-
1841	4	0007	164	！
1841	4	0007	165	-
1841	4	0007	166	•
1841	4	0007	167	•
1841	4	0007	168	•
1841	4	0007	169	•
1841	4	0007	170	•
1841	4	0007	171	.
1841	4	0007	172	–
1841	4	0007	173	.
1841	4	0007	174	•
1841	4	0007	175	•
1841	4	0007	176	-
1841	4	0007	177	-
1841	4	0007	178	-
1841	4	0007	179	-
1841	4	0007	180	·
1841	4	0007	181	*
1841	4	0007	182	-
1841	4	0007	183	→
1841	4	0007	184	*
1841	4	0007	185	,
1841	4	0007	186	→
1841	4	0007	187	*
1841	4	0007	188	-
1841	4	0007	189	|
1841	4	0007	190	-
1841	4	0007	191	·
1841	4	0007	192	|
1841	4	0007	193	-
1841	4	0007	194	•
1841	4	0007	195	-
1841	4	0007	196	-
1841	4	0007	197	-
1841	4	0007	198	-
1841	4	0007	199	|
1841	4	0007	200	-
1841	4	0007	201	{
1841	4	0007	202	·
1841	4	0007	203	*
1841	4	0007	204	|
1841	4	0007	205	-
1841	4	0007	206	•
1841	4	0007	207	|
1841	4	0007	208	-
1841	4	0007	209	|
1841	4	0007	210	-
1841	4	0007	211	-
1841	4	0007	212	-
1841	4	0007	213	*
1841	4	0007	214	-
1841	4	0007	215	-
1841	4	0007	216	|
1841	4	0007	217	-
1841	4	0007	218	-
1841	4	0007	219	*
1841	4	0007	220	-
1841	4	0007	221	-
1841	4	0007	222	-
1841	4	0007	223	-
1841	4	0007	224	|
1841	4	0007	225	-
1841	4	0007	226	·
1841	4	0007	227	！
1841	4	0007	228	·
1841	4	0007	229	-
1841	4	0007	230	，
1841	4	0007	231	，
1841	4	0007	232	，
1841	4	0007	233	·
1841	4	0007	234	*
1841	4	0007	235	|
1841	4	0007	236	-
1841	4	0007	237	·
1841	4	0007	238	·
1841	4	0007	239	·
1841	4	0007	240	*
1841	4	0007	241	*
1841	4	0007	242	*
1841	4	0007	243	*！
1841	4	0007	244	-
1841	4	0007	245	-
1841	4	0007	246	|
1841	4	0007	247	-
1841	4	0007	248	|
1841	4	0007	249	-
1841	4	0007	250	·
1841	4	0007	251	-
1841	4	0007	252	*
1841	4	0007	253	·
1841	4	0007	254	•
1841	4	0007	255	.
1841	4	0007	256	.
1841	4	0007	257	：
1841	4	0007	258	•
1841	4	0007	259	a
1841	4	0007	260	e
1841	4	0007	261	-
1841	4	0007	262	-
1841	4	0007	263	-
1841	4	0007	264	-
1841	4	0007	265	…
1841	4	0007	266	-
1841	4	0007	267	-
1841	4	0007	268	~
1841	4	0007	269	-
1841	4	0007	270	,
1841	4	0007	271	|
1841	4	0007	272	-
1841	4	0007	273	·
1841	4	0007	274	-
1841	4	0007	275	|
1841	4	0007	276	-
1841	4	0007	277	*
1841	4	0007	278	|
1841	4	0007	279	-
1841	4	0007	280	|
1841	4	0007	281	-
1841	4	0007	282	*
1841	4	0007	283	-
1841	4	0007	284	-
1841	4	0007	285	-
1841	4	0007	286	-
1841	4	0007	287	-
1841	4	0007	288	-
1841	4	0007	289	-
1841	4	0007	290	-
1841	4	0007	291	·
1841	4	0007	292	+
1841	4	0007	293	|
1841	4	0007	294	-
1841	4	0007	295	·
1841	4	0007	296	*
1841	4	0007	297	•
1841	4	0007	298	.
1841	4	0007	299	*
1841	4	0007	300	*
1841	4	0007	301	，
1841	4	0007	302	-
1841	4	0007	303	-
1841	4	0007	304	-
1841	4	0007	305	-
1841	4	0007	306	-
1841	4	0007	307	*
1841	4	0007	308	·
1841	4	0007	309	|
1841	4	0007	310	-
1841	4	0007	311	|
1841	4	0007	312	-
1841	4	0007	313	*
1841	4	0007	314	.
1841	4	0007	315	|
1841	4	0007	316	-
1841	4	0007	317	*
1841	4	0007	318	*
1841	4	0007	319	…
1841	4	0007	320	*
1841	4	0007	321	-
1841	4	0007	322	-
1841	4	0007	323	-
1841	4	0007	324	-
1841	4	0007	325	：
1841	4	0007	326	！
1841	4	0007	327	·
1841	4	0007	328	|
1841	4	0007	329	-
1841	4	0007	330	…
1841	4	0007	331	-
1841	4	0007	332	-
1841	4	0007	333	-
1841	4	0007	334	-
1841	4	0007	335	·
1841	4	0007	336	*
1841	4	0007	337	*
1841	4	0007	338	*
1841	4	0007	339	-
1841	4	0007	340	：
1841	4	0007	341	·
1841	4	0008	1	D2- -
1841	4	0008	2	- -
1841	4	0008	3	- - -
1841	4	0008	4	1 – 2 -
1841	4	0008	5	2,2 %
1841	4	0008	6	– I – 2
1841	4	0008	7	E R G Ä N ZU N GS BL Ä TT E R
1841	4	0008	8	ZU BR
1841	4	0008	9	A L L GE MI E IN EN L IT E R A TUR - ZEITUNG
1841	4	0008	10	Januar 1841.
1841	4	0008	11	KIRCHI ENGESCHICHT E.
1841	4	0008	12	LEIPzIG, b. Weidmann: K. R. Hagenbach, Pro
1841	4	0008	13	fessor in Basel, Vorlesungen über Wesen und
1841	4	0008	14	Geschichte der Reformation in Deutschland und
1841	4	0008	15	der Schweiz mit stäter Beziehung auf die Rich
1841	4	0008	16	tungen unserer Zeit. Erster Theil. 1834. VIII
1841	4	0008	17	u. 264 S. Zweiter Theil. 1834. IV u. 304 S.
1841	4	0008	18	Dritter Theil unter dem besondern Titel: Der
1841	4	0008	19	evangelische Protestantismus in seiner geschicht
1841	4	0008	20	lichen Entwicklung in einer Reihe von Vorle
1841	4	0008	21	sungen dargestellt: Erster Theil, vom Augs
1841	4	0008	22	burger Religionsfrieden bis zum dreissigjähri
1841	4	0008	23	gen Krieg. 1837. XII u. 548 S. Vierter Theil
1841	4	0008	24	Uzweiter Theil) vom dreissigjährigen Kriege
1841	4	0008	25	bis zum Anfang des 18. Jahrhunderts. 1839. X u.
1841	4	0008	26	534 S. 8. (7 Thlr. 12 gGr.)
1841	4	0008	27	Wenn für die ersten beiden, schon vor 6 Jah
1841	4	0008	28	ren erschienenen Bände dieses Werks *) die ge
1841	4	0008	29	genwärtige Anzeige etwas verspätet erscheint: so
1841	4	0008	30	haben wir jetzt wenigstens den Vortheil, die damit
1841	4	0008	31	zusammenhängenden Leistungen des Vfs. in den
1841	4	0008	32	zwei letzten Bänden vergleichen, und über das
1841	4	0008	33	Ganze ein um so sichereres Urtheil gewinnen zu kön
1841	4	0008	34	nen. Freilich wird aber der Gewinn, der aus der
1841	4	0008	35	spätern Hälfte des Werks zur Beurtheilung der frü
1841	4	0008	36	hern geschöpft werden könnte, dadurch wieder ver
1841	4	0008	37	ringert, dass die zwei letzten Bände kaum durch
1841	4	0008	38	etwas anderes, als durch einen gemeinsamen Titel
1841	4	0008	39	und durch Continuität der behandelten Zeiten mit
1841	4	0008	40	den zwei frühern zusammengehalten werden; denn
1841	4	0008	41	was sonst zum Wesen eines Buches gehört, Aus
1841	4	0008	42	wahl und Anordnung des Stoffes, Standpunkt der
1841	4	0008	43	Auffassung, selbst Darstellung und Tendenz, ist in
1841	4	0008	44	den beiden Hälften sehr bedeutend verschieden, wie
1841	4	0008	45	auch schon nach dem dazwischen liegenden Zeit
1841	4	0008	46	raum von drei Jahren nicht anders erwartet werden
1841	4	0008	47	kann. Die erste Hälfte trägt ihren bestimmten Cha
1841	4	0008	48	rakter schon dadurch an der Stirn, dass sie, wie
1841	4	0008	49	der Titel aussagt, die stäten Beziehungen auf die
