year	vol	page	line	content
1840	3	0003	1	D2
1840	3	0003	2	MºUUUUUl! DIETE
1840	3	0003	3	-
1840	3	0003	4	FÄF)
1840	3	0003	5	LIBRARYY S
1840	3	0003	6	W#N-IIIIIIIIIIIIIIIIIIE
1840	3	0003	7	E - T
1840	3	0003	8	ETTE
1840	3	0003	9	(DF THIE
1840	3	0003	10	-
1840	3	0004	1	G-DA5
1840	3	0004	2	. AH3
1840	3	0005	1	=
1840	3	0005	2	=
1840	3	0005	3	=
1840	3	0005	4	=
1840	3	0005	5	=
1840	3	0005	6	=
1840	3	0005	7	=
1840	3	0005	8	=
1840	3	0005	9	=
1840	3	0005	10	=
1840	3	0005	11	=
1840	3	0006	1	ALLGEMEINE
1840	3	0006	2	LITERATUR – ZEITUNG
1840	3	0006	3	W O M J A H R E
1840	3	0006	4	1840.
1840	3	0006	5	I) R I T T E R B A N D.
1840	3	0006	6	s E PT E M BE R bis D E C E M BE R.
1840	3	0006	7	GMENSF
1840	3	0006	8	H A L L E,
1840	3	0006	9	in der Expedition dieser Zeit ung
1840	3	0006	10	bei C. A. Schwetschke und Sohn,
1840	3	0006	11	un d LE I PZ IG , A -
1840	3	0006	12	in der König I. Sä c h s. privi 1. Zeit ung s – Expe d i t i on. Ä e
1840	3	0006	13	- 1 84 0. Sºrº,
1840	3	0007	1	*
1840	3	0007	2	·
1840	3	0007	3	-
1840	3	0007	4	-
1840	3	0007	5	-
1840	3	0007	6	-
1840	3	0007	7	|
1840	3	0007	8	-
1840	3	0007	9	！
1840	3	0007	10	！
1840	3	0007	11	！
1840	3	0007	12	！
1840	3	0007	13	~
1840	3	0007	14	~
1840	3	0007	15	~
1840	3	0007	16	*
1840	3	0007	17	*
1840	3	0007	18	*
1840	3	0007	19	~
1840	3	0007	20	*
1840	3	0007	21	…
1840	3	0007	22	·
1840	3	0007	23	·
1840	3	0007	24	%
1840	3	0007	25	·
1840	3	0007	26	·
1840	3	0007	27	.
1840	3	0007	28	…
1840	3	0007	29	…
1840	3	0007	30	！
1840	3	0007	31	！
1840	3	0007	32	！
1840	3	0007	33	·
1840	3	0007	34	-
1840	3	0007	35	-
1840	3	0007	36	-
1840	3	0007	37	-
1840	3	0007	38	*
1840	3	0007	39	*
1840	3	0007	40	,
1840	3	0007	41	·
1840	3	0007	42	！
1840	3	0007	43	•
1840	3	0007	44	•
1840	3	0007	45	•
1840	3	0007	46	•
1840	3	0007	47	•
1840	3	0007	48	•
1840	3	0007	49	•
1840	3	0007	50	*•
1840	3	0007	51	—
1840	3	0007	52	·
1840	3	0007	53	i
1840	3	0007	54	.~
1840	3	0007	55	~
1840	3	0007	56	~
1840	3	0007	57	-
1840	3	0007	58	:
1840	3	0007	59	*
1840	3	0007	60	·
1840	3	0008	1	z:
1840	3	0008	2	- - -
1840	3	0008	3	“-
1840	3	0008	4	------
1840	3	0008	5	- - -
1840	3	0008	6	sº... ..
1840	3	0008	7	/D – -
1840	3	0008	8	3 -
1840	3	0008	9	1
1840	3	0008	10	– 153 – 2
1840	3	0008	11	A L LG EM EINE L IT ERATUR - ZEITUNG
1840	3	0008	12	September 1840.
1840	3	0008	13	THEOLOGIE.
1840	3	0008	14	NEUsTADT a. d. Aisch, b. Engelhardt: Dogmen
1840	3	0008	15	geschichte von Dr. J. G. V. Engelhardt, Königl.
1840	3	0008	16	Baier. Kirchenrath und ord. Prof. der Theologie
1840	3	0008	17	in Erlangen. Erster Theil. 1839. IV u. 379 S.
1840	3	0008	18	Zweiter Theil. 379 S. 8. (2 Rthlr. 12 gGr.)
1840	3	0008	19	+
1840	3	0008	20	W on einer Dogmengeschichte aus unsern Tagen,
1840	3	0008	21	wo fast alle irgend bedeutende Partien derselben
1840	3	0008	22	durch treffliche Monographien aufgehellt sind, er
1840	3	0008	23	wartet man weniger ein neues Licht über das Einzelne,
1840	3	0008	24	als eine lichtvolle Behandlung des Ganzen und eine
1840	3	0008	25	von einem wissenschaftlichen Princip geleitete Anord
1840	3	0008	26	nung der Massen. Dieses Princip liegt schon in dem
1840	3	0008	27	Begriff der Dogmengeschichte, die ohne die Aner
1840	3	0008	28	kennung desselben gar nicht als Wissenschaft existi
1840	3	0008	29	ren würde. Sie ist eben daher ein rein protestan
1840	3	0008	30	tisches Erzeugniss, und Alles, was vor SemlerAehn
1840	3	0008	31	liches erschienen ist, war blos Sammlung von Sen
1840	3	0008	32	tenzen. Indessen hat zuerst der jüngere Walch in
1840	3	0008	33	einem Programm von 1756 (das nachher als besondere
1840	3	0008	34	Schrift unter dem Titel »Gedanken von der Geschichte
1840	3	0008	35	der Glaubenslehre" Gött. 1764 erschien) die Verän
1840	3	0008	36	derung der christlichen Dogmen als das Object dieser
1840	3	0008	37	Disciplin bezeichnet; und wird diese Veränderung als
1840	3	0008	38	geschichtliche Entwickelung aufgefasst, so haben wir
1840	3	0008	39	den Begriff der Wissenschaft. Wie nun überhaupt
1840	3	0008	40	in der Geschichte früher nur der äusserliche Pragma
1840	3	0008	41	tismus herrschte, so auch in der Dogmengeschichte
1840	3	0008	42	bis auf die neueste Zeit, welche erst anfängt, den hi
1840	3	0008	43	storischen Gang der Glaubenslehren als eine Ent
1840	3	0008	44	wickelung aus sich selbst, bedingt durch die allge
1840	3	0008	45	meine Zeitbildung, zu betrachten. Dadurch ist die
1840	3	0008	46	Aufgabe der DG. nach Inhalt, Umfang und Methode
1840	3	0008	47	bestimmt, und sie erfordert desshalb einen kunst
1840	3	0008	48	mässigen Vortrag, für welchen weder die Darstel
1840	3	0008	49	lungsweise der Handbücher, noch die der Compendien
1840	3	0008	50	genügt. Schon der obengenannte Walch unterschei
1840	3	0008	51	det, was den Inhalt der DG. betrifft, die Materie und
1840	3	0008	52	die Form, und versteht unter der ersteren die Lehr
1840	3	0008	53	sätze selbst, unter der letzteren die Verbindung oder
1840	3	0008	54	Sammlung derselben, die Erklärung ihrer Grundbe
1840	3	0008	55	A. L. Z. 1840. Drilker Band.
1840	3	0008	56	griffe, die Beweise, die Ausdrucksform und die Me
1840	3	0008	57	thode des Vortrags. Wir sehen also schon in ihrem
1840	3	0008	58	Entstehen die DG. mit der Geschichte der Dogmatik
1840	3	0008	59	verbunden, von welcher sie ihrem Princip nach nicht
1840	3	0008	60	kann getrennt werden. Denn was in seiner zeitlichen
1840	3	0008	61	Entwickelung einzeln verfolgt worden ist, das muss
1840	3	0008	62	auch auf gewissen Höhepunkten in seinem Zusam
1840	3	0008	63	menhang überschaut werden. Die Veränderung der
1840	3	0008	64	Dogmen verläuft sich eben so wenig als die der nicht
1840	3	0008	65	christlichen Philosopheme in eine endlose Reihe; vie
1840	3	0008	66	mehr hat ihr zeitlicher Fortgang immer ein Ziel, eine
1840	3	0008	67	Reife der Entwickelung, wo die Dogmen aus dem
1840	3	0008	68	Process des Werdens etwas Anderes geworden sind,
1840	3	0008	69	Da dieser Grundsatz allgemein gilt, so kann die DG.
1840	3	0008	70	nirgends willkürlich einen Stillstand machen und bei
1840	3	0008	71	einem bestimmten Punkt aufhören; ihr Ende ist stets
1840	3	0008	72	die Gegenwart, wenn auch diese noch lange keine
1840	3	0008	73	Aussicht auf einen Abschluss der jeweiligen dogma
1840	3	0008	74	tischen Entwickelung eröffnen sollte. Darüber sind
1840	3	0008	75	die bisherigen Bearbeiter einverstanden, obgleich nur
1840	3	0008	76	wenige die DG. soweit fortgeführt haben. Zweifel
