year	vol	page	line	content
1807	1	0003	1	t
1807	1	0003	2	- -
1807	1	0003	3	s
1807	1	0003	4	- -
1807	1	0003	5	*
1807	1	0003	6	4
1807	1	0003	7	-
1807	1	0003	8	---------
1807	1	0005	1	AF- o - -
1807	1	0005	2	A-3
1807	1	0005	3	- -
1807	1	0005	4	SC ) -s - «. - -
1807	1	0005	5	- -
1807	1	0005	6	--- - - -
1807	1	0005	7	- -
1807	1	0005	8	. - -
1807	1	0005	9	-
1807	1	0005	10	-
1807	1	0005	11	– - - -
1807	1	0005	12	-
1807	1	0005	13	-
1807	1	0005	14	-
1807	1	0005	15	-
1807	1	0005	16	-
1807	1	0005	17	-
1807	1	0005	18	-
1807	1	0005	19	-
1807	1	0005	20	-
1807	1	0005	21	- z
1807	1	0005	22	-
1807	1	0005	23	*-
1807	1	0005	24	. - ,
1807	1	0005	25	- *
1807	1	0005	26	*
1807	1	0005	27	- -
1807	1	0005	28	- -
1807	1	0005	29	- *,
1807	1	0005	30	-
1807	1	0005	31	A
1807	1	0005	32	-
1807	1	0005	33	*
1807	1	0005	34	- 4
1807	1	0005	35	º
1807	1	0005	36	-
1807	1	0005	37	-
1807	1	0005	38	-
1807	1	0005	39	-
1807	1	0005	40	-
1807	1	0005	41	-
1807	1	0005	42	-
1807	1	0005	43	-
1807	1	0005	44	-
1807	1	0005	45	-
1807	1	0005	46	- - - - - -
1807	1	0006	1	A
1807	1	0006	2	*
1807	1	0006	3	,
1807	1	0006	4	~
1807	1	0006	5	~
1807	1	0006	6	~
1807	1	0006	7	~
1807	1	0006	8	~
1807	1	0006	9	~
1807	1	0006	10	_
1807	1	0006	11	_
1807	1	0007	1	-
1807	1	0007	2	A F> 0
1807	1	0007	3	Az 3
1807	1	0007	4	sc )
1807	1	0007	5	-
1807	1	0007	6	(L- -A - “ - -
1807	1	0007	7	-
1807	1	0007	8	-
1807	1	0007	9	v
1807	1	0007	10	-
1807	1	0007	11	y -
1807	1	0007	12	- -
1807	1	0007	13	4
1807	1	0007	14	G
1807	1	0007	15	-
1807	1	0008	1	*
1807	1	0008	2	-
1807	1	0008	3	*
1807	1	0008	4	…
1807	1	0008	5	*
1807	1	0008	6	*
1807	1	0008	7	*
1807	1	0008	8	•
1807	1	0008	9	•
1807	1	0008	10	•
1807	1	0008	11	）
1807	1	0008	12	•
1807	1	0010	1	A LL GE ME IN E
1807	1	0010	2	.
1807	1	0010	3	---
1807	1	0010	4	LITERATUR-ZEITUNG
1807	1	0010	5	-
1807	1	0010	6	- .
1807	1	0010	7	/-
1807	1	0010	8	-
1807	1	0010	9	z
1807	1	0010	10	v o M JA H RE
1807	1	0010	11	1 8 o 7.
1807	1	0010	12	-
1807	1	0010	13	E R S T E R B AN D.
1807	1	0010	14	(MIT DEM BILDNISSE DES HRN. HoF RATHS ADELUNG.)
