year	vol	page	line	content
1828	4	0002	1	©c
1828	4	0002	2	º
1828	4	0002	3	）
1828	4	0002	4	c
1828	4	0002	5	a
1828	4	0002	6	e
1828	4	0002	7	C
1828	4	0002	8	）
1828	4	0002	9	：L
1828	4	0002	10	a
1828	4	0002	11	e
1828	4	0002	12	.
1828	4	0002	13	|
1828	4	0002	14	-
1828	4	0002	15	"
1828	4	0002	16	…
1828	4	0002	17	│
1828	4	0002	18	│
1828	4	0002	19	│
1828	4	0002	20	│
1828	4	0002	21	│
1828	4	0003	1	TITITIIIIIIIIIIIIIIII F
1828	4	0004	1	§ 25
1828	4	0004	2	A H2
1828	4	0004	3	* -
1828	4	0004	4	- -
1828	4	0004	5	-
1828	4	0004	6	-
1828	4	0004	7	-
1828	4	0004	8	-
1828	4	0004	9	-
1828	4	0004	10	-
1828	4	0004	11	-
1828	4	0004	12	A
1828	4	0004	13	- -
1828	4	0004	14	A
1828	4	0004	15	.
1828	4	0004	16	-
1828	4	0004	17	-
1828	4	0004	18	-
1828	4	0005	1	！
1828	4	0005	2	*
1828	4	0005	3	*
1828	4	0005	4	*
1828	4	0005	5	*
1828	4	0005	6	*
1828	4	0005	7	*
1828	4	0005	8	-
1828	4	0005	9	-
1828	4	0005	10	-
1828	4	0005	11	-
1828	4	0005	12	-
1828	4	0005	13	e
1828	4	0005	14	a
1828	4	0005	15	e
1828	4	0005	16	•
1828	4	0005	17	•
1828	4	0005	18	•
1828	4	0005	19	•
1828	4	0005	20	•
1828	4	0005	21	•
1828	4	0005	22	-
1828	4	0005	23	-
1828	4	0005	24	）
1828	4	0005	25	*
1828	4	0005	26	*
1828	4	0005	27	*
1828	4	0005	28	*
1828	4	0005	29	*
1828	4	0005	30	*
1828	4	0006	1	LITERATUR ZEITUNG
1828	4	0006	2	V O M JA H R E
1828	4	0006	3	1 82 8.
1828	4	0006	4	VI E R T E R B AN D.
1828	4	0006	5	D I E E R GÄN ZU N GS B L ÄT T E R
1828	4	0006	6	d i e f e s " -
1828	4	0006	7	ent halten d.
1828	4	0006	8	H A L LE,
