year	vol	page	line	content
1838	5	0002	1	|
1838	5	0002	2	-
1838	5	0003	1	-
1838	5	0003	2	- *
1838	5	0003	3	-
1838	5	0003	4	-
1838	5	0003	5	- -
1838	5	0003	6	-
1838	5	0003	7	.
1838	5	0003	8	- - - - - - -
1838	5	0003	9	--
1838	5	0003	10	RSITYOF
1838	5	0003	11	>=-
1838	5	0003	12	«
1838	5	0004	1	Ä. A 2 S.
1838	5	0004	2	- A H3
1838	5	0006	1	ALLGEMEINE
1838	5	0006	2	LITERATUR - ZEITUNG
1838	5	0006	3	8 33 8.
1838	5	0006	4	FÜNF T ER BA N D.
1838	5	0006	5	x D I E I N T E L L I G EN Z B L Ä T T E R
1838	5	0006	6	di e s es Jahr g an gs
1838	5	0006	7	ent halten d.
1838	5	0006	8	*** - .H A L L E, A/CH , NSK,
1838	5	0006	9	in der Expedition dieser Zeit ung Karwer sº. -
1838	5	0006	10	bei C. A. Schwetschke und Sohn, BjTUFCA ?
1838	5	0006	11	un d LEIPZIG,
1838	5	0006	12	/ in der König 1. Sächs. privil. Zeitung s – Expedition.
1838	5	0006	13	/
1838	5	0008	1	D“ C - - -
1838	5	0008	2	--
1838	5	0008	3	–-
1838	5	0008	4	Su - -
1838	5	0008	5	/6 -2-
1838	5	0008	6	/2 º /
1838	5	0008	7	– I –
1838	5	0008	8	1 N T E L L I GE NZ BLATT
1838	5	0008	9	IDER
1838	5	0008	10	ALLGEMEINEN LITERATUR - ZEITUNG
1838	5	0008	11	Januar 1838.
1838	5	0008	12	L IT E R A R I SCHE
1838	5	0008	13	Anti kritik.
1838	5	0008	14	Ein Wort der Erwiederung auf die in Nr. 104
1838	5	0008	15	der Ergänzungsblätter enthaltene Beurtheilung
1838	5	0008	16	von Bleibtreu's Contor-Wissenschaft.
1838	5	0008	17	Der Recensent K. von Bleibtreu's Contor – Wissen
1838	5	0008	18	schaft hat, anstatt in eine Beurtheilung des ihm vorlie
1838	5	0008	19	genden Werks einzugehen, Gelegenheit genommen,
1838	5	0008	20	meine bereits im Jahre 1830 und jetzt in der zweiten
1838	5	0008	21	verbesserten Auflage erschienene Contor-Wissenschaft
1838	5	0008	22	in den Koth zu treten. Daſs hierbei, trotz der Ver
1838	5	0008	23	sicherung des Rec., eine reine Absicht nicht untergelegen
1838	5	0008	24	haben könne, muſs jedem Unbefangenen auf den er
1838	5	0008	25	sten Blick einleuchten, und kann ich ihm sein Unrecht
1838	5	0008	26	wohl nicht besser fühlbar machen, als durch die Ver
1838	5	0008	27	sicherung, daſs ich nie für eine literarische Zeitung
1838	5	0008	28	gearbeitet und auch auch jetzt nicht arbeite, mithin an
1838	5	0008	29	den ungünstigen Urtheilen, die über Bleibtreu's Werk
1838	5	0008	30	veröffentlicht worden sind, keinen Antheil haben
