year	vol	page	line	content
1834	2	0007	1	ALLGEMEINE
1834	2	0007	2	LITERATUR -ZEITUNG
1834	2	0007	3	VOM JAHRE
1834	2	0007	4	1834.
1834	2	0007	5	ZWEITER BAN 0.
1834	2	0007	6	i •
1834	2	0007	7	Mil bis AUGUST.
1834	2	0007	8	i n d
1834	2	0007	9	i ii der iv ö
1834	2	0007	10	HALLE,
1834	2	0007	11	г Expedition dieser Z e i t u n а
1834	2	0007	12	bei С. A. Schwetschke und Sohn,
1834	2	0007	13	und LEIPZIG,
1834	2	0007	14	i g 1. Sache, p r i т i 1. Zeitung», Expedition.
1834	2	0007	15	18 3 4.
1834	2	0008	1	:? ¿ ! я м а э л >; i.
1834	2	0008	2	- er- Т • .;•;
1834	2	0008	3	.■■i ;- •
1834	2	0008	4	V^¿'
1834	2	0008	5	■ ■ # -t
1834	2	0008	6	• * '*
1834	2	0008	7	' * l' П
1834	2	0008	8	t
1834	2	0008	9	4¿*> ( -> .__■
1834	2	0009	1	1 : • ' - • *1*1 • 2
1834	2	0009	2	i ■ . • . < • ; ■ • • . ■
1834	2	0009	3	ALLGEMEINE LITERATUR - ZEITUNG
1834	2	0009	4	Mai 1834.
1834	2	0009	5	—W-
1834	2	0009	6	.SPRACHKUNDE.
1834	2	0009	7	Quedlinburg u. Leipzig, b. Basse: Altdeutsches
1834	2	0009	8	Elemcntarbuch von Adolf Ziemann. Erste Ab-
1834	2	0009	9	theilung.
1834	2	0009	10	Auch unter dein Titel:
1834	2	0009	11	Grundrifs zur Buchstaben - und Flcxionslehre
1834	2	0009	12	des Altdeutschen nebst einem Witrzclverzeichnifs.
1834	2	0009	13	Nach Grimm bearbeitet. 1833. YIIiu.62S. 8.
1834	2	0009	14	Altdeutsches Elementarbuch. Zweite Abtheilung.
1834	2	0009	15	Auch unler dem Titel :
1834	2	0009	16	Altdeutsches Lesebuch. Mit Anmerkungen. 1833.
1834	2	0009	17	VIH u. 176 S. 8. (IGgGr.)
1834	2	0009	18	B.>ei der Beurtheilung des angezeigten Buches wird
1834	2	0009	19	es füre erste darauf ankommen, dafs wir untersuchen,
1834	2	0009	20	was denn eigentlich der Zweck des Unterrichts in
1834	2	0009	21	der älteren deutschen Sprache auf den Gelehrt en-
1834	2	0009	22	echulen sey, fürs andere aber darauf, dafs wir sehen,
1834	2	0009	23	in wiefern die Arbeit Hn. Z?s diesem Zwecke ent
1834	2	0009	24	spreche. Nimmt man mit Hn.Z. an, dafs der Zweck
1834	2	0009	25	dieses Unterrichtes sey die Erkenntnifs unserer Mut
1834	2	0009	26	tersprache in ihrer Entwicklung und Fortbildung,
1834	2	0009	27	und zwar beides von den frühesten Zeiten au, aus
1834	2	0009	28	denen uns sprachliche Denkmäler übrig sind, so wird
1834	2	0009	29	man allerdings Hn. Ts Arbeit für goeignet halten
1834	2	0009	30	müssen zur Erreichung dieses Zweckes so viel zu lei
1834	2	0009	31	sten, als ein Werk dieser Art immer leisten kann.
1834	2	0009	32	Allein nun könnten wir fragen , ob diefs der Zweck
1834	2	0009	33	des alten (¡entechen Unterrichts auf Gymnasien seyn
1834	2	0009	34	kann und soll. Hat man bei der Beschäftigung mit
1834	2	0009	35	der griechischen oder lateinischen Sprache einen
1834	2	0009	36	gleichen Zweck? Macht man auch da die Schüler
1834	2	0009	37	mit den ältesten Erscheinungen der Sprache bekannt,
1834	2	0009	38	die uns noch vorliegen, oder lehrt man sie nicht viel
1834	2	0009	39	mehr nur die Sprache, wie sie in den vollendetsten
1834	2	0009	40	Denkmälern am vollendetsten und gebildetsten er
1834	2	0009	41	scheint? Wir fühlen zwar wohl, dafs diese Gleichung
1834	2	0009	42	nicht ganz passend ist, dennoch aber können wir uns
1834	2	0009	43	nicht überzeugen, dafs man die Schüler schicklich
1834	2	0009	44	mit der Sprache des Isidor, Kero, Tatian oder gar
1834	2	0009	45	des Vlfilas bekannt mache, da es doch nur obenhin
1834	2	0009	46	and gewissermafsen mehr zur Befriedigung einer
1834	2	0009	47	Wifsbegierde geschieht und geschehen kann, die,
1834	2	0009	48	kaum aufgelebt, auch wieder verschwindet. Oder
1834	2	0009	49	51aubfcman in der That, irgend einem die Sprache
1834	2	0009	50	es Vlfilas, Isidor oder eines andern Schrifstellers
1834	2	0009	51	jener frühen Zeit vollständig oder auch nur einiger-
1834	2	0009	52	inafsen genügend lehren zu können, wenn man drei
1834	2	0009	53	4. L. Z. 18*4. Zweiter Band.
1834	2	0009	54	bis vier Seiten mitProben ihrer Sprache anfüllt? Wir
1834	2	0009	55	würden es daher immer vorziehen, auf Schulen nur
1834	2	0009	56	das Mittelhochdeutsche, diefs aber gründlich und in
1834	2	0009	57	seinem ganzen Umfange zu treiben und aus der alt
1834	2	0009	58	hochdeutschen Sprachlehre nur so viel bei der Be
1834	2	0009	59	handlung der mittelhochdeutschen anzuführen, als
1834	2	0009	60	zur Verstäudlichung derselben unumgänglich not
1834	2	0009	61	wendig ist. Das Gothische aber könnte man nach
1834	2	0009	62	unserer Ansicht bei dem ersten Unterricht auf Schu
1834	2	0009	63	len gänzlich bei Seite liegenlassen; denn rechnet man
1834	2	0009	64	dieses zum Deutschen iu engerer Bedeutung, so se
1834	2	0009	65	hen wir nicht ein, warum man das Altsächsische,
1834	2	0009	66	Altnordische , Angelsächsische u. g. w. , welche
1834	2	0009	67	Mundarten der mittelhochdeutschen oder auch alt
1834	2	0009	68	hochdeutschen nicht ferner stehen als die gothische,
1834	2	0009	69	nnsschliefsen will. Das Studium der Gesammtsprache
1834	2	0009	70	bleibt nach unserer Ansicht billig einer andern Zeit
1834	2	0009	71	als der Schulzeit vorbehalten. Wir setzen aber un
1834	2	0009	72	sere Ansicht von der Sache keineswegs hicher, um
1834	2	0009	73	etwa mit Hn. Z. zu rechten, dafs er einer anderen
1834	2	0009	74	folgte, sondern einzig und allein um Sachverständige
1834	2	0009	75	zur genauem Prüfung dieses Gegenstandes zu ver
1834	2	0009	76	anlassen. Betrachten wir nun die Arbeit Hn. ZPs wie
1834	2	0009	77	er sie uns gab, so müssen wir bekennen, dafs er
1834	2	0009	78	mit vieler Umsicht dabei zu Werke gegangen sey.
1834	2	0009	79	Sein Grundrifs zur Buchstaben - und Fiexionslehre
1834	2	0009	80	wird sicher, wenn anders der Lehrer die gehörigen
1834	2	0009	81	Kenntnisse besitzt, dafs blofs angedeutete auszufüh
1834	2	0009	82	ren , und die einzelnen Theile gehörig zu verbinden
1834	2	0009	83	und dadurch klar zu machen, in allen Schulen mit
1834	2	0009	84	Nutzen gebraucht werden. — Bei dem zweiten
1834	2	0009	85	Theile, dem Elementarbuche, erwähnen wir kurz nur
1834	2	0009	86	so viel, dafs alle Stücke darin kritisch behandelt
1834	2	0009	87	sind. Wünschenswerth wäre es vielleicht, wenn der
1834	2	0009	88	Vf. andere Stücke gewählt hätte, als die in Lach~
1834	2	0009	89	mann"s und Anderer Sammlungen stehen; mancher
1834	2	0009	90	Schüler wird dadurch manche Stücke drei bis vier
1834	2	0009	91	mal besitzen, andere jedoch, deren Besitz ihm auch
1834	2	0009	92	wünschenswerth seyn dürfte, gar nicht.
1834	2	0009	93	Dafs Hr. Z. statt dem zweiten Theile seines Wer
1834	2	0009	94	kes, dem Elementarbuche, ein Wörterbuch beizuge
1834	2	0009	95	ben, dem ersten Theile ein Verzeichnis von Wurzel
1834	2	0009	96	wörter beigab, billigen wir um so mehr, als der Leh
1834	2	0009	97	rer dadurch in den Stand gesetzt wird , dem Schüler
1834	2	0009	98	das Wesen der Ableitung und die Bedeutung der Ab-
1834	2	0009	99	leitungssylben klar und bekannt zu machen. Auch
1834	2	0009	100	wird es nicht den Schüler an der Vorbereitung hin
1834	2	0009	101	dern, da der Vf. im Elementarbuche in den Noten
1834	2	0009	102	jedes Mal die Wurzel des betreffenden Wortes an-
1834	2	0009	103	giebt, oder wo diefs unthunlich, da« letztere gera-
1834	2	0009	104	A deeu
