year	vol	page	line	content
1830	5	0003	1	-
1830	5	0003	2	WITU
1830	5	0003	3	# IIIIIIII
1830	5	0003	4	F -
1830	5	0003	5	- - - - E
1830	5	0003	6	- - ETFFTH
1830	5	0003	7	---
1830	5	0003	8	- -
1830	5	0005	1	*
1830	5	0005	2	*
1830	5	0005	3	-
1830	5	0005	4	-
1830	5	0005	5	~
1830	5	0005	6	~
1830	5	0005	7	~
1830	5	0005	8	~
1830	5	0005	9	.
1830	5	0005	10	：
1830	5	0005	11	）
1830	5	0005	12	…
1830	5	0005	13	…
1830	5	0005	14	…
1830	5	0005	15	…
1830	5	0006	1	A L LG E MI E I N E
1830	5	0006	2	LITERATUR-ZEITUNG
1830	5	0006	3	V O M J A II R E
1830	5	0006	4	- - 1 8 3 0.
1830	5	0006	5	FÜNF T ER B A N D.
1830	5	0006	6	DI E I N T E L L I GE N Z B L Ä T T E PR
1830	5	0006	7	- di e .s es J a hr g an gs
1830	5	0006	8	ent h a I t e n d.
1830	5	0006	9	“===
1830	5	0006	10	H A L L E,
1830	5	0006	11	in der Expedition dieser Zeit ung
1830	5	0006	12	bey C. A. Schwetschke und Sohn,
1830	5	0006	13	un d LE I PZ I G,
1830	5	0006	14	in der König . Sä c h s. privil. Zeitung s – Expedition.
1830	5	0006	15	1 8 3 0.
1830	5	0007	1	-
1830	5	0007	2	-
1830	5	0007	3	-
1830	5	0007	4	-
1830	5	0007	5	-
1830	5	0007	6	-
1830	5	0007	7	-
1830	5	0007	8	-
1830	5	0007	9	-
1830	5	0007	10	-
1830	5	0007	11	-
1830	5	0007	12	-
1830	5	0007	13	-
1830	5	0007	14	-
1830	5	0007	15	-
1830	5	0007	16	-
1830	5	0007	17	-
1830	5	0007	18	-
1830	5	0007	19	-
1830	5	0007	20	-
1830	5	0007	21	-
1830	5	0007	22	-
1830	5	0007	23	-
1830	5	0007	24	-
1830	5	0007	25	-
1830	5	0007	26	-
1830	5	0007	27	-
1830	5	0007	28	-
1830	5	0007	29	-
1830	5	0007	30	-
1830	5	0007	31	-
1830	5	0007	32	-
1830	5	0007	33	_
1830	5	0007	34	-
1830	5	0007	35	-
1830	5	0007	36	-
1830	5	0007	37	-
1830	5	0007	38	-
1830	5	0007	39	-
1830	5	0007	40	w
1830	5	0007	41	-
1830	5	0007	42	-
1830	5	0007	43	-
1830	5	0007	44	-
1830	5	0007	45	|
1830	5	0007	46	-
1830	5	0007	47	|
1830	5	0007	48	-
1830	5	0007	49	·
1830	5	0007	50	|
1830	5	0007	51	-
1830	5	0007	52	·
1830	5	0007	53	|
1830	5	0007	54	-
1830	5	0007	55	-
1830	5	0007	56	-
1830	5	0007	57	-
1830	5	0007	58	-
1830	5	0007	59	|
1830	5	0007	60	-
1830	5	0007	61	*
1830	5	0007	62	|
1830	5	0007	63	-
1830	5	0007	64	·
1830	5	0007	65	*
1830	5	0007	66	|
1830	5	0007	67	-
1830	5	0007	68	·
1830	5	0007	69	-
1830	5	0007	70	-
1830	5	0007	71	-
1830	5	0007	72	-
1830	5	0007	73	-
1830	5	0007	74	|
1830	5	0007	75	-
1830	5	0007	76	•
1830	5	0007	77	|
1830	5	0007	78	-
1830	5	0007	79	-
1830	5	0007	80	-
1830	5	0007	81	-
1830	5	0007	82	-
1830	5	0007	83	|
1830	5	0007	84	-
1830	5	0007	85	|
1830	5	0007	86	-
1830	5	0007	87	.
1830	5	0007	88	*
1830	5	0007	89	·
1830	5	0007	90	-
1830	5	0007	91	*
1830	5	0007	92	-
1830	5	0007	93	-
1830	5	0007	94	-
1830	5	0007	95	-
1830	5	0007	96	|
1830	5	0007	97	-
1830	5	0007	98	·
1830	5	0007	99	|
1830	5	0007	100	-
1830	5	0007	101	·
1830	5	0007	102	·
1830	5	0007	103	|
1830	5	0007	104	-
1830	5	0007	105	·
1830	5	0007	106	|
1830	5	0007	107	-
1830	5	0007	108	·
1830	5	0007	109	-
1830	5	0007	110	-
1830	5	0007	111	a
1830	5	0007	112	e
1830	5	0007	113	·
1830	5	0007	114	-
1830	5	0007	115	!
1830	5	0007	116	*
1830	5	0007	117	·
1830	5	0007	118	-
1830	5	0007	119	-
1830	5	0007	120	-
1830	5	0007	121	-
1830	5	0007	122	v
1830	5	0007	123	.
1830	5	0007	124	\
1830	5	0007	125	-
1830	5	0007	126	-
1830	5	0007	127	-
1830	5	0007	128	-
1830	5	0007	129	-
1830	5	0007	130	•
1830	5	0007	131	•
1830	5	0007	132	•
1830	5	0007	133	•
1830	5	0007	134	.
1830	5	0007	135	·
1830	5	0007	136	•
1830	5	0007	137	•
1830	5	0007	138	•
1830	5	0007	139	•
1830	5	0007	140	•
1830	5	0007	141	-
1830	5	0007	142	-
1830	5	0007	143	-
1830	5	0007	144	-
1830	5	0007	145	-
1830	5	0007	146	-
1830	5	0007	147	-
1830	5	0007	148	-
1830	5	0007	149	-
1830	5	0007	150	*
1830	5	0007	151	•
1830	5	0007	152	•
1830	5	0007	153	-
1830	5	0007	154	！
1830	5	0007	155	|
1830	5	0007	156	-
1830	5	0007	157	·
1830	5	0007	158	•
1830	5	0007	159	·
1830	5	0007	160	|
1830	5	0007	161	-
1830	5	0007	162	|
1830	5	0007	163	-
1830	5	0007	164	*
1830	5	0007	165	*
1830	5	0007	166	-
1830	5	0007	167	|-
1830	5	0007	168	|
1830	5	0007	169	-
1830	5	0007	170	-
1830	5	0007	171	•
1830	5	0007	172	•
1830	5	0007	173	-
1830	5	0007	174	|
1830	5	0007	175	-
1830	5	0007	176	*
1830	5	0007	177	|
1830	5	0007	178	-
1830	5	0007	179	•
1830	5	0007	180	*
1830	5	0007	181	·
1830	5	0007	182	-
1830	5	0007	183	·
1830	5	0007	184	|
1830	5	0007	185	-
1830	5	0007	186	|
1830	5	0007	187	-
1830	5	0007	188	|
1830	5	0007	189	|
1830	5	0007	190	-
1830	5	0007	191	-
1830	5	0007	192	|
1830	5	0007	193	-
1830	5	0007	194	~
1830	5	0007	195	-
1830	5	0007	196	*
1830	5	0007	197	|
1830	5	0007	198	-
1830	5	0007	199	|
1830	5	0007	200	-
1830	5	0007	201	-
1830	5	0007	202	-
1830	5	0007	203	-
1830	5	0007	204	-
1830	5	0007	205	|
1830	5	0007	206	-
1830	5	0007	207	|
1830	5	0007	208	-
1830	5	0007	209	*
1830	5	0007	210	•
1830	5	0007	211	·
1830	5	0007	212	|
1830	5	0007	213	-
1830	5	0007	214	|
1830	5	0007	215	-
1830	5	0007	216	-
1830	5	0007	217	-
1830	5	0007	218	-
1830	5	0007	219	·
